,planet_name,host_name,orbital_period_[days],orbit_semi-major_axis_[au]),planet_radius,planet_mass,planet_density,eccentricity,equilibrium_temperature_[k],ratio_of_semi-major_axis_to_stellar_radius,stellar_effective_temperature_[k],stellar_radius_[solar_radius],stellar_mass_[solar_mass],distance_[pc],number_of_planets,insolation_flux_earth,stellar_surface_gravity,stellar_age_[gyr]
1913,Kepler-958 b,Kepler-958,9.7678805,0.0852,2.06,4.9,3.08,0.0,749.0,38.57,5421.0,0.86,0.91,449.7730000,1,73.59,4.53,4.37
1914,Kepler-957 b,Kepler-957,5.90741354,0.0559,5.5,25.9,0.855,0.0,769.0,42.75,4963.0,0.75,0.81,824.6880000,1,124.91,4.6,2.75
1915,Kepler-956 b,Kepler-956,5.24867263,0.0596,3.0,9.27,1.89,0.0,1056.0,12.14,6040.0,1.15,1.1,544.9390000,1,307.06,4.36,3.47
1916,Kepler-955 b,Kepler-955,14.53244172,0.1083,3.13,9.96,1.78,0.0,664.0,35.84,5350.0,0.84,0.89,550.3830000,1,33.09,4.54,4.37
1917,Kepler-954 b,Kepler-954,16.78176602,0.118,2.32,5.99,2.64,0.0,545.0,29.6,4990.0,0.76,0.82,215.8140000,1,21.53,4.59,3.39
1918,Kepler-953 c,Kepler-953,9.10967112,0.0862,1.19,1.81,5.9,0.0,873.0,12.49,5416.0,0.99,0.95,258.8930000,2,121.04,4.42,8.71
1919,Kepler-953 b,Kepler-953,88.40655258,0.392,4.21,16.5,1.22,0.0,410.0,41.4,5416.0,0.99,0.95,258.8930000,2,5.84,4.42,8.71
1920,Kepler-952 b,Kepler-952,130.3546919,0.5183,7.65,45.4,0.557,0.0,369.0,175.0,5730.0,0.99,1.0,1304.2500000,1,5.05,4.45,4.27
1921,Kepler-951 b,Kepler-951,71.52530845,0.3091,5.59,26.7,0.84,0.0,340.0,98.609,4834.0,0.73,0.77,382.5090000,1,2.47,4.6,4.27
1922,Kepler-950 b,Kepler-950,98.7180406,0.3982,8.98,59.6,0.452,0.0,360.0,120.1,5857.0,1.02,1.02,2161.6000000,1,3.97,4.44,3.8
1923,Kepler-95 b,Kepler-95,11.5231,0.1017,3.42,13.0,1.71,0.0,927.0,23.087,5699.0,1.41,1.08,445.6560000,1,178.83,4.17,5.63
1924,Kepler-949 b,Kepler-949,8.6893073,0.0774,2.91,8.8,1.96,0.0,782.0,26.669,5403.0,0.86,0.89,486.1050000,1,58.44,4.53,4.57
1925,Kepler-948 b,Kepler-948,7.76846622,0.0749,1.85,4.08,3.54,0.0,841.0,4.82,5679.0,0.94,0.96,868.0170000,1,126.2,4.47,4.17
1926,Kepler-947 b,Kepler-947,26.9644317,0.1773,2.28,5.82,2.7,0.0,573.0,55.53,5508.0,0.87,0.9,1730.7800000,1,51.95,4.52,4.27
1927,Kepler-946 b,Kepler-946,11.79162572,0.1002,1.93,4.38,3.35,0.0,857.0,30.46,5665.0,0.93,0.94,1137.2900000,1,124.07,4.47,4.17
1928,Kepler-945 b,Kepler-945,31.0033814,0.2037,2.63,7.41,2.24,0.0,616.0,45.63,5718.0,0.97,0.97,1651.2500000,1,31.7,4.46,4.47
1929,Kepler-944 b,Kepler-944,43.3167737,0.2288,2.63,7.41,2.24,0.0,459.0,67.21,5409.0,0.83,0.86,1349.4300000,1,20.17,4.54,4.47
1930,Kepler-943 b,Kepler-943,49.7701438,0.2559,5.93,29.5,0.777,0.0,455.0,26.12,5612.0,0.91,0.93,2300.5300000,1,10.16,4.5,4.27
1931,Kepler-942 b,Kepler-942,44.96417488,0.2298,2.13,5.18,2.95,0.0,379.0,70.29,4861.0,0.75,0.81,216.3540000,1,4.96,4.59,4.17
1932,Kepler-941 b,Kepler-941,17.42395198,0.1311,3.08,9.69,1.82,0.0,722.0,14.9,5539.0,0.86,0.89,1088.3600000,1,47.03,4.53,4.07
1933,Kepler-940 b,Kepler-940,59.6225257,0.3059,3.34,11.1,1.64,0.0,486.0,48.0,5769.0,0.96,0.97,1260.7800000,1,10.52,4.47,3.63
1934,Kepler-94 c,Kepler-94,820.3,,12.5,3126.0,8.79,0.0,,,4781.0,0.76,0.81,191.9040000,2,,4.59,1.41
1935,Kepler-94 b,Kepler-94,2.50806,0.03106,3.51,10.84,1.45,0.0,997.0,11.0,4781.0,0.76,0.81,191.9040000,2,216.09,4.59,1.41
1936,Kepler-939 b,Kepler-939,14.878296,0.1153,1.75,3.71,3.8,0.0,692.0,12.9,5471.0,0.85,0.88,2093.6200000,1,54.19,4.54,4.47
1937,Kepler-938 b,Kepler-938,52.6298417,0.2689,2.22,5.56,2.79,0.0,544.0,64.1,5533.0,0.89,0.92,1182.0500000,1,8.57,4.51,4.27
1938,Kepler-937 c,Kepler-937,153.343364,0.5545,2.67,7.61,2.2,0.0,377.0,111.5,6095.0,1.22,1.15,1571.4600000,2,6.93,4.32,3.24
1939,Kepler-937 b,Kepler-937,67.668827,0.3214,3.72,13.4,1.43,0.0,495.0,34.1,6095.0,1.22,1.15,1571.4600000,2,20.63,4.32,3.24
1940,Kepler-936 b,Kepler-936,10.56134221,0.0954,1.45,2.7,4.87,0.0,867.0,8.29,5482.0,0.89,0.92,823.3990000,1,133.56,4.51,4.57
1941,Kepler-935 b,Kepler-935,4.88083852,0.0527,1.35,2.39,5.34,0.0,879.0,14.46,4830.0,0.73,0.78,471.7820000,1,94.61,4.61,3.8
1942,Kepler-934 b,Kepler-934,55.6738309,0.2658,2.09,5.02,3.02,0.0,384.0,114.48,5001.0,0.77,0.81,608.7380000,1,4.72,4.59,4.47
1943,Kepler-933 b,Kepler-933,14.20443009,0.1041,2.46,6.62,2.44,0.0,602.0,28.56,5346.0,0.84,0.87,1017.2000000,1,61.32,4.54,4.68
1944,Kepler-932 b,Kepler-932,1.9214374,0.0279,1.37,2.45,5.24,0.0,1276.0,8.253,5331.0,0.84,0.87,465.6120000,1,562.22,4.54,4.68
1945,Kepler-931 b,Kepler-931,8.03755877,0.0719,1.33,2.33,5.44,0.0,744.0,22.25,5241.0,0.81,0.86,490.0000000,1,72.44,4.55,4.68
1946,Kepler-930 b,Kepler-930,71.4517775,0.3475,2.13,5.18,2.95,0.0,561.0,88.14,6335.0,1.4,1.25,848.3960000,1,16.85,4.24,2.34
1947,Kepler-93 c,Kepler-93,1460.0,,55.25309000000002,954.0,,0.0,,,5669.0,0.92,0.91,95.9115000,2,,4.47,5.05
1948,Kepler-93 b,Kepler-93,4.72674,0.053,1.569,4.54426,6.88,0.0,1037.0,12.5,5669.0,0.98,1.09,95.9115000,2,283.74,4.47,6.6
1949,Kepler-929 b,Kepler-929,0.92103214,0.0192,1.11,1.41,5.67,0.0,2362.0,2.8623,5869.0,1.02,1.01,1311.2300000,1,8159.93,4.42,3.47
1950,Kepler-928 b,Kepler-928,3.9324613,0.0444,1.59,3.15,4.31,0.0,894.0,12.24,4700.0,0.7,0.73,508.8090000,1,111.11,4.62,4.37
1951,Kepler-927 b,Kepler-927,9.1149903,0.0866,1.72,3.61,3.9,0.0,906.0,15.779,5743.0,0.99,0.99,831.6850000,1,129.53,4.45,4.37
1952,Kepler-926 b,Kepler-926,52.0688601,0.2739,2.31,5.95,2.65,0.0,524.0,132.0,5806.0,1.01,1.01,921.3610000,1,17.88,4.43,4.37
1953,Kepler-925 b,Kepler-925,33.8678531,0.1805,2.34,6.08,2.61,0.0,394.0,46.2,4673.0,0.72,0.77,611.1150000,1,5.83,4.62,2.57
1954,Kepler-924 b,Kepler-924,61.0370117,0.3359,3.07,9.64,1.83,0.0,610.0,56.59,6167.0,1.23,1.14,1053.0400000,1,20.0,4.32,3.09
1955,Kepler-923 b,Kepler-923,6.93366476,0.0715,1.38,2.48,5.19,0.0,1104.0,12.28,5988.0,1.26,1.11,1000.2800000,1,390.64,4.28,4.68
1956,Kepler-922 b,Kepler-922,0.93846683,0.0182,1.42,2.6,4.99,0.0,1876.0,5.6049,5671.0,0.93,0.95,536.3230000,1,2142.63,4.48,4.37
1957,Kepler-921 b,Kepler-921,51.300634,0.2716,2.87,8.6,2.0,0.0,492.0,74.62,5663.0,0.91,0.93,934.4900000,1,15.01,4.5,4.27
1958,Kepler-920 c,Kepler-920,100.8274113,0.4029,3.8,13.8,1.38,0.0,364.0,83.4,5403.0,0.85,0.89,1001.6800000,2,3.99,4.54,4.37
1959,Kepler-920 b,Kepler-920,6.53192704,0.065,2.42,6.44,2.5,0.0,907.0,16.12,5403.0,0.85,0.89,1001.6800000,2,153.14,4.54,4.37
1960,Kepler-92 d,Kepler-92,49.3568,0.2754,2.067,4.93,3.07,0.07,637.0,24.91,5904.34,1.82,1.07,477.9920000,3,46.84,3.95,5.2
1961,Kepler-92 c,Kepler-92,26.723,0.1829,2.6,6.1,1.91,0.04,781.0,24.3117,5883.0,1.7,1.21,477.9920000,3,106.21,4.05,5.2
1962,Kepler-92 b,Kepler-92,13.749,0.1174,3.51,64.3,8.17,0.17,975.0,10.62,5883.0,1.7,1.21,477.9920000,3,257.78,4.05,5.2
1963,Kepler-919 b,Kepler-919,11.04603384,0.0981,2.25,5.69,2.74,0.0,869.0,17.87,6113.0,1.21,1.15,1119.8700000,1,153.91,4.33,3.02
1964,Kepler-918 b,Kepler-918,4.85386933,0.0569,1.74,3.68,3.84,0.0,1052.0,13.11,6028.0,1.14,1.11,1025.0300000,1,258.7,4.37,3.24
1965,Kepler-917 b,Kepler-917,2.97041437,0.0378,1.91,4.31,3.4,0.0,991.0,10.04,5418.0,0.76,0.8,3460.5100000,1,228.11,4.58,4.17
1966,Kepler-916 b,Kepler-916,32.2968798,0.1885,1.76,3.75,3.78,0.0,503.0,54.01,5248.0,0.81,0.85,830.7120000,1,14.68,4.56,4.79
1967,Kepler-915 b,Kepler-915,4.59489604,0.0566,1.5,2.86,4.66,0.0,1319.0,12.24,6173.0,1.38,1.21,849.0360000,1,844.75,4.24,3.39
1968,Kepler-914 b,Kepler-914,4.40966548,0.0544,1.38,2.48,5.19,0.0,1192.0,16.16,5877.0,1.15,1.1,753.7230000,1,568.38,4.36,3.98
1969,Kepler-913 c,Kepler-913,5.93911982,0.0699,3.858,14.2,1.36,0.0,1357.0,20.13,6068.0,1.8,1.29,991.6180000,2,122.82,4.04,5.62
1970,Kepler-913 b,Kepler-913,10.29672521,0.1009,2.06,4.9,3.08,0.0,1129.0,28.9,4687.0,0.61,0.63,991.6180000,2,58.9,4.67,5.62
1971,Kepler-912 b,Kepler-912,2.53475627,0.0339,2.8,8.25,2.07,0.0,1218.0,3.48,5998.0,1.11,1.07,2004.7200000,1,519.95,4.37,3.16
1972,Kepler-911 b,Kepler-911,20.310501,0.1549,2.6,7.27,2.27,0.0,931.0,29.16,6112.0,1.99,1.34,556.1680000,1,198.72,3.97,3.55
1973,Kepler-910 b,Kepler-910,2.36436901,0.0382,0.82,0.477,4.75,0.0,1752.0,3.15,6230.0,1.5,1.26,400.2890000,1,2108.07,4.19,3.39
1974,Kepler-91 b,Kepler-91,6.24658,0.0731,15.323,257.4423,0.4,0.0519,2040.0,2.496,4550.0,6.3,1.31,1294.6900000,1,3273.32,2.95,4.47
1975,Kepler-909 b,Kepler-909,13.93290318,0.1175,1.47,2.76,4.77,0.0,852.0,40.91,6154.0,1.23,1.17,309.5960000,1,127.24,4.33,2.88
1976,Kepler-908 b,Kepler-908,1.34059747,0.0247,1.22,1.98,5.99,0.0,1783.0,6.445,5973.0,1.12,1.11,290.8430000,1,3304.1,4.38,3.02
1977,Kepler-907 b,Kepler-907,15.86621821,0.1225,1.2,1.87,5.95,0.0,879.0,29.39,6106.0,1.38,1.08,352.0000000,1,137.66,4.19,5.37
1978,Kepler-906 b,Kepler-906,41.6979976,0.2359,2.11,5.1,2.98,0.0,537.0,56.91,6035.0,1.02,1.06,757.7910000,1,21.99,4.45,1.86
1979,Kepler-905 b,Kepler-905,5.08274652,0.0572,1.41,2.57,5.04,0.0,928.0,22.716,5461.0,0.86,0.95,529.2680000,1,185.77,4.55,1.66
1980,Kepler-904 b,Kepler-904,3.02166863,0.0417,1.77,3.78,3.75,0.0,1332.0,3.23,6160.0,1.25,1.16,978.1250000,1,875.42,4.31,3.02
1981,Kepler-903 c,Kepler-903,62.9228557,0.302,2.53,6.94,2.35,0.0,462.0,24.0,5682.0,0.97,0.98,1369.2400000,2,24.79,4.46,4.79
1982,Kepler-903 b,Kepler-903,10.3507721,0.0907,2.01,4.7,3.18,0.0,842.0,7.2,5682.0,0.97,0.98,1369.2400000,2,274.85,4.46,4.79
1983,Kepler-902 b,Kepler-902,40.1099547,0.223,2.54,6.99,2.34,0.0,556.0,60.24,5647.0,0.93,0.95,1165.3400000,1,24.88,4.49,4.37
1984,Kepler-901 b,Kepler-901,3.51749439,0.0378,1.37,2.45,5.24,0.0,704.0,18.494,4184.0,0.57,0.59,253.8670000,1,68.72,4.7,3.8
1985,Kepler-900 b,Kepler-900,6.9913086,0.0679,2.08,4.98,3.04,0.0,716.0,13.88,4836.0,0.73,0.78,487.5250000,1,54.11,4.6,4.57
1986,Kepler-90 i,KOI-351,14.44912,288.6525,1.32,2.3,5.5,0.0,709.0,33.8,6015.0,1.29,1.12,848.2540000,8,29286.41423763889,4.27,0.53
1987,Kepler-9 d,Kepler-9,1.592851,0.0273,1.64,3.33,4.15,0.0,2026.0,5.54,5777.0,1.02,1.07,628.2570000,3,1339.66,4.49,1.0
1988,Kepler-9 c,Kepler-9,38.9853,0.227,8.08,29.9,0.31,0.06691,523.0,49.8,5774.0,0.96,1.02,628.2570000,3,18.9,4.49,2.0
1989,Kepler-9 b,Kepler-9,19.23891,0.143,8.29,43.4,0.42,0.0609,661.0,31.3,5774.0,0.96,1.02,628.2570000,3,48.23,4.49,2.0
1990,Kepler-899 b,Kepler-899,19.17891293,0.1392,2.68,7.65,2.18,0.0,640.0,29.2,5595.0,0.91,0.93,1246.4300000,1,62.2,4.49,4.07
1991,Kepler-898 b,Kepler-898,5.8706191,0.0545,1.49,2.83,4.7,0.0,616.0,13.88,4223.0,0.62,0.65,484.8910000,1,37.11,4.66,3.98
1992,Kepler-897 b,Kepler-897,8.0472642,0.077,2.39,6.3,2.54,0.0,855.0,7.48,5839.0,1.04,1.03,1519.2500000,1,354.22,4.41,4.37
1993,Kepler-896 b,Kepler-896,144.547396,0.5164,2.53,6.94,2.35,0.0,303.0,48.4,5262.0,0.81,0.84,2334.9300000,1,1.99,4.56,5.01
1994,Kepler-895 b,Kepler-895,2.80624233,0.0328,1.54,2.99,4.5,0.0,771.0,13.469,4315.0,0.61,0.65,540.1340000,1,106.58,4.67,2.63
1995,Kepler-894 b,Kepler-894,9.803224,0.0916,2.78,8.15,2.08,0.0,896.0,13.21,5603.0,0.85,0.87,1162.9100000,1,119.88,4.53,4.27
1996,Kepler-893 b,Kepler-893,6.33855761,0.0699,3.03,9.43,1.86,0.0,1034.0,7.3,5820.0,0.99,1.0,1285.5900000,1,266.27,4.45,3.8
1997,Kepler-892 b,Kepler-892,13.7521072,0.1015,2.81,8.3,2.06,0.0,556.0,17.4,4747.0,0.72,0.75,570.7270000,1,18.2,4.61,5.01
1998,Kepler-891 b,Kepler-891,53.44945593,0.2881,6.41,33.6,0.701,0.0,486.0,80.697,5887.0,1.07,1.06,2340.5800000,1,44.33,4.41,3.55
1999,Kepler-890 b,Kepler-890,52.75875577,0.2944,8.89,58.6,0.458,0.0,540.0,65.231,5954.0,1.13,1.09,1712.1200000,1,30.23,4.37,3.63
2000,Kepler-889 b,Kepler-889,3.744439,0.0492,1.09,1.32,5.6,0.0,1328.0,9.75,5961.0,1.25,1.14,598.3130000,1,954.59,4.3,3.98
2001,Kepler-888 b,Kepler-888,70.6979061,0.328,1.76,3.75,3.78,0.0,417.0,82.82,5875.0,0.9,0.97,420.8170000,1,7.85,4.52,1.48
2002,Kepler-887 c,Kepler-887,7.63846023,0.0797,1.13,1.51,5.75,0.0,1089.0,14.54,6194.0,1.29,1.19,886.5880000,2,407.98,4.29,3.09
2003,Kepler-887 b,Kepler-887,20.42228798,0.1536,1.84,4.04,3.56,0.0,785.0,25.49,6194.0,1.29,1.19,886.5880000,2,109.84,4.29,3.09
2004,Kepler-886 b,Kepler-886,6.24146367,0.067,1.52,2.92,4.57,0.0,1111.0,15.566,6098.0,1.16,1.1,711.2970000,1,231.43,4.35,3.39
2005,Kepler-885 b,Kepler-885,18.11472949,0.1432,2.5,6.8,2.39,0.0,830.0,19.0,6187.0,1.35,1.21,651.3180000,1,124.65,4.26,3.16
2006,Kepler-884 b,Kepler-884,5.69919514,0.0622,1.23,2.04,6.02,0.0,964.0,18.429,5715.0,0.94,1.0,476.7330000,1,204.18,4.49,2.45
2007,Kepler-883 b,Kepler-883,12.98495573,0.1055,1.78,3.82,3.72,0.0,818.0,29.15,6116.0,1.09,1.06,627.4550000,1,163.05,4.4,3.02
2008,Kepler-882 b,Kepler-882,3.98953967,0.0449,1.23,2.04,6.02,0.0,903.0,19.33,5476.0,0.87,0.9,504.6050000,1,259.03,4.52,4.57
2009,Kepler-881 b,Kepler-881,4.44448017,0.0552,1.78,3.82,3.72,0.0,1217.0,3.62,5961.0,1.09,1.06,1375.1800000,1,538.57,4.39,3.8
2010,Kepler-880 b,Kepler-880,7.71468975,0.0915,2.66,7.56,2.21,0.0,1622.0,13.917,6761.0,1.74,1.46,601.3240000,1,586.17,4.12,1.66
2011,Kepler-88 d,KOI-142,1403.0,,13.1,965.147,2.36,0.41,,,5466.0,0.9,0.99,376.8630000,3,,4.53,1.6
2012,Kepler-879 b,Kepler-879,33.3855938,0.2012,2.57,7.13,2.31,0.0,580.0,39.8,5792.0,1.02,1.02,802.6720000,1,29.13,4.42,4.27
2013,Kepler-878 b,Kepler-878,25.9422033,0.165,1.93,4.38,3.35,0.0,501.0,49.72,5044.0,0.77,0.81,791.6250000,1,27.01,4.58,4.57
2014,Kepler-877 b,Kepler-877,18.45847097,0.1301,2.12,5.14,2.96,0.0,632.0,25.0,5261.0,0.81,0.85,602.1760000,1,37.81,4.56,4.57
2015,Kepler-876 b,Kepler-876,5.14438011,0.0549,1.43,2.63,4.94,0.0,923.0,14.6,5060.0,0.77,0.81,820.9130000,1,152.75,4.58,5.25
2016,Kepler-875 b,Kepler-875,27.5073799,0.1771,2.9,8.75,1.97,0.0,569.0,38.9,5958.0,1.11,1.06,1242.6200000,1,41.43,4.38,3.39
2017,Kepler-874 b,Kepler-874,40.0686727,0.2234,3.94,14.7,1.32,0.0,560.0,53.46,6020.0,1.13,1.09,1082.1600000,1,31.62,4.37,3.31
2018,Kepler-873 b,Kepler-873,20.5533844,0.1542,3.75,13.5,1.41,0.0,749.0,23.8,6163.0,1.27,1.18,1182.2200000,1,68.02,4.29,2.95
2019,Kepler-872 b,Kepler-872,2.57885507,0.0362,1.99,4.62,3.22,0.0,1230.0,8.556,5902.0,1.08,1.05,879.6830000,1,553.06,4.4,4.17
2020,Kepler-871 b,Kepler-871,22.0459018,0.1572,3.74,13.5,1.42,0.0,640.0,14.1,5993.0,1.14,1.11,1976.0500000,1,79.72,4.37,3.47
2021,Kepler-870 b,Kepler-870,21.3587621,0.1539,2.78,8.15,2.08,0.0,691.0,28.56,5857.0,1.02,1.01,1259.4600000,1,54.87,4.43,3.8
2022,Kepler-87 c,Kepler-87,191.2318,0.676,6.14,6.4,0.152,0.039,403.0,80.7,5600.0,1.82,1.1,1232.9000000,2,4.66,3.96,7.5
2023,Kepler-87 b,Kepler-87,114.73635,0.481,13.49,324.2,0.729,0.036,478.0,57.4,5600.0,1.82,1.1,1232.9000000,2,9.2,3.96,7.5
2024,Kepler-869 b,Kepler-869,40.4287755,0.2244,3.61,12.7,1.48,0.0,494.0,22.5,5664.0,0.95,0.97,939.4550000,1,17.23,4.47,4.79
2025,Kepler-868 b,Kepler-868,5.03251791,0.0575,2.05,4.86,3.1,0.0,1047.0,3.19,5614.0,0.89,0.93,1593.1300000,1,417.03,4.51,3.89
2026,Kepler-867 b,Kepler-867,150.242127,0.5375,4.64,19.4,1.07,0.0,327.0,104.3,5541.0,0.91,0.92,1195.5400000,1,2.72,4.49,5.89
2027,Kepler-866 b,Kepler-866,2.61703254,0.0331,1.63,3.29,4.17,0.0,996.0,9.88,4751.0,0.71,0.75,646.6670000,1,196.13,4.62,4.27
2028,Kepler-865 b,Kepler-865,14.16399294,0.1057,2.49,6.76,2.41,0.0,694.0,25.755,5570.0,0.92,0.93,586.1370000,1,46.36,4.49,4.27
2029,Kepler-864 b,Kepler-864,5.83376092,0.0687,2.4,6.35,2.52,0.0,1143.0,11.41,5754.0,1.0,1.0,2022.9000000,1,464.76,4.44,4.68
2030,Kepler-863 b,Kepler-863,15.59461874,0.122,2.9,8.75,1.97,0.0,718.0,23.42,5678.0,0.95,0.96,1499.6600000,1,117.83,4.46,3.8
2031,Kepler-862 b,Kepler-862,3.14866453,0.039,2.21,5.52,2.81,0.0,1097.0,9.35,5333.0,0.84,0.88,1039.0300000,1,547.29,4.54,4.79
2032,Kepler-861 b,Kepler-861,3.94963138,0.0463,2.28,5.82,2.7,0.0,966.0,19.966,5047.0,0.78,0.82,850.3270000,1,197.29,4.58,4.47
2033,Kepler-860 b,Kepler-860,5.10137945,0.058,3.24,10.6,1.71,0.0,1050.0,15.4354,5836.0,1.06,1.04,1056.3600000,1,233.62,4.4,4.27
2034,Kepler-859 b,Kepler-859,20.38177573,0.1345,3.09,9.75,1.82,0.0,528.0,43.13,5020.0,0.77,0.81,839.9030000,1,14.9,4.59,4.57
2035,Kepler-858 b,Kepler-858,76.13602028,0.3403,4.87,21.1,1.0,0.0,399.0,76.789,5653.0,0.91,0.96,298.5320000,1,6.34,4.5,3.39
2036,Kepler-857 b,Kepler-857,85.35129427,0.3751,6.8,37.2,0.65,0.0,390.0,102.4237,5773.0,0.99,0.99,983.5020000,1,5.75,4.45,4.27
2037,Kepler-856 b,Kepler-856,8.02768059,0.0787,9.3,63.3,0.432,0.0,824.0,18.28,5535.0,0.93,0.96,1351.1700000,1,153.5,4.49,4.27
2038,Kepler-855 b,Kepler-855,7.8866311,0.0762,8.35,52.7,0.497,0.0,996.0,12.4195,5835.0,1.03,1.03,1506.5800000,1,405.18,4.42,4.17
2039,Kepler-853 b,Kepler-853,7.16892463,0.0779,1.69,3.5,3.98,0.0,1187.0,11.1,6350.0,1.55,1.3,568.6760000,1,499.3,4.17,2.69
2040,Kepler-852 b,Kepler-852,44.9309804,0.2654,2.54,6.99,2.34,0.0,565.0,24.1,6100.0,1.16,1.19,1619.0300000,1,92.13,4.38,1.48
2041,Kepler-851 b,Kepler-851,8.50699658,0.0802,1.68,3.46,4.01,0.0,900.0,13.46,5455.0,0.85,0.89,839.2550000,1,103.83,4.53,4.47
2042,Kepler-850 b,Kepler-850,7.19303878,0.0744,1.78,3.82,3.72,0.0,995.0,16.25,5932.0,1.09,1.06,1661.2800000,1,329.28,4.39,3.89
2043,Kepler-85 e,Kepler-85,25.216751,0.163,1.27,0.6,1.6,0.0,559.0,15.44,5436.0,0.89,0.92,765.0250000,4,24.32,4.49,4.37
2044,Kepler-85 d,Kepler-85,17.91323,0.13,1.2,1.87,5.95,0.0,626.0,12.29,5436.0,0.89,0.87,765.0250000,4,38.39,4.49,0.6
2045,Kepler-85 c,Kepler-85,12.513,0.1007,2.18,20.9,11.1,0.0,706.0,9.67,5499.0,1.24,0.92,765.0250000,4,61.93,4.22,4.37
2046,Kepler-85 b,Kepler-85,8.306,0.0766,1.97,4.54,3.26,0.0,809.0,7.36,5499.0,1.24,0.92,765.0250000,4,107.03,4.22,4.37
2047,Kepler-849 b,Kepler-849,394.6244904,1.1088,7.14,40.4,0.61,0.0,325.0,92.98,6059.0,1.64,1.23,822.1340000,1,3.12,4.1,3.98
2048,Kepler-848 b,Kepler-848,6.91134416,0.072,1.7,3.53,3.95,0.0,1086.0,9.13,5695.0,1.2,1.01,1378.4700000,1,794.78,4.28,8.32
2049,Kepler-847 b,Kepler-847,2.3432319,0.0315,1.18,1.76,5.89,0.0,1054.0,8.893,4940.0,0.77,0.83,513.1030000,1,292.31,4.58,3.89
2050,Kepler-846 b,Kepler-846,19.80792185,0.1399,2.48,6.71,2.42,0.0,624.0,43.23,5579.0,0.91,0.94,1127.1200000,1,35.28,4.5,4.37
2051,Kepler-845 b,Kepler-845,0.92785982,0.017,2.04,4.82,3.12,0.0,1361.0,2.94,4913.0,0.75,0.79,431.0510000,1,772.5,4.59,4.79
2052,Kepler-844 b,Kepler-844,2.61302086,0.0298,1.68,3.46,4.01,0.0,713.0,5.28,4128.0,0.57,0.59,431.7760000,1,89.65,4.7,3.8
2053,Kepler-843 b,Kepler-843,2.05387982,0.0313,2.59,7.22,2.28,0.0,1523.0,7.369,5830.0,1.03,1.02,1165.6600000,1,890.33,4.42,4.17
2054,Kepler-842 b,Kepler-842,1.21956827,0.0204,1.6,3.19,4.28,0.0,1252.0,6.075,4848.0,0.73,0.78,532.7260000,1,588.95,4.6,4.37
2055,Kepler-841 b,Kepler-841,124.4198398,0.479,5.23,23.8,0.914,0.0,416.0,270.02,5324.0,0.81,0.85,998.9610000,1,1.65,4.56,4.47
2056,Kepler-84 f,Kepler-84,44.552169,0.25,2.2,5.48,2.83,0.0,572.0,43.0,6031.0,1.17,1.06,1023.9000000,5,25.3,4.32,3.98
2057,Kepler-84 e,Kepler-84,27.434389,0.181,2.6,7.27,2.27,0.0,672.0,41.83,6031.0,1.17,1.06,1023.9000000,5,48.29,4.32,3.98
2058,Kepler-84 d,Kepler-84,4.224537,0.052,1.38,2.48,5.19,0.0,1254.0,10.448,6031.0,1.17,1.06,1023.9000000,5,584.24,4.32,3.98
2059,Kepler-84 c,Kepler-84,12.883,0.1072,2.36,20.2,8.44,0.0,865.0,6.24,6039.0,1.43,1.0,1023.9000000,5,132.23,4.13,3.98
2060,Kepler-84 b,Kepler-84,8.726,0.0827,2.23,40.0,19.8,0.0,985.0,5.93,6039.0,1.43,1.0,1023.9000000,5,222.19,4.13,3.98
2061,Kepler-839 b,Kepler-839,37.8144514,0.2341,2.57,7.13,2.31,0.0,626.0,34.29,6058.0,1.31,1.22,944.5610000,1,46.3,4.29,2.82
2062,Kepler-838 b,Kepler-838,15.74957994,0.1266,2.73,7.9,2.13,0.0,777.0,20.8,5770.0,0.96,0.98,1104.0400000,1,61.09,4.46,4.17
2063,Kepler-837 b,Kepler-837,16.56059504,0.1144,2.56,7.08,2.32,0.0,701.0,16.3,5403.0,0.81,0.85,901.9070000,1,55.97,4.56,3.98
2064,Kepler-836 b,Kepler-836,11.36112327,0.1013,2.73,7.9,2.13,0.0,869.0,11.5,5895.0,1.04,1.03,980.0350000,1,135.8,4.41,4.27
2065,Kepler-835 b,Kepler-835,11.41909375,0.107,2.79,8.2,2.07,0.0,921.0,6.79,5954.0,1.11,1.08,2406.3300000,1,170.33,4.38,3.63
2066,Kepler-834 b,Kepler-834,13.32388301,0.0862,2.02,4.74,3.16,0.0,378.0,32.33,4554.0,0.66,0.7,633.9370000,1,11.85,4.64,2.69
2067,Kepler-833 b,Kepler-833,18.7546998,0.1139,2.02,4.74,3.16,0.0,382.0,48.55,4339.0,0.62,0.64,467.3700000,1,8.31,4.67,3.72
2068,Kepler-832 b,Kepler-832,7.1396941,0.075,2.06,4.9,3.08,0.0,965.0,14.179,5596.0,0.9,0.92,1688.1200000,1,256.83,4.5,4.37
2069,Kepler-831 b,Kepler-831,5.62153941,0.0603,1.27,2.15,5.77,0.0,992.0,18.335,5732.0,0.97,0.99,593.5400000,1,266.25,4.46,4.17
2070,Kepler-830 b,Kepler-830,11.29695137,0.1033,1.7,3.53,3.95,0.0,907.0,9.9,6037.0,1.11,1.07,1122.0000000,1,160.18,4.38,3.47
