,planet_density,planet_radius,planet_mass
668,8.43,12.5,2995.22334
669,9.02,12.5,3207.01405
670,0.471,14.0,235.18
671,3.49,1.87,4.15
672,0.737,6.17,31.4968
673,9.77,12.4,3391.2461
674,1.09,13.5,486.2799
675,6.12,1.292,2.22
676,2.77,2.23,5.6
677,2.87,2.18,5.41
678,2.61,2.34,6.08
679,2.6,2.35,6.14
680,13.1,12.3,4449.62
681,0.767,13.7,359.13
682,1.38,13.4,603.9
683,1.65,13.3,704.94694
684,0.489,14.0,244.09344
685,0.621,13.8,296.85322
686,2.88,13.0,1150.5446
689,1.75,3.17,10.17
691,0.355,14.1,181.16219
692,0.351,10.9,82.6358
693,4.25,12.8,1620.933
694,8.8,12.5,3127.4472
695,0.51,13.9,249.05159
696,1.63,13.3,699.54383
697,0.972,5.0,22.1
698,0.265,14.3,140.79869
699,1.23,4.16,16.14
700,1.45,13.4,635.0
701,0.271,13.3,116.0
702,1.46,3.66,13.0
703,3.59,1.83,4.0
704,1.72,3.23,10.52012
705,2.19,13.2,918.5287
706,5.47,12.7,2040.0
707,2.74,13.1,1121.89
708,1.21,13.5,540.29
709,0.553,13.9,270.15415
710,1.85,3.05,9.53485
711,6.66,12.6,2422.83767
712,17.4,12.2,5733.43678
713,0.345,11.1,85.8141
714,5.76,12.7,2146.32971
715,7.86,12.5,2793.7257
716,8.12,12.5,2885.45006
717,1.92,13.2,803.57766
718,6.06,12.7,2259.86363
719,0.411,14.1,209.7678
720,9.06,12.5,3219.6179
721,1.99,13.2,832.7146
722,7.87,12.5,2796.88998
723,3.78,12.33,1115.5833
724,2.05,13.2,858.1
725,3.34,13.0,1334.87931
726,5.8,12.7,2161.63039
727,0.373,14.1,190.06234
728,1.94,2.94,8.98
729,0.566,13.9,276.5121
730,2.73,2.26,5.74
731,1.91,2.98,9.18
732,1.3,4.0,15.1
733,1.2,13.5,537.1327
734,0.537,7.87,47.6725
735,7.01,12.6,2552.1749
736,0.86,5.48,25.74423
737,0.596,13.9,291.12
738,1.63,13.3,697.31902
739,2.47,13.1,1010.6994
740,19.8,12.1,6397.9179
741,1.53,3.53,12.214
742,1.2,13.5,535.54355
743,8.39,12.5,2981.01296
744,1.93,13.2,807.2882
745,1.71,3.23,10.50968
746,8.77,12.5,3115.44391
747,2.53,2.4,6.3566
748,0.398,14.1,203.0
749,0.328,14.2,171.0
750,0.255,14.0,127.132
751,2.69,13.1,1102.03602
752,8.33,12.5,2959.02909
753,2.39,3.55,19.7
754,0.306,12.1,98.52681
755,0.319,11.8,95.34852
756,0.269,14.3,143.02278
757,0.671,13.8,321.0083
758,7.5,2.6,24.1
759,0.544,13.9,265.70588
760,0.319,14.2,166.218
761,1.44,13.4,632.46
762,2.64,13.1,1080.622
763,1.04,13.6,476.72
764,30.2,11.9,9262.62856
765,2.02,2.85,8.5
766,2.35,2.54,7.0
767,0.943,12.666,359.1479
768,1.21,4.21,16.46
769,4.52,12.8,1726.82637
770,1.31,13.4,572.09113
771,1.08,4.59,19.069
772,1.44,13.4,630.89255
773,2.41,13.1,985.2
774,8.35,12.5,2968.87379
775,1.4,3.41,10.0
776,1.35,3.195,8.0
777,0.57,2.995,2.8
778,0.281,13.0,112.2
779,1.51,13.4,660.0
780,1.42,3.74,13.5
781,0.342,14.2,177.9848
782,1.19,4.27,16.9
783,0.911,5.25,24.0
784,1.52,13.4,666.17168
785,10.3,12.4,3580.0227
786,3.16,13.0,1264.9634
787,2.47,13.1,1010.6994
788,11.7,12.3,3972.85509
789,7.42,12.6,2701.54146
790,1.96,13.2,819.97
791,0.514,13.9,251.0
792,0.584,7.39,42.86581
793,0.951,13.6,435.41
794,1.59,3.43,11.66
795,1.35,3.89,14.44
796,1.14,13.5,508.21017
797,0.825,13.7,385.84562
798,17.2,12.2,5689.157
801,0.343,17.318,323.23311
802,6.35,14.46,3496.11248
803,8.06,1.72,7.42
804,2.71,13.1,1110.49341
805,6.53,12.6,2375.78917
806,6.81,12.6,2479.074
807,5.36,12.7,1999.1507
808,3.98,12.9,1553.54852
809,1.17,4.32,17.20043
810,14.6,12.2,4841.00771
811,0.39,10.1,73.1009
812,0.258,13.8,123.42834
813,0.951,13.6,435.41
814,0.694,6.47,34.2
815,1.48,13.4,647.10188
816,17.8,14.011,8899.1954
817,5.06,16.365,4036.42077
818,5.99,1.21,1.93
819,2.87,2.17,5.33
820,1.7,3.25,10.61
821,1.37,3.83,14.03
822,1.03,13.6,472.83
823,0.342,14.2,177.9848
824,0.465,14.0,232.0159
825,5.05,2.501,14.4
826,4.87,1.45,2.7
827,5.36,1.35,2.4
828,3.11,2.04,4.8
829,3.13,2.03,4.77
830,0.317,14.2,165.265
831,8.85,12.5,3146.4
832,0.849,13.7,397.2875
833,0.972,13.6,444.962
834,0.362,15.581,232.0159
835,0.288,14.3,153.1
836,0.896,13.6,410.0007
837,1.31,13.4,574.63664
838,4.61,12.8,1760.76937
839,0.426,14.0,212.9461
840,1.46,3.66,13.0
841,0.311,14.2,162.0933
842,1.77,13.3,759.6137
843,4.65,12.8,1773.4914
844,2.72,13.1,1112.39942
845,1.84,3.05,9.51349
846,9.15,1.745,8.83
847,1.05,4.71,19.95
848,0.42,9.52,65.9
849,19.3,12.1,6229.26362
850,5.93,1.19,1.819
851,5.9,1.17,1.72
852,4.75,1.48,2.801
853,4.59,1.51,2.877
854,2.53,2.4,6.3566
855,0.293,12.5,104.3
856,0.856,13.7,400.4
857,1.65,13.3,706.53609
858,1.75,3.18,10.26
859,1.86,3.03,9.44
860,0.698,13.8,333.7215
861,0.355,14.1,181.1631
862,2.06,2.8,8.23
863,1.17,4.34,17.37
864,0.903,13.6,413.179
865,1.97,13.2,826.32
866,31.93,0.892,3.7
867,13.0,12.3,4402.88762
868,2.25,2.62,7.35886
869,21.3,12.1,6865.128
870,0.369,14.1,188.02679
871,0.431,9.32,63.566
872,8.72,12.5,3099.7758
873,6.34,1.602,4.74
874,6.95,1.511,4.36
877,1.68,3.28,10.80622
878,0.29,12.7,108.0622
879,0.496,14.0,247.90616
880,0.665,13.8,317.83
881,0.87,4.71,16.6
882,1.09,4.57,18.94937
883,16.4,12.2,5406.99115
884,16.0,12.2,5288.6912
885,0.431,9.32,63.566
886,0.759,13.7,355.33394
887,1.01,13.6,460.8
888,2.47,13.1,1010.6994
889,2.4,13.1,982.05
890,0.431,9.17,60.5
891,19.7,12.1,6363.40183
892,1.14,13.5,511.7063
893,1.11,13.5,495.8148
894,1.54,13.4,673.7996
895,7.31,12.6,2660.2371
896,5.99,12.7,2234.17873
897,0.446,14.0,222.481
898,2.8,2.22,5.57
899,1.54,13.4,673.79622
900,12.8,12.3,4338.2
901,1.98,13.2,829.5363
902,1.08,13.5,485.32641
903,0.768,13.7,359.1479
904,5.61,12.7,2089.644
905,1.26,13.5,565.7374
906,6.15,2.0,8.32
907,3.1,1.87,3.41
908,7.5,0.75,0.55
909,7.5,0.818,0.72
910,3.0,1.137,0.77
911,10.6,12.4,3674.938
912,2.37,2.52,6.89
913,5.0,12.8,1906.98
914,4.34,12.8,1655.82
915,15.3,12.2,5050.3187
916,3.07,13.0,1226.8238
917,0.429,9.35,63.88351
918,12.1,12.3,4096.8287
919,1.57,3.46,11.8
920,8.06,12.5,2866.32778
921,0.595,13.9,290.81445
922,1.86,13.3,794.57102
923,0.639,6.89,38.02619
924,15.9,12.2,5253.17758
925,6.2,1.24,2.14
926,4.7,1.533,3.09
927,12.7,12.3,4290.68349
928,0.251,14.3,133.4886
929,0.486,16.141,371.8611
930,2.03,2.84,8.47
931,1.11,13.5,495.8
932,1.04,13.6,474.83802
933,0.386,14.1,196.85951
934,0.506,8.24,51.48846
935,5.78,12.7,2155.40718
936,3.91,12.9,1525.57635
937,9.56,2.199,18.496
938,0.577,4.23,7.943
939,0.909,3.25,5.681
940,4.86,12.8,1853.51476
941,19.3,12.1,6224.47064
942,0.307,12.1,98.81588
943,0.788,13.7,368.67
944,0.651,13.8,311.4734
945,2.04,2.83,8.4
946,1.09,13.5,490.09386
947,3.64,12.9,1420.69298
948,1.8,13.3,772.3269
949,1.11,13.5,498.9906
950,0.951,13.6,435.4271
951,4.93,12.8,1881.53397
952,7.77,12.5,2761.28875
953,5.59,12.7,2084.54271
