,orbital_period_[days],orbit_semi-major_axis_[au]),planet_radius,planet_mass,planet_density,eccentricity,equilibrium_temperature_[k],ratio_of_semi-major_axis_to_stellar_radius,stellar_effective_temperature_[k],stellar_radius_[solar_radius],stellar_mass_[solar_mass],stellar_metallicity_[dex],distance_[pc],number_of_planets,insolation_flux_earth,stellar_surface_gravity,stellar_age_[gyr]
369,2.972086,0.04363,17.822,248.86089,0.242,0.09,1896.0,5.01,6002.0,1.88,1.26,0.035,935.456,1.0,1939.51,3.99,4.66
370,4.8101025,0.06505,23.371,108.0622,0.052,0.0,1903.0,5.691,6406.0,2.55,1.64,-0.08,371.686,1.0,2884.55,3.85,1.24
371,2.29840551,0.02996,12.016,230.10892,0.727,0.041,1028.0,9.6,4508.0,0.67,0.68,-0.059,202.152,1.0,184.8,4.62,11.1
372,4.7869491,0.06555,18.786,1137.8314,1.02,0.0,1930.0,7.32,7394.0,1.93,1.65,-0.069,341.263,1.0,2238.59,4.11,1.27
373,2.20474,0.03676,16.926,584.8072,0.712,0.0,2733.0,4.13,6389.0,2.0,1.56,0.26,341.079,1.0,4353.41,4.07,2.07
374,2.74432452,0.04739,20.961,2154.8874,1.54,0.0,2562.0,5.45,8450.0,1.86,1.89,-0.059,330.739,1.0,5626.34,4.18,0.6
375,3.07634,0.04496,15.693,406.8224,0.568,0.0,1700.0,6.13,6200.0,1.57,1.27,0.01,211.553,1.0,1519.96,4.15,3.4
376,3.92281072,0.05287,15.614,238.05467,0.342,0.084,1540.0,8.5,6350.0,1.34,1.28,0.12,455.203,1.0,931.0,4.29,1.6
377,3.446459,0.0444,14.594,589.55,1.03,0.12,1359.0,9.2,5870.0,1.04,0.99,-0.06,283.971,1.0,489.95,4.4,6.0
381,3.0440499,0.04057,13.585,172.58169,0.377,0.181,1244.0,9.82,5523.0,0.89,0.96,0.05,421.855,1.0,315.99,4.52,2.5
382,2.7667641,0.03815,11.646,340.39593,1.191,0.142,1276.0,8.8,5346.0,0.93,0.97,0.33,513.011,1.0,505.89,4.48,4.9
384,2.686502,0.03744,14.572,1039.3041,1.86,0.0,1592.0,6.5,5738.0,1.24,0.97,-0.1,757.044,1.0,994.81,4.24,9.5
385,16.254611,0.1308,8.709,425.25654,3.5,0.029,814.0,25.8,5846.0,1.09,1.13,0.3,400.331,1.0,72.7,4.42,2.1
386,0.83784,0.0174,14.897,629.14449,1.1169,0.166,2069.0,3.658,5600.0,1.02,1.04,0.28,624.368,1.0,2990.0,4.44,4.2
387,1.354133,0.023,13.092,427.463,1.05,0.0,1577.0,5.5,5227.0,0.9,0.88,0.15,341.925,1.0,667.12,4.48,9.7
390,1.3484978,0.0238,15.637,718.2958,1.03,0.0,2166.0,4.561,6125.0,1.12,1.07,-0.229,494.182,1.0,2706.96,4.37,3.7
391,4.2986432,0.05163,14.123,194.82979,0.38,0.176,1277.0,10.03,5715.0,1.11,0.99,0.02,471.158,1.0,326.89,4.35,7.5
392,3.3023881,0.04735,19.616,206.5895,0.153,0.245,1918.0,5.01,6071.0,2.04,1.3,-0.02,861.843,1.0,2236.58,3.94,4.04
393,4.637038,0.0611,16.814,168.4499,0.18,0.581,1659.0,7.55,6438.0,1.74,1.42,0.09,816.988,1.0,1342.57,4.11,2.3
396,3.547851,0.0485,15.48,340.382,0.51,0.0,1648.0,7.42,6351.0,1.4,1.21,-0.157,411.211,1.0,1212.0,4.22,3.2
397,3.1743516,0.04354,13.171,224.38798,0.543,0.096,1414.0,8.82,5943.0,1.06,1.09,0.06,342.14,1.0,718.91,4.42,2.3
399,2.8126548,0.04024,14.0,292.4036,0.58,0.471,1437.0,7.88,5700.0,1.1,1.1,0.39,745.116,1.0,614.59,4.4,3.5
400,2.5495551,0.03727,13.787,378.85336,0.79,0.08,1429.0,7.83,5659.0,1.02,1.06,0.29,248.46,1.0,757.13,4.45,3.0
401,2.1061607,0.03166,16.029,299.07803,0.4,0.108,1445.0,6.96,5380.0,0.98,0.96,0.25,508.842,1.0,691.84,4.44,7.7
402,1.8209993,0.03199,16.41,388.38826,0.484,0.306,2037.0,4.79,6300.0,1.43,1.32,0.21,514.555,1.0,2440.7,4.24,2.13
403,4.175186,0.0523,12.92,1022.14128,2.12,0.105,1203.0,10.32,5950.0,1.1,1.1,0.15,856.436,1.0,561.0,4.4,0.62
404,4.3315366,0.04913,6.793,31.46517,0.55,0.0,1085.0,12.05,5326.0,0.88,0.84,0.051,211.896,1.0,229.7,4.48,11.46
405,4.375021,0.05036,6.882,23.51942,0.403,0.0,1294.0,9.81,5732.0,1.1,0.89,-0.102,343.525,1.0,464.7,4.3,11.89
406,4.5776348,0.06007,17.598,200.2329,0.202,0.275,1645.0,7.97,6572.0,1.62,1.38,0.0,878.521,1.0,1547.1,4.16,2.06
407,2.516729,0.0362,11.433,420.471,1.55,0.013,1315.0,8.43,5403.0,0.93,1.0,0.43,416.459,1.0,558.83,4.51,2.1
408,3.2642736,0.04997,17.71,505.3497,0.49,0.312,2101.0,4.74,6460.0,2.26,1.56,0.01,1342.29,1.0,3163.38,3.92,2.07
409,4.193649,0.0583,14.908,3082.951,5.1,0.38,1710.0,7.31,6424.0,1.71,1.5,0.47,737.668,1.0,1300.31,4.14,1.34
