,equilibrium_temperature_[k],orbital_period_[days],orbit_semi-major_axis_[au]),stellar_radius_[solar_radius],insolation_flux_earth
2460,1026.0,7.810253,0.0785,1.19,230.63
2463,854.0,7.9222,0.074,0.82,87.7
2464,745.0,11.8993,0.0971,0.82,48.8
2465,1252.0,2.5081,0.0344,0.82,583.5
2479,913.0,3.2253993,0.0382,0.68,116.2
2480,694.0,7.3744897,0.0662,0.68,38.6
2492,500.0,9.325038,0.076,0.65,10.0
2493,420.0,15.50192,0.107,0.65,5.1
2496,542.0,9.795647,0.0785,0.68,60.65
2500,1103.0,2.1748,0.028,0.72,248.0
2506,2100.0,0.381073,0.009,0.58,114.0
2509,801.0,15.387063,0.1211,1.09,87.06
2522,1030.0,11.168454,0.10356,1.16,312.16
2523,1121.0,2.4675,0.03308,0.71,273.0
2524,790.0,7.06005,0.06666,0.71,67.1
2525,523.0,24.3645,0.15224,0.71,12.9
2526,1828.0,2.18053539,0.03558,1.26,1860.0
2527,1587.0,3.20466,0.046,1.59,552.64
2531,709.0,20.88977,0.154,1.16,60.1
2532,560.0,42.3391,0.247,1.16,23.4
2546,494.0,3.48456408,0.0287,0.29,9.91
2550,1238.0,4.00167,0.0506,1.1,365.82
2558,430.0,14.5665,0.0962,0.52,5.8
2559,1957.0,2.6266657,0.0404,1.69,2520.03
2560,1046.0,11.633478,0.1034,1.64,180.0
2563,490.0,19.482,0.1249,0.7,9.58
2570,902.0,6.771315,0.06702,0.89,116.0
2573,893.0,8.562421,0.077,0.99,73.77
2577,1166.0,3.2809626,0.0277,0.69,126.31
2578,653.0,8.4388385,0.0881,0.69,25.21
2580,958.0,6.326763,0.0675,0.97,195.73
2583,568.0,2.260455,0.0214,0.29,30.1
2588,653.0,4.795069,0.04771,0.61,42.6
2589,1089.0,3.471745,0.03817,0.79,234.31
2590,741.0,7.138048,0.0824,0.79,50.35
2591,620.0,10.45582,0.1178,0.79,24.61
2592,501.0,14.76289,0.18041,0.79,10.5
2597,1171.0,3.2588321,0.04217,0.86,293.0
2600,1301.0,2.225177,0.03261,0.9,633.0
2601,795.0,16.9841,0.13,1.09,67.0
2604,852.0,4.024867,0.0451,0.7,120.04
2605,504.0,10.054626,0.074,0.56,5.8
2606,374.0,24.646582,0.1345,0.56,1.77
2607,282.0,44.55646,0.2097,0.56,0.8
2608,1092.0,4.098503,0.04839,0.84,299.0
2617,837.0,8.992,0.0795,0.86,77.7
2618,634.0,20.66093,0.13843,0.86,25.6
2619,550.0,31.71701,0.18422,0.86,14.5
2622,701.0,2.298,0.041,0.58,68.55
2628,650.0,12.4551225,0.1016,0.82,45.7
2641,1687.0,2.9956348,0.0442,1.42,911.46
2654,979.0,2.399964,0.031,0.62,211.0
2655,766.0,5.608352,0.055,0.62,68.0
2668,1224.0,1.422614,0.0223,0.72,529.0
2669,788.0,5.3410507,0.05574,0.73,90.0
2677,974.0,4.44117,0.0511,0.85,213.3
2678,861.0,6.42904,0.0654,0.85,130.3
2679,663.0,14.09189,0.1103,0.85,45.7
2691,1266.0,4.01593,0.04994,1.06,426.0
2692,916.0,10.56103,0.09514,1.06,117.0
2710,1670.0,4.60543,0.05708,2.97,1356.0
2724,563.0,10.003417,0.078,0.57,15.6
2743,939.0,3.471149,0.03784,0.54,49.0
2745,1211.0,5.657,0.06,1.58,646.0
2746,1074.0,1.7292684,0.0224,0.45,100.0
2747,889.0,19.1541,0.13821,1.29,119.0
2751,565.0,5.73594,0.0532,0.57,24.1
2752,456.0,10.93241,0.0818,0.57,10.2
2754,2004.0,3.535055,0.054,2.19,1124.0
2755,665.0,12.20772,0.098,0.81,52.5
2757,912.0,2.849258,0.03486,0.63,115.0
2764,615.0,30.94191,0.1898,0.96,28.6
2765,1400.0,3.00265,0.045,1.12,1212.0
2773,1372.0,5.06963,0.05983,1.67,840.0
2776,651.0,28.67992,0.1814,0.96,125.0
2787,693.0,8.199796,0.076,0.76,58.0
2789,631.0,10.35239,0.0856,0.74,37.7
2790,801.0,5.06416,0.0532,0.74,97.8
2801,979.0,9.726618,0.094,1.4,85.0
2804,314.0,18.4498,0.091,0.31,1.36
2805,502.0,13.733314,0.096,0.62,10.2
2809,1499.0,8.406726,0.086,4.47,123.34
2810,1092.0,10.136448,0.0974,1.57,278.86
2812,2233.0,1.217514,0.02466,1.46,5879.56
2813,1377.0,4.1662739,0.0525,1.21,600.0
2814,1712.0,4.7361,0.06229,2.69,1433.0
2815,1800.0,5.031623,0.06708,2.37,1749.0
2816,1970.0,1.7100566,0.03005,1.52,826.11
2817,1642.0,3.32944,0.04613,1.78,1612.76
2818,2453.0,0.9689951,0.02044,1.36,5571.09
2819,2087.0,3.0801716,0.04881,1.65,2090.4
2820,2085.0,2.8717518,0.0455,1.91,3152.0
2821,1935.0,4.6117093,0.0637,1.83,2340.0
2822,1715.0,4.11379,0.05497,1.93,1438.39
2823,2262.0,3.4741085,0.0542,1.57,4362.5
2824,2051.0,3.6127647,0.05224,1.64,2950.0
2825,1561.0,2.255251,0.03302,1.0,991.18
2826,1459.0,5.5514926,0.06969,1.51,750.9
2827,1816.0,2.70339,0.04123,1.7,1704.57
2828,1823.0,2.9895932,0.04317,1.6,1840.0
2829,1313.0,7.8457,0.07939,1.73,718.19
2831,2048.0,2.73477,0.04415,1.81,1747.63
2832,1675.0,3.24406,0.0455,1.46,983.3
2833,4050.0,1.4811235,0.03462,2.36,44900.0
2842,308.0,440.7813,1.1455,1.24,2.14
2849,264.0,572.3847,1.4062,1.03,3.36
2910,911.0,17.855182,0.154,1.4,196.51
2911,511.0,86.647661,0.382,1.13,7.28
2912,2550.0,1.763588,0.03641,1.74,25339.9
2913,758.0,10.91647,0.098,0.9,68.56
2915,660.0,20.4415,0.14728,0.97,44.8
2916,755.0,13.6088,0.112293,0.97,76.81
2917,412.0,134.4628,0.5135,1.14,5.7
2918,321.0,284.215,0.8453,1.14,2.49
2919,475.0,34.169,0.1949,0.84,11.67
2920,613.0,7.685,0.0634,0.67,27.35
2921,1046.0,3.90512,0.0477,0.86,272.03
2922,785.0,21.185,0.1462,1.25,49.23
2923,686.0,31.828,0.1911,1.25,28.37
2924,1062.0,7.008151,0.074,1.2,316.44
2925,987.0,8.719375,0.089,1.2,236.31
2926,520.0,59.73667,0.32,1.2,18.17
2927,450.0,91.93913,0.42,1.2,10.23
2928,407.0,124.9144,0.48,1.2,6.8
2929,342.0,210.60697,0.71,1.2,3.39
2930,294.0,331.60059,1.01,1.2,1.85
2931,347.0,141.241671,0.534,0.96,3.62
2932,1180.0,0.412,0.008,0.4,320.0
2935,805.0,6.8430344,0.0678,0.87,99.24
2936,432.0,24.278553,0.1456,0.79,8.27
2937,1486.0,3.743208,0.05119,1.52,1053.18
2938,1012.0,10.423648,0.1013,1.52,268.22
2939,806.0,22.342989,0.1684,1.52,97.12
2940,584.0,54.32031,0.3046,1.52,29.7
2941,1022.0,4.2881785,0.0504,0.82,186.31
2943,1459.0,1.706291,0.0269,0.91,729.0
2945,2130.0,0.837491,0.0172,1.06,3741.78
2946,584.0,45.2946,0.241,1.09,18.3
2947,1155.0,6.88705,0.072,1.49,478.21
2948,939.0,12.8159,0.109,1.49,208.66
2949,670.0,35.3331,0.2143,1.49,53.98
2950,473.0,120.0181272,0.5337,1.51,18.0
2951,693.0,14.30511983,0.1129,0.88,40.85
2952,804.0,9.18186,0.084,0.84,98.61
2953,1453.0,4.33642933,0.0564,1.57,981.68
2954,1157.0,3.55485691,0.0444,1.17,814.92
2955,1661.0,5.28789787,0.0671,3.39,1610.09
2956,1026.0,6.49801525,0.0669,1.06,301.33
2957,791.0,19.76172042,0.1464,0.74,153.49
2958,652.0,5.18500207,0.048,0.7,42.62
2959,627.0,12.43931193,0.0951,0.78,35.41
2960,403.0,11.35011917,0.0796,0.57,11.56
2961,1513.0,3.4876812,0.0474,1.56,1240.33
2962,1413.0,6.02976,0.0684,1.56,596.07
2963,477.0,34.2685705,0.193,0.82,10.17
2964,920.0,5.75322197,0.0633,0.88,108.79
2965,934.0,5.50860439,0.0585,0.91,191.81
2966,766.0,18.93054959,0.137,0.76,16.1
2967,614.0,16.57110363,0.121,0.84,33.48
2968,1040.0,16.00494214,0.1396,1.81,172.11
2969,1540.0,1.95452434,0.0307,1.0,1445.2
2970,407.0,105.6551369,0.4389,1.0,7.07
2971,831.0,7.23400469,0.0702,0.87,119.6
2972,498.0,49.1013514,0.253,0.88,12.1
2973,1164.0,1.41122985,0.0221,0.67,330.25
2974,792.0,5.28696,0.0552,0.74,90.33
2975,719.0,7.07142,0.067,0.74,61.32
2976,634.0,10.3117,0.0862,0.74,37.04
2977,546.0,16.1457,0.1162,0.74,20.39
2978,457.0,27.4536,0.1655,0.74,10.05
2979,325.0,96.9151496,0.3878,0.8,2.34
2980,634.0,13.47469571,0.1034,0.86,50.37
2981,512.0,10.99469878,0.0805,0.68,19.26
2982,524.0,62.1387714,0.301,0.89,6.98
2983,376.0,66.4162133,0.3033,0.78,5.45
2984,1654.0,37.3229493,0.3344,1.13,17.95
2985,425.0,36.5156053,0.1977,0.75,5.99
2986,1268.0,1.9078052,0.0295,0.82,1162.51
2987,1217.0,2.51462432,0.0354,0.87,519.64
2988,790.0,4.41769648,0.047,0.77,92.16
2989,872.0,15.9654,0.1269,1.44,150.54
2990,389.0,179.612,0.6372,1.44,5.97
2991,529.0,19.32952416,0.1338,0.76,16.88
2992,2024.0,1.22621732,0.0218,1.12,3973.86
2993,802.0,3.29011795,0.0361,0.71,176.14
2994,914.0,7.56052806,0.0761,0.92,159.42
2995,675.0,12.12400943,0.0965,0.8,36.79
2996,1301.0,2.71407755,0.0386,0.97,1180.06
2997,326.0,122.8808058,0.4629,0.89,2.82
2998,1650.0,1.06378867,0.0198,0.78,1015.43
2999,285.0,148.4603382,0.5238,0.83,1.51
3000,784.0,7.1276598,0.0692,0.82,89.24
3001,2080.0,0.93488424,0.0184,0.74,668.13
3002,852.0,11.427548,0.094,1.35,119.91
3003,668.0,23.668205,0.153,1.35,45.44
3004,515.0,51.755394,0.257,1.35,16.01
3005,300.0,201.1214,0.6559,0.96,2.12
3006,644.0,24.7576421,0.1688,1.08,117.96
3007,574.0,10.13202575,0.0756,0.72,25.66
3008,532.0,38.5053398,0.2159,0.9,21.69
3009,1058.0,6.77408868,0.0741,1.11,218.5
3010,512.0,26.41045478,0.1616,0.82,19.13
3011,786.0,14.37508035,0.1167,1.04,90.16
3012,503.0,56.1886887,0.2939,1.13,28.85
3013,1309.0,3.18897601,0.0434,1.13,1323.07
3014,619.0,6.92101021,0.059,0.7,96.98
3015,625.0,3.27346074,0.0349,0.49,50.43
3016,1418.0,5.4122,0.066,1.58,341.81
3017,997.0,7.1262,0.0711,0.89,161.0
3018,1039.0,15.3787546,0.1313,1.13,62.02
3019,935.0,21.1284569,0.1622,1.13,40.64
3020,850.0,25.96200249,0.1891,1.73,87.46
3021,522.0,34.8538276,0.2046,1.03,20.98
3022,953.0,2.41435165,0.0315,0.69,139.82
3023,1177.0,4.30655689,0.054,1.34,760.52
3024,1304.0,2.29503623,0.0331,0.94,647.26
3025,590.0,27.495606,0.1629,1.2,56.91
3026,724.0,14.08827448,0.1138,1.1,69.21
3027,239.0,110.96546,0.3679,0.69,0.77
3028,908.0,3.76419105,0.044,0.72,174.07
3029,1021.0,6.16486,0.0648,1.04,277.22
3030,785.0,13.5708,0.1096,1.04,96.91
3031,649.0,23.9802,0.1602,1.04,45.36
3032,531.0,43.8445,0.2395,1.04,20.29
3033,484.0,46.8779367,0.2495,0.99,17.42
3034,1332.0,2.75798267,0.0384,1.07,788.5
3035,583.0,9.30412078,0.0748,0.7,33.76
3036,931.0,14.07971466,0.1176,1.14,54.93
3037,570.0,16.54080322,0.1183,0.79,24.87
3038,1092.0,3.60930891,0.0455,0.93,419.91
3039,1256.0,2.37030743,0.0344,0.93,734.62
3040,1290.0,1.93155984,0.0299,0.98,710.02
3041,1872.0,0.76212926,0.0162,0.93,2761.76
3042,973.0,5.4258399,0.0601,0.93,211.66
3043,702.0,16.92344113,0.1309,1.01,55.93
3044,823.0,23.8990296,0.1685,0.98,78.17
3045,1593.0,3.1800218,0.04544,1.45,1175.38
3046,1379.0,4.901452,0.06064,1.45,659.65
3047,1173.0,7.95839,0.08377,1.45,346.11
3048,955.0,14.749143,0.12639,1.45,151.94
3049,1101.0,6.2216147,0.0693,1.32,380.13
3050,814.0,6.1799844,0.0615,0.81,45.12
3051,1849.0,1.5690665,0.0269,1.32,2944.0
3052,905.0,8.67888593,0.0805,1.0,128.55
3053,1169.0,4.02582254,0.0483,1.0,357.08
3054,1369.0,2.50476003,0.0352,1.12,828.59
3055,568.0,5.94566534,0.0536,0.57,27.57
3056,818.0,1.52372816,0.0208,0.54,143.97
3057,770.0,6.14727918,0.0611,0.74,83.18
3058,576.0,34.3511874,0.2101,1.02,26.93
3059,1122.0,3.00725242,0.0388,0.92,373.99
3060,887.0,13.24503188,0.1092,1.36,195.35
3061,669.0,49.183921,0.292,2.19,47.4
3062,426.0,190.323494,0.721,2.19,7.8
3063,548.0,77.2548396,0.3781,1.16,55.45
3064,972.0,3.85691855,0.0466,0.84,225.22
3065,1827.0,1.5432066,0.0257,1.14,2949.56
3066,448.0,33.4177993,0.1899,0.77,10.15
3067,1737.0,2.05333679,0.0324,1.28,1766.59
3068,313.0,219.3217528,0.7391,1.14,2.06
3069,491.0,56.7771,0.3002,1.08,13.74
3070,433.0,18.78425728,0.1198,0.66,9.16
3071,211.0,161.5163345,0.503,0.66,0.52
3072,2161.0,0.69384285,0.0148,0.94,3496.49
3073,667.0,23.12748644,0.1602,1.08,44.89
3074,584.0,5.13248562,0.0497,0.49,26.27
3075,1145.0,6.48163,0.0683,1.32,432.33
3076,771.0,21.2227,0.1506,1.32,88.92
3077,297.0,198.680179,0.6364,0.82,1.83
3078,1182.0,4.09357325,0.0514,1.05,414.6
3079,850.0,5.39202539,0.0583,0.78,138.75
3080,1162.0,4.70832654,0.0539,0.92,384.56
3081,998.0,5.00731778,0.0556,0.98,234.28
3082,1497.0,2.0523499,0.0322,1.3,1324.2
3083,1139.0,4.40840023,0.052,0.85,398.0
3084,992.0,3.96999,0.046,0.74,229.37
3085,720.0,10.37168453,0.0873,0.78,42.49
3086,876.0,10.00652995,0.0933,1.04,181.41
3087,986.0,8.09888799,0.0832,1.12,484.01
3088,905.0,7.411141,0.0748,0.99,228.28
3089,236.0,226.89047,0.6732,0.78,0.66
3090,521.0,21.02247699,0.1378,0.78,15.8
3091,487.0,23.58914398,0.1429,0.8,15.57
3092,1174.0,4.34728553,0.0524,0.91,710.87
3093,613.0,16.08524954,0.1173,0.77,28.22
3094,1221.0,3.16789194,0.0426,0.96,684.76
3095,1160.0,2.23749275,0.0325,0.76,336.67
3096,453.0,41.40831347,0.2162,0.84,15.01
3097,265.0,56.0560538,0.232,0.51,0.73
3098,1121.0,3.76182115,0.047,0.96,514.12
3099,1038.0,4.58352176,0.0535,1.27,373.11
3100,713.0,10.52629406,0.088,0.86,88.91
3101,777.0,10.35533177,0.0895,0.84,75.62
3102,452.0,80.8720639,0.3577,0.96,12.07
3103,1630.0,4.8854892,0.06067,1.97,1375.11
3104,727.0,16.32976218,0.1255,0.91,172.56
3105,1151.0,3.70987065,0.0471,0.88,472.24
3106,1234.0,4.19042557,0.0535,1.08,607.52
3107,1021.0,3.04033042,0.0374,0.8,499.06
3108,914.0,6.36584161,0.0659,0.95,206.44
3109,600.0,15.37563332,0.1121,0.72,31.64
3110,639.0,21.81293494,0.1495,0.86,28.5
3111,460.0,8.114379,0.0649,0.5,12.99
3112,964.0,7.74809437,0.081,1.16,225.7
3113,299.0,242.4613,0.64,0.93,2.69
3114,779.0,13.722341,0.094,0.93,123.52
3115,536.0,22.36656079,0.1449,0.88,35.34
3116,1005.0,3.89593684,0.046,0.96,458.91
3117,518.0,20.50586978,0.1326,0.73,15.65
3118,1539.0,1.59474546,0.0258,0.92,2132.9
3119,1579.0,1.6255222,0.0265,1.16,1137.12
3120,812.0,6.77030201,0.064,0.86,102.87
3121,1332.0,2.53918318,0.0355,0.95,702.28
3122,753.0,12.61190667,0.1058,0.89,306.1
3123,489.0,26.39435646,0.1635,0.76,14.15
3124,1147.0,3.68992629,0.0469,1.11,706.62
3126,941.0,9.6051,0.09059,1.26,204.48
3127,1280.0,5.3988,0.0617,1.26,439.92
3128,677.0,12.39358604,0.0983,0.84,56.0
3129,833.0,7.27503724,0.0732,0.91,113.64
3130,1015.0,6.57531678,0.067,0.99,683.27
3131,396.0,11.59822172,0.0798,0.49,8.24
3132,1070.0,2.33743801,0.0325,0.75,308.55
3133,822.0,2.24338185,0.028,0.57,146.51
3134,1023.0,3.72873109,0.0455,0.84,253.46
3135,529.0,38.3774623,0.2163,0.92,16.36
3136,1012.0,4.28095859,0.0503,0.95,331.44
3137,1219.0,2.81650485,0.0383,0.99,528.22
3138,602.0,15.7259,0.1171,0.78,34.2
3139,1243.0,4.12554687,0.0529,1.2,826.76
3140,790.0,8.35390639,0.0768,0.82,77.62
3141,516.0,41.43962808,0.2288,0.87,71.82
3142,1133.0,4.49876092,0.0542,1.05,575.64
3143,593.0,16.01310205,0.1148,0.74,20.72
3144,1406.0,2.52559332,0.0374,1.02,652.43
3145,917.0,4.99678284,0.0559,0.82,167.98
3146,530.0,21.67697486,0.1408,0.74,23.82
3147,678.0,6.02930132,0.0585,0.67,45.53
3148,649.0,9.27358194,0.0759,0.71,44.09
3149,699.0,17.815815,0.1352,0.97,62.84
3150,513.0,17.671796,0.1204,0.74,21.31
3151,871.0,1.28707676,0.0188,0.6,223.75
3152,616.0,24.54350418,0.1654,1.01,34.07
3153,1569.0,1.26025909,0.0232,0.82,924.37
3154,588.0,46.4063358,0.2559,1.24,28.77
3155,831.0,13.72465129,0.1116,1.11,229.31
3156,2078.0,0.90037648,0.0186,1.19,3743.28
3157,819.0,14.70748976,0.1197,1.19,90.38
3158,974.0,4.18200253,0.0503,0.88,211.88
3159,574.0,21.38521506,0.1409,0.87,27.22
3160,1507.0,3.03214559,0.0421,1.35,1218.88
3162,1117.0,8.13123,0.084,1.41,394.55
3163,1246.0,5.859944,0.068,1.41,609.99
3164,1740.0,2.15491,0.035,1.41,2316.1
3165,564.0,29.90722674,0.1805,0.94,25.15
3166,674.0,17.4211749,0.1341,0.98,47.34
3167,644.0,29.6663,0.1827,1.55,37.22
3168,788.0,16.2254649,0.1222,1.07,162.79
3169,632.0,15.87364565,0.1149,0.91,38.23
3170,1730.0,3.27582262,0.049,1.21,1364.76
3171,1655.0,3.1739171,0.0466,1.81,2381.77
3172,963.0,16.33889626,0.126,2.52,211.71
3173,1810.0,4.41745855,0.0589,1.66,719.37
3174,926.0,9.48961571,0.0879,1.13,311.79
3175,609.0,22.24813967,0.1566,0.94,35.06
3176,957.0,10.21420496,0.0966,1.29,295.83
3177,1111.0,6.07972888,0.0632,0.93,872.57
3178,1002.0,23.20584623,0.1867,2.56,63.8
3179,614.0,16.08066115,0.1185,0.8,67.51
3180,802.0,23.44971004,0.1764,1.51,193.93
3181,1309.0,5.16950177,0.0578,1.24,808.84
3182,725.0,23.78319931,0.1618,1.27,65.26
3183,1021.0,8.50340718,0.0815,1.15,257.22
3184,500.0,30.99660733,0.1885,0.84,14.72
3185,828.0,17.97979059,0.1447,1.33,94.14
3186,343.0,161.4743937,0.5729,1.04,5.57
3187,791.0,9.4341505,0.08,0.9,100.37
3188,816.0,7.2385854,0.0712,0.84,103.15
3189,871.0,15.4580567,0.1241,1.28,262.6
3190,685.0,40.6994443,0.2327,1.49,39.3
3191,784.0,14.48585199,0.115,1.05,69.8
3192,1048.0,4.1653651,0.0508,0.96,932.13
3193,852.0,7.75192492,0.0768,0.96,407.83
3194,852.0,14.58649607,0.1172,1.18,130.76
3195,825.0,9.07097734,0.0854,0.86,77.1
3196,446.0,14.28226676,0.0978,0.61,12.49
3197,737.0,2.62811375,0.031,0.68,69.56
3198,849.0,12.91375431,0.1053,1.22,219.05
3199,208.0,267.291,0.718,0.64,0.48
3200,270.0,122.3874,0.427,0.64,1.35
3201,510.0,18.16406,0.12,0.64,17.21
3202,578.0,12.4417,0.0929,0.64,28.49
3203,750.0,5.714932,0.0553,0.64,80.33
3204,1767.0,1.20846503,0.0225,1.11,1652.91
3205,1073.0,5.4042722,0.0611,1.11,224.15
3206,1296.0,3.59576964,0.046,1.08,677.57
3207,750.0,1.68269615,0.0219,0.48,100.3
3208,499.0,51.06740189,0.2749,0.98,14.69
3209,413.0,90.4113556,0.4024,0.97,6.86
3210,860.0,9.99761851,0.0927,0.97,129.18
3211,620.0,10.35584657,0.085,0.69,19.18
3212,641.0,14.03491514,0.1027,0.81,37.2
3213,713.0,15.77979614,0.1232,0.96,66.27
3214,1046.0,3.72215641,0.0452,0.96,997.09
3215,1513.0,2.4370333,0.0351,1.01,1825.3
3216,318.0,151.86392,0.5594,1.13,2.3
3217,888.0,6.99692655,0.0719,1.13,139.07
3218,273.0,59.87756,0.24861,0.62,1.69
3219,932.0,6.52121067,0.0682,1.14,258.06
3220,1069.0,6.41251504,0.0685,1.01,270.16
3221,473.0,39.67679977,0.2122,0.89,11.85
3222,1874.0,0.6381632,0.0135,0.8,2302.61
3223,683.0,24.31575992,0.17,1.22,71.84
3224,1278.0,2.35895152,0.033,0.88,513.03
3225,1133.0,3.38353807,0.042,0.88,316.72
3226,637.0,25.85501786,0.1735,1.03,46.98
3227,1098.0,6.2171292,0.0666,1.01,610.28
3228,401.0,127.9075774,0.5001,1.01,10.82
3229,731.0,21.05358596,0.1502,1.01,119.99
3230,852.0,15.28469497,0.1224,1.13,128.78
3231,833.0,5.37886844,0.056,0.79,110.62
3232,528.0,23.67517607,0.1536,0.81,20.18
3233,929.0,11.8981,0.1012,1.26,161.0
3234,1023.0,8.9187,0.0835,1.26,236.0
3235,1102.0,7.1334,0.0719,1.26,318.0
3236,1460.0,3.2346996,0.04852,1.39,792.22
3237,623.0,15.65562652,0.1128,0.79,24.47
3238,367.0,86.4945,0.3576,0.9,4.29
3239,1050.0,3.70175428,0.0438,0.86,265.41
3240,743.0,13.02365861,0.1056,0.95,76.38
3241,725.0,21.30022655,0.156,1.32,82.3
3242,679.0,12.38602,0.0983,0.82,50.23
3243,535.0,25.3029092,0.1582,0.82,17.38
3244,678.0,13.64618192,0.1089,0.87,59.4
3245,706.0,21.21708973,0.1508,1.1,61.02
3246,1367.0,2.82019241,0.0397,1.04,935.83
3247,436.0,81.1694299,0.3554,0.94,5.62
3248,1056.0,5.85296257,0.0647,1.15,782.41
3249,752.0,17.9801235,0.1372,0.94,107.74
3250,864.0,11.8681707,0.104,0.94,187.51
3251,1098.0,3.52466011,0.0426,0.92,344.61
3252,656.0,16.54964934,0.1196,0.83,32.14
3253,1176.0,4.22162536,0.052,1.0,718.08
3254,764.0,10.94027841,0.0952,0.89,70.97
3255,1365.0,2.10472218,0.0331,0.92,705.05
3256,1178.0,2.75235975,0.0375,0.93,489.15
3257,664.0,35.1810304,0.2281,1.24,76.34
3258,1017.0,6.5100253,0.0689,0.91,178.7
3259,603.0,18.49235668,0.1254,0.91,25.06
3260,521.0,40.6069821,0.2259,1.0,12.39
3261,558.0,8.22241966,0.0683,0.64,24.06
3262,583.0,40.101371,0.236,1.13,18.24
3263,799.0,15.5741568,0.1228,1.03,64.39
3264,920.0,10.2184954,0.0927,1.03,112.99
3265,730.0,9.66857723,0.0854,0.96,60.61
3266,1774.0,1.6168837,0.0266,0.83,496.9
3267,314.0,25.69578251,0.1348,0.73,5.69
3268,541.0,29.91136794,0.179,0.97,16.82
3269,803.0,9.37891944,0.0788,0.95,141.99
3270,858.0,7.65880414,0.0723,0.91,120.47
3271,646.0,22.18329658,0.1486,1.02,46.44
3272,553.0,17.20523483,0.1192,0.79,26.89
3273,978.0,4.79859939,0.0546,0.9,219.04
3274,1009.0,4.301662,0.0497,0.9,214.04
3275,671.0,11.6092567,0.096,0.73,48.57
3276,850.0,5.7293196,0.06,0.73,124.35
3277,526.0,34.18890521,0.1981,0.93,19.31
3278,429.0,11.02347475,0.0794,0.53,8.37
3279,611.0,16.54297375,0.1229,0.79,26.14
3280,526.0,18.42794624,0.1247,0.79,16.88
3281,1063.0,4.24374723,0.0501,0.95,301.46
3282,1129.0,3.75083228,0.0484,0.92,389.4
3283,546.0,22.18432708,0.1418,0.77,18.74
3284,658.0,18.00931444,0.1333,0.9,67.44
3285,989.0,5.35016198,0.0593,0.94,183.17
3286,446.0,58.3620495,0.2918,0.94,7.57
3287,298.0,18.47764449,0.0899,0.33,2.46
3289,1087.0,21.40239,0.1652,4.23,317.21
3290,1378.0,10.5016,0.1028,4.23,819.25
3291,706.0,17.58752333,0.1277,0.95,42.54
3292,498.0,29.00790538,0.1759,0.81,15.23
3293,1281.0,3.70598955,0.0469,1.16,2885.66
3294,766.0,11.72292176,0.0973,0.98,81.64
3295,664.0,16.21775407,0.1201,1.04,129.37
3296,1346.0,1.90220856,0.0293,0.92,877.95
3297,224.0,328.2399546,0.9084,0.85,0.6
3298,970.0,4.03046804,0.0484,0.85,210.01
3299,1103.0,5.26341577,0.0612,1.04,358.99
3300,483.0,12.3764661,0.0893,0.63,14.39
3301,760.0,8.60010411,0.0747,0.83,77.26
3302,559.0,10.198545,0.081,0.62,25.44
3303,728.0,4.617534,0.048,0.62,73.16
3304,931.0,2.211099,0.029,0.62,195.0
3305,349.0,42.1516418,0.2095,0.58,3.84
3306,400.0,27.9481449,0.1593,0.58,6.64
3307,349.0,117.040498,0.4453,0.84,2.51
3308,487.0,42.9495649,0.2283,0.84,9.55
3309,1017.0,4.45419434,0.0495,0.9,237.04
3310,768.0,6.01038429,0.058,0.73,87.71
3311,1258.0,4.14702026,0.0502,1.15,690.13
3312,806.0,13.24934059,0.1087,1.07,101.14
3313,748.0,21.41616926,0.1553,1.22,126.03
3314,521.0,13.89961966,0.098,0.67,23.08
3315,698.0,13.14497566,0.1038,0.9,61.57
3316,1673.0,5.08005848,0.0641,2.06,1452.9
3317,355.0,172.7049784,0.5886,1.08,4.53
3318,328.0,20.995694,0.126,0.55,3.42
3319,395.0,12.0717249,0.0809,0.5,3.07
3320,453.0,8.0109434,0.0619,0.5,12.36
3322,388.0,125.63243,0.4988,0.95,3.68
3323,380.0,81.73778,0.4669,0.87,2.99
3324,1181.0,3.24755522,0.0442,0.99,442.52
3325,1877.0,1.8270823,0.0276,0.89,892.81
3326,1247.0,4.90332155,0.0594,1.27,601.89
3327,933.0,7.37868977,0.0761,0.97,178.68
3328,721.0,15.95994513,0.1272,0.98,63.95
3329,423.0,28.51120525,0.165,0.72,8.77
3330,620.0,12.92491623,0.1012,0.79,34.09
3331,453.0,29.88485741,0.1694,0.75,10.01
3332,488.0,39.30941904,0.2212,0.89,14.24
3333,870.0,9.751962,0.091,0.96,144.85
3334,550.0,38.5583038,0.2255,0.89,23.18
3335,701.0,18.6489525,0.139,0.89,61.0
3336,633.0,35.86619949,0.2134,1.19,37.92
3337,891.0,12.8345022,0.1075,1.14,149.42
3338,1662.0,1.98035766,0.0309,1.14,1808.41
3339,708.0,19.78297415,0.1409,1.06,68.97
3340,1157.0,13.28535633,0.1179,1.45,147.05
3341,1099.0,5.45849832,0.064,1.14,584.35
3342,832.0,18.68404933,0.1396,1.15,176.23
3343,1574.0,1.88897906,0.0303,1.1,2959.34
3344,974.0,7.97419807,0.0791,1.1,434.24
3345,884.0,5.83598311,0.0606,0.86,149.13
3346,761.0,38.58422849,0.2551,1.98,63.86
3347,803.0,22.20813214,0.1699,1.46,160.61
3348,1107.0,5.21104261,0.0594,1.09,351.69
3349,711.0,19.67416124,0.144,1.09,59.77
3350,332.0,36.445171,0.182,0.56,2.94
