,orbital_period_[days],orbit_semi-major_axis_[au]),planet_radius,planet_mass,planet_density,eccentricity,equilibrium_temperature_[k],ratio_of_semi-major_axis_to_stellar_radius,stellar_effective_temperature_[k],stellar_radius_[solar_radius],stellar_mass_[solar_mass],stellar_metallicity_[dex],distance_[pc]
5089,2.5904434,0.0371,1.64,3.33,4.15,0.0,1484.0,9.28,5477.0,0.88,0.92,0.03,489.876
5090,5.3227406,0.06,1.65,3.36,4.11,0.0,1167.0,9.42,5477.0,0.88,0.92,0.03,489.876
5091,9.20761013,0.0865,3.279,10.8,1.68,0.0,972.0,10.96,5678.0,1.3,1.02,0.2,489.876
5092,1.13854338,0.022,1.11,1.41,5.67,0.0,2537.0,4.151,6260.0,1.27,1.16,-0.03,666.334
5093,1.09366356,0.0206,1.35,2.39,5.34,0.0,1681.0,5.825,5559.0,0.88,0.91,-0.1,798.246
5094,308.5471,0.9625,3.46,11.8,1.57,0.0,330.0,130.198,6431.0,1.51,1.31,0.03,966.801
5095,5.71668872,0.0599,1.89,4.23,3.44,0.0,955.0,22.75,5442.0,0.86,0.9,-0.01,1107.0
5096,138.9442,0.5329,2.55,7.04,2.33,0.0,384.0,100.3,6021.0,1.11,1.08,0.0,897.733
5097,364.758031,0.8507,3.14,10.0,1.77,0.0,166.0,120.9,4434.0,0.67,0.71,0.05,387.248
5098,1.4444538,0.0245,1.18,1.76,5.89,0.0,1800.0,11.33,5079.0,0.77,0.81,-0.08,517.292
5099,175.138819,0.6095,2.82,8.35,2.05,0.0,346.0,126.8,5837.0,1.03,1.03,0.02,1125.3
5100,133.3036741,0.4765,2.7,7.75,2.16,0.0,301.0,141.6,5176.0,0.8,0.84,-0.01,748.326
5101,33.040532,0.198,2.26,5.73,2.73,0.0,561.0,75.74,5690.0,1.0,0.98,-0.04,915.212
5102,62.303276,0.303,2.95,9.01,1.93,0.0,454.0,47.1,5690.0,1.0,0.98,-0.04,915.212
5103,20.54981883,0.1415,3.84,14.1,1.37,0.0,657.0,29.25,5769.0,0.98,0.98,-0.04,915.212
5104,3.93276465,0.047,1.5,2.86,4.66,0.0,1140.0,9.88,5769.0,0.98,0.98,-0.04,915.212
5105,9.91935684,0.0871,1.5,2.86,4.66,0.0,838.0,17.51,5769.0,0.98,0.98,-0.04,915.212
5106,125.4131177,0.4426,2.49,6.76,2.41,0.0,266.0,447.0,4540.0,0.69,0.74,0.1,244.96
5107,8.40691199,0.0781,1.16,1.65,5.81,0.0,1048.0,33.92,5282.0,0.81,0.86,-0.04,416.692
5108,3.95116882,0.0479,0.76,0.363,4.54,0.0,1160.0,10.63,5564.0,0.99,0.94,0.06,399.114
5109,2.89223021,0.0389,0.65,0.208,4.16,0.0,1287.0,8.83,5564.0,0.99,0.94,0.06,399.114
5110,5.99273738,0.0632,0.87,0.59,4.92,0.0,1010.0,17.65,5564.0,0.99,0.94,0.06,399.114
5111,5.10115756,0.0567,0.76,0.363,4.54,0.0,1065.0,14.74,5564.0,0.99,0.94,0.06,399.114
5112,6.96710269,0.0867,2.71,7.8,2.15,0.0,1774.0,6.61,6561.0,1.65,1.39,0.07,921.784
5113,168.811174,0.5421,1.78,3.82,3.72,0.0,269.0,163.2,4886.0,0.74,0.81,0.02,335.09
5114,163.692349,0.5442,2.7,7.75,2.16,0.0,274.0,187.57,5201.0,0.8,0.84,-0.06,729.964
5115,19.5974971,0.1366,3.13,9.96,1.78,0.0,671.0,18.58,5623.0,0.93,0.95,0.01,931.956
5116,0.69297968,0.0165,0.9,0.666,5.02,0.0,3186.0,4.803,6078.0,1.18,1.12,0.04,674.695
5117,124.828679,0.4679,2.64,7.46,2.23,0.0,350.0,149.9,5706.0,0.97,0.99,0.05,872.279
5118,214.886545,0.6687,2.57,7.13,2.31,0.0,286.0,166.95,5324.0,0.84,0.88,0.02,803.052
5119,5.931194,0.056,2.09,5.02,3.02,0.0,614.0,20.69,4508.0,0.62,0.64,-0.142,293.499
5120,52.661793,0.242,2.24,5.65,2.76,0.0,286.0,88.72,4508.0,0.62,0.64,-0.142,293.499
5121,225.582809,0.7681,3.02,9.38,1.87,0.0,348.0,157.86,5991.0,1.11,1.07,0.01,1179.01
5122,24.4973698,0.1772,2.66,7.56,2.21,0.0,722.0,21.2,6136.0,1.22,1.14,0.01,1463.72
5123,184.771853,0.6045,2.47,6.66,2.43,0.0,268.0,151.5,5202.0,0.78,0.85,-0.07,769.096
5124,4.24261881,0.0481,1.15,1.6,5.78,0.0,926.0,12.47,5288.0,0.81,0.85,-0.09,692.594
5125,198.088774,0.6314,2.9,8.75,1.97,0.0,288.0,154.7,5297.0,0.81,0.84,-0.1,946.847
5126,8.10501635,0.0805,1.61,3.22,4.24,0.0,959.0,13.61,5866.0,1.06,1.04,0.03,2013.27
5127,8.82713457,0.0829,1.96,4.5,3.28,0.0,797.0,32.57,5608.0,0.95,0.97,0.08,944.54
5128,3.74032496,0.049,1.53,2.96,4.54,0.0,1287.0,11.73,6099.0,1.17,1.11,0.02,1380.16
5129,3.50470358,0.0419,0.68,0.244,4.26,0.0,1019.0,13.44,5101.0,0.79,0.83,0.0,325.737
5130,0.97191543,0.018,0.72,0.299,4.4,0.0,1609.0,4.37,5316.0,0.82,0.86,-0.04,614.827
5131,4.973456,0.054,2.3,5.9,2.66,0.0,867.0,12.89,5094.0,0.81,0.84,0.254,443.483
5132,15.906801,0.117,2.55,7.04,2.33,0.0,588.0,31.3,5094.0,0.81,0.84,0.254,443.483
5133,3.03195744,0.0397,0.89,0.64,4.99,0.0,1269.0,13.32,5815.0,1.02,1.02,0.04,502.497
5134,1.00520701,0.0194,1.09,1.32,5.6,0.0,1682.0,4.747,5957.0,1.11,1.07,0.04,839.076
5135,64.2737752,0.3308,3.55,12.3,1.51,0.0,554.0,20.33,5760.0,1.05,1.02,0.11,2060.72
5136,3.43276598,0.0442,0.75,0.347,4.52,0.0,1134.0,5.63,5765.0,0.99,1.0,0.02,616.697
5137,18.0540381,0.1327,1.47,2.76,4.77,0.0,635.0,30.07,5528.0,0.9,0.93,0.03,908.805
5138,1.53818844,0.0241,1.19,1.81,5.9,0.0,1234.0,6.827,4940.0,0.73,0.76,-0.16,629.93
5139,0.53991524,0.0121,0.79,0.418,4.66,0.0,1871.0,3.692,5254.0,0.81,0.84,-0.07,466.586
5140,153.979578,0.552,2.73,7.9,2.13,0.0,330.0,133.6,5655.0,0.93,0.95,-0.03,1206.11
5141,20.925392,0.1499,1.3,2.24,5.6,0.0,729.0,24.39,5956.0,1.19,1.09,0.09,916.313
5142,5.79180156,0.0654,1.68,3.46,4.01,0.0,1222.0,13.5,6319.0,1.4,1.25,0.06,945.454
5143,1.732342,0.028,1.32,2.3,5.5,0.0,1546.0,6.029,5774.0,1.04,1.02,-0.059,773.713
5144,13.5405,0.11,2.24,5.65,2.76,0.0,779.0,23.24,5774.0,1.04,1.02,-0.059,773.713
5145,7.02573474,0.0698,1.46,2.73,4.82,0.0,969.0,25.68,5866.0,1.03,1.02,-0.01,773.713
5146,26.548955,0.1784,1.07,1.24,5.56,0.0,836.0,25.59,5550.0,0.89,0.92,-0.04,918.995
5147,3.38555488,0.0432,1.52,2.92,4.57,0.0,1476.0,13.8,6297.0,1.39,1.23,0.04,675.303
5148,5.49548621,0.0614,0.94,0.779,5.15,0.0,1293.0,16.75,5618.0,0.95,0.97,0.08,946.602
5149,2.6157554,0.0364,1.2,1.87,5.95,0.0,1379.0,7.65,5808.0,1.0,1.01,0.02,1455.36
5150,6.9424334,0.0743,1.29,2.21,5.66,0.0,1003.0,13.52,5892.0,1.08,1.06,0.08,1384.16
5151,2.55314213,0.0366,1.31,2.27,5.55,0.0,1312.0,9.66,5667.0,0.92,0.95,-0.07,1246.92
5152,6.98471973,0.0726,1.04,1.12,5.47,0.0,1059.0,19.77,5876.0,1.06,1.05,0.05,460.91
5153,6.30560247,0.0657,1.13,1.51,5.75,0.0,1125.0,15.02,4862.0,0.74,0.78,0.0,510.029
5154,1.45088691,0.0252,1.04,1.12,5.47,0.0,1700.0,6.24,5545.0,0.86,0.9,-0.13,1064.05
5155,0.84990789,0.014,0.84,0.52,4.82,0.0,1139.0,4.52,4584.0,0.7,0.75,0.11,466.0
5156,16.709184,0.111,2.12,5.14,2.96,0.0,500.0,38.2,4623.0,0.62,0.66,-0.03,315.177
5157,28.551383,0.158,1.9,4.27,3.42,0.0,418.0,55.0,4623.0,0.62,0.66,-0.03,315.177
5158,56.6449279,0.323,2.11,5.1,2.98,0.0,733.0,26.97,6228.0,2.15,1.47,0.12,1002.02
5159,6.28385491,0.0674,0.8,0.437,4.69,0.0,1108.0,11.49,6022.0,1.23,1.12,0.07,493.175
5160,4.83817712,0.0316,1.49,2.83,4.7,0.0,354.0,34.95,3208.0,0.3,0.28,0.48,78.8906
5161,9.32807355,0.085,0.6,0.156,3.97,0.0,788.0,17.96,5645.0,0.91,0.94,-0.07,403.933
5162,13.3997099,0.1168,1.61,3.22,4.24,0.0,886.0,27.23,6069.0,1.13,1.1,0.0,1416.31
5163,3.5827463,0.0445,1.79,3.86,3.7,0.0,1064.0,18.11,5538.0,0.91,0.94,0.08,944.465
5164,15.6049212,0.1266,1.52,2.92,4.57,0.0,1013.0,18.69,6681.0,1.75,1.45,0.06,552.55
5165,9.4060467,0.0878,1.33,2.33,5.44,0.0,981.0,7.77,5933.0,1.22,1.08,0.07,1026.48
5166,7.84931739,0.0726,0.76,0.363,4.54,0.0,925.0,16.04,5817.0,0.99,0.96,-0.14,924.141
5167,0.99166527,0.0205,1.09,1.32,5.6,0.0,2102.0,3.192,6166.0,1.25,1.18,0.08,1513.14
5168,10.139623,0.082,2.38,6.26,2.55,0.0,447.0,30.115,4625.0,0.66,0.63,-0.28,373.744
5169,43.595792,0.218,3.41,11.5,1.59,0.0,275.0,73.79,4625.0,0.66,0.63,-0.28,373.744
5170,7.61760804,0.0772,1.14,1.55,5.75,0.0,1020.0,16.61,6053.0,1.16,1.11,0.03,771.152
5171,8.18504949,0.0794,1.27,2.15,5.77,0.0,892.0,14.85,6082.0,1.16,1.1,0.01,1419.58
5172,3.05710069,0.04,1.54,2.99,4.5,0.0,1202.0,6.604,6213.0,1.28,1.18,0.04,1639.47
5173,174.509835,0.546,3.17,10.2,1.76,0.0,260.0,169.1,4995.0,0.77,0.81,0.02,638.249
5174,2.71603809,0.0396,1.06,1.2,5.54,0.0,1360.0,11.24,5946.0,1.08,1.06,0.03,976.868
5175,4.56380468,0.051,1.23,2.04,6.02,0.0,980.0,14.46,5203.0,0.8,0.84,-0.02,845.022
5176,66.373379,0.3237,1.9,4.27,3.42,0.0,471.0,46.21,5706.0,0.92,0.95,-0.11,2146.23
5177,2.94654179,0.0427,1.06,1.2,5.54,0.0,1497.0,7.208,6377.0,1.39,1.25,0.02,1221.05
5178,4.34195123,0.0527,0.95,0.809,5.18,0.0,1236.0,12.79,5940.0,1.09,1.07,0.04,619.862
5179,122.363553,0.4823,1.62,3.26,4.21,0.0,407.0,100.1,5767.0,0.99,0.99,0.02,1328.2
5181,4.309397,0.05511,1.715,3.59,3.91,0.0,1134.0,10.62,5471.0,1.12,0.97,0.14,937.013
5182,13.699429,0.1192,3.76,13.6,1.41,0.0,771.0,22.95,5471.0,1.12,0.97,0.14,937.013
5184,386.370548,0.9712,3.13,9.96,1.78,0.0,209.0,278.5,5214.0,0.82,0.86,0.07,1030.81
5185,7.29804993,0.0689,1.942,4.43,3.32,0.0,786.0,14.58,5119.0,0.83,0.82,0.1,1030.81
5186,2.20921951,0.0336,0.82,0.477,4.75,0.0,1507.0,7.088,5869.0,1.07,1.04,0.05,644.456
5187,11.17931605,0.1074,1.34,2.36,5.39,0.0,1159.0,28.26,6296.0,1.36,1.22,0.02,629.804
5188,2.27163926,0.0351,1.29,2.21,5.66,0.0,1522.0,4.356,6241.0,1.31,1.21,0.07,2712.58
5189,0.68368426,0.0089,1.41,2.57,5.04,0.0,2023.0,1.268,4976.0,0.76,0.81,0.02,541.189
5190,85.7565495,0.3912,1.08,1.28,5.58,0.0,528.0,82.6,5280.0,0.82,0.86,-0.01,546.23
5191,196.435224,0.6421,2.07,4.94,3.06,0.0,324.0,151.8,5422.0,0.86,0.9,0.01,831.287
5192,13.6473676,0.1075,0.92,0.721,5.09,0.0,913.0,13.529,6116.0,1.21,1.14,0.05,1286.1
5193,16.4735686,0.1126,1.73,3.64,3.86,0.0,612.0,30.55,4992.0,0.72,0.75,-0.24,832.0
5194,114.34219,0.4679,2.22,5.56,2.79,0.0,429.0,53.7,6132.0,1.27,1.18,0.1,1826.04
5195,4.921355,0.054,2.12,12.1,6.98,0.0,868.0,20.484,5078.0,0.81,0.86,0.07,434.632
5196,7.06424,0.068,2.05,11.8,7.53,0.0,769.0,39.98,5078.0,0.81,0.86,0.07,434.632
5197,8.70181574,0.0777,1.61,3.22,4.24,0.0,750.0,22.14,5383.0,0.87,0.91,0.1,864.331
5198,5.1762429,0.0586,0.81,0.457,4.73,0.0,1243.0,7.564,5605.0,0.93,0.94,0.01,908.444
5199,3.91795101,0.0482,1.03,1.08,5.43,0.0,1030.0,10.83,5643.0,0.94,0.96,0.03,764.726
5200,1.5184299,0.0264,2.08,4.98,3.04,0.0,1926.0,1.55,6005.0,1.12,1.08,0.01,1508.33
5201,3.9466141,0.0471,1.49,2.83,4.7,0.0,981.0,10.91,5121.0,0.76,0.79,-0.17,1191.19
5202,47.3126192,0.2788,2.06,4.9,3.08,0.0,658.0,10.11,5865.0,1.05,1.04,0.06,1393.83
5203,6.76284377,0.0761,1.02,1.04,5.39,0.0,1337.0,8.821,6266.0,1.34,1.21,0.02,1137.81
5204,27.4785572,0.181,1.2,1.87,5.95,0.0,736.0,23.12,6167.0,1.22,1.15,0.01,898.31
5205,6.10826019,0.0706,1.26,2.13,5.85,0.0,1267.0,10.53,6620.0,1.65,1.41,0.04,1229.25
5206,23.6225913,0.1611,0.76,0.363,4.54,0.0,797.0,27.7,5852.0,1.0,1.0,-0.07,734.85
5207,6.919798,0.069,1.26,2.13,5.85,0.0,961.0,16.08,5816.0,0.96,0.95,0.03,855.641
5208,19.446355,0.137,3.03,9.43,1.86,0.0,681.0,28.0,5816.0,0.96,0.95,0.03,855.641
5209,101.951829,0.4322,1.61,3.22,4.24,0.0,428.0,131.03,6157.0,1.23,1.15,0.03,895.069
5210,92.263714,0.4204,2.16,5.31,2.9,0.0,469.0,80.16,6158.0,1.24,1.15,0.03,1631.66
5211,10.8118737,0.0994,1.47,2.76,4.77,0.0,922.0,14.63,6436.0,1.5,1.31,0.04,796.477
5212,4.36128348,0.0518,1.31,2.27,5.55,0.0,1000.0,14.44,5772.0,1.0,1.0,0.04,837.481
5213,3.29030452,0.0327,5.7,27.6,0.819,0.0,540.0,16.097,3636.0,0.47,0.5,0.06,258.979
5214,287.378949,0.8748,6.06,30.6,0.756,0.0,350.0,123.03,5677.0,0.94,0.96,0.01,2310.11
5215,4.13962966,0.0537,2.02,4.74,3.16,0.0,1352.0,9.64,6826.0,1.85,1.51,0.04,1368.83
5216,7.20283653,0.0643,3.69,13.2,1.44,0.0,794.0,20.2,5445.0,0.84,0.87,-0.1,317.437
5217,76.378033,0.2952,6.43,33.8,0.699,0.0,240.0,113.4,3724.0,0.52,0.55,0.17,352.0
5218,3.87595807,0.0485,0.77,0.381,4.59,0.0,1081.0,12.897,5776.0,1.01,1.01,0.05,336.09
5219,7.810937,0.078,1.05,1.16,5.51,0.0,906.0,18.96,5776.0,0.92,0.88,0.141,689.814
5220,21.347262,0.152,2.26,5.73,2.73,0.0,648.0,43.54,5776.0,0.92,0.88,0.141,689.814
5221,509.997402,1.1218,2.19,5.43,2.84,0.0,182.0,473.8,4736.0,0.63,0.66,-0.46,331.213
5222,4.09513932,0.0511,1.35,2.39,5.34,0.0,1122.0,4.0,5679.0,0.95,0.97,0.04,1305.99
5223,448.303558,0.6762,2.47,6.66,2.43,0.0,369.0,139.83,6137.0,1.19,1.12,0.0,716.76
5224,186.404271,0.3875,1.58,3.12,4.35,0.0,925.0,31.9,6256.0,1.32,1.2,0.02,1114.91
5225,374.876239,1.0525,3.19,10.3,1.74,0.0,282.0,131.8,5474.0,0.89,0.92,0.02,617.339
5226,469.63111,1.117,3.64,12.9,1.47,0.0,200.0,133.1,5347.0,0.85,0.89,0.06,1069.45
5227,425.47785,1.1546,3.23,10.5,1.71,0.0,248.0,187.2,5797.0,1.02,1.01,0.03,1947.54
5228,6.10960324,0.0596,0.89,0.64,4.99,0.0,1093.0,8.41,5789.0,1.02,1.02,0.07,567.187
5229,259.33683,0.745,1.87,4.16,3.5,0.0,304.0,127.3,5710.0,0.95,0.97,-0.01,1525.52
5230,9.878482,0.0932,2.58,7.18,2.3,0.0,1003.0,18.23,6150.0,1.18,1.12,-0.03,1031.31
5231,5.03503,0.058,1.41,2.57,5.04,0.0,1141.0,22.04,5888.0,1.15,1.09,0.0,890.758
5232,10.945723,0.097,2.73,7.9,2.13,0.0,881.0,27.7,5888.0,1.15,1.09,0.0,890.758
5233,28.986769,0.187,2.45,6.57,2.45,0.0,637.0,65.76,5888.0,1.15,1.09,0.0,890.758
5234,7.5844126,0.0836,4.82,20.7,1.02,0.0,1228.0,9.42,6324.0,1.43,1.27,0.1,1859.78
5235,19.672266,0.1473,3.11,9.85,1.8,0.0,908.0,20.4,6152.0,1.19,1.12,-0.02,860.37
5236,32.657212,0.2065,2.95,9.01,1.93,0.0,767.0,42.87,6152.0,1.19,1.12,-0.02,860.37
5237,12.2057513,0.1016,3.2,10.3,1.73,0.0,895.0,39.81,5355.0,0.84,0.88,-0.01,413.873
5238,6.6513802,0.0678,2.66,7.56,2.21,0.0,1095.0,24.45,5355.0,0.84,0.88,-0.01,413.873
5239,5.342657,0.0531,2.32,5.99,2.64,0.0,799.0,14.31,4916.0,0.86,0.85,-0.01,341.774
5240,21.0907758,0.142,1.88,4.19,3.47,0.0,606.0,20.08,5499.0,0.86,0.89,-0.1,629.27
5241,16.1779561,0.1285,1.78,3.82,3.72,0.0,754.0,24.26,5812.0,1.02,1.02,0.04,1202.47
5242,4.48558383,0.0295,1.23,2.04,6.02,0.0,365.0,39.8,3299.0,0.26,0.24,0.04,127.591
5244,8.689099,0.0514,1.017,1.03,5.38,0.0,307.0,44.77,3240.0,0.23,0.2,-0.15,92.1913
5245,19.53527,0.0649,1.06,1.2,5.54,0.0,234.0,76.8,3240.0,0.23,0.2,-0.15,92.1913
5246,8.180848,0.072,2.32,5.99,2.64,0.0,716.0,11.46,5211.0,0.77,0.79,0.12,560.885
5247,15.31299,0.11,2.23,5.6,2.77,0.0,581.0,39.38,5211.0,0.77,0.79,0.12,560.885
5248,1.53818001,0.0167,0.96,0.84,5.22,0.01,602.0,10.84,3410.0,0.33,0.33,-0.11,134.397
5249,9.87863917,0.0692,1.84,4.04,3.56,0.13,393.0,41.282,3713.0,0.5,0.52,-0.16,66.4074
5250,38.09722,0.1654,1.6,3.19,4.28,0.0,268.0,91.0,3638.0,0.38,0.4,-0.3,252.0
5251,140.2524,0.4706,2.17,5.35,2.88,0.0,284.0,146.7,4807.0,0.69,0.72,-0.18,755.0
5252,1047.8356,2.026,9.18,158.915,1.2,0.26,206.0,370.3,5597.0,1.18,1.01,-0.088,568.117
5253,11.8728787,0.103,2.213,5.0,2.5,0.0,863.0,20.5,6148.0,1.03,1.03,-0.24,213.26
5254,31.562,0.1974,4.52,47.8,2.13,0.838,651.0,118.027,5569.0,1.1,1.03,0.19,185.875
5256,3.84937278,0.0544,11.994,1868.8404,6.36,0.0628,2034.0,4.04,6216.0,2.89,1.45,-0.18,788.238
5257,7.650254,0.072,2.27,5.77,2.71,0.0,772.0,21.8945,5413.0,0.74,0.88,-0.03,603.53
5258,34.260281,0.195,2.38,6.26,2.55,0.0,468.0,56.439,5413.0,0.74,0.88,-0.03,603.53
5259,1.55400393,0.0246,1.73,3.64,3.86,0.0,1313.0,6.791,5350.0,0.83,0.88,-0.03,603.53
5261,17.6046,0.1072,3.304,10.9,1.66,0.0,362.0,27.7,3844.0,0.63,0.61,0.06,337.926
5262,14.3868,0.1137,3.033,9.45,1.86,0.0,776.0,52.421,5735.81,1.07,0.94,0.37,626.691
5263,11.9548,0.1006,2.839,8.44,2.03,0.0,906.0,44.02,5049.84,0.78,0.84,-0.013,335.515
5264,25.8476,0.1761,2.883,8.66,1.99,0.0,672.0,33.65,6293.0,1.15,1.23,-0.2,1379.37
5265,40.7157,0.2383,3.236,10.5,1.7,0.0,578.0,46.2,6293.0,1.15,1.23,-0.2,1379.37
5266,83.5781,0.4256,2.984,9.19,1.9,0.0,655.0,37.8,5941.54,1.09,1.09,-0.26,626.819
5267,15.434,0.124,4.348,17.4,1.16,0.0,721.0,24.5,5542.0,1.02,0.98,0.07,1335.64
5268,9.51216,0.0745,2.78,8.15,2.08,0.0,530.0,25.17,4303.0,0.71,0.67,-0.23,543.444
5269,1.60932005,0.0228,1.901,4.27,3.41,0.0,958.0,8.056,4224.0,0.6,0.61,-0.2,543.444
5270,4.3931539,0.04825,1.718,3.6,3.9,0.0,918.0,9.884,4884.0,0.75,0.78,0.02,341.908
5271,7.406106,0.0684,1.674,3.44,4.03,0.0,771.0,14.0,4884.0,0.75,0.78,0.02,341.908
5272,21.80379,0.1404,1.238,2.06,5.97,0.0,538.0,28.76,4884.0,0.75,0.78,0.02,341.908
5273,1071.23205,1.883,10.16,321.00669,1.68,0.29,134.0,179.9,4884.0,0.75,0.78,0.02,341.908
5274,20.4998,0.1528,3.356,11.2,1.63,0.0,731.0,14.2,5838.0,1.52,1.05,-0.08,2065.98
5275,4.16787,0.0491,1.326,2.32,5.47,0.0,962.0,14.54,5135.55,0.93,0.87,0.25,357.059
5276,150.878,0.5726,2.97,9.11,1.91,0.0,423.0,135.82,6131.95,1.09,1.16,-0.25,391.181
5277,33.7888,0.2127,2.936,8.93,1.94,0.0,611.0,47.92,6014.95,1.13,1.11,0.228,727.187
5278,62.5611,0.3017,3.206,10.4,1.73,0.0,417.0,91.3,5473.91,0.88,0.96,0.056,1012.48
5279,63.0382,0.3076,3.125,9.93,1.79,0.0,465.0,66.852,5853.19,1.13,1.06,0.254,651.117
5281,22.064,0.1624,2.702,7.76,2.16,0.0,712.0,48.24,6013.72,1.25,1.11,0.108,735.369
5282,147.974,0.5302,3.304,10.9,1.66,0.0,329.0,169.0,5754.0,0.83,1.03,0.0,847.339
5283,9.75376,0.0892,2.069,4.93,3.06,0.0,813.0,30.96,5501.0,0.87,0.96,-0.04,909.28
5284,4.425391,0.056,1.46,2.73,4.82,0.0,1240.0,5.42,6282.0,1.11,1.11,0.09,1343.6
5285,13.193242,0.116,2.69,7.7,2.17,0.0,862.0,20.59499,6282.0,1.11,1.11,0.09,1343.6
5286,8.77424,0.0784,1.36,2.42,5.29,0.0,771.0,31.88,5021.0,0.72,0.83,0.2,310.315
5287,69.8956,0.32,2.553,7.05,2.33,0.0,442.0,54.6,5756.4,0.76,0.89,0.106,758.3
5288,14.8334,0.1134,2.889,8.7,1.98,0.0,694.0,13.26,5619.12,0.84,0.99,-0.048,1159.85
5289,15.0337,0.1182,1.875,4.17,3.48,0.0,669.0,35.71,5429.0,0.9,0.95,0.16,733.143
5290,47.7055,0.2253,2.871,8.6,2.0,0.0,347.0,24.2,4706.54,0.67,0.75,0.127,621.996
5291,20.4905,0.1485,2.577,7.16,2.3,0.0,625.0,36.66,5484.0,0.84,0.96,0.21,1141.89
5292,9.30987,0.0866,1.426,2.62,4.97,0.0,913.0,21.62,5714.96,1.2,1.02,0.077,729.823
5293,5.77954,0.0532,1.656,3.38,4.09,0.0,598.0,6.91,4132.0,0.73,0.65,-0.14,417.014
5294,5.62012,0.0577,1.262,2.13,5.83,0.0,772.0,3.0,4632.11,0.75,0.81,-0.046,567.4468709
5295,8.483,0.0798,0.947,0.799,5.17,0.0,879.0,26.24,5731.43,1.0,1.02,-0.146,294.122
5296,3.250619,0.04,1.13,1.51,5.75,0.0,962.0,5.8,4997.0,0.76,0.84,0.05,406.529
5297,6.195469,0.062,1.21,1.92,5.96,0.0,776.0,17.44,4997.0,0.76,0.84,0.05,406.529
5298,8.348125,0.075,1.25,2.1,5.91,0.0,702.0,10.9,4997.0,0.76,0.84,0.05,406.529
5299,13.767102,0.105,2.2,5.48,2.83,0.0,595.0,15.2,4997.0,0.76,0.84,0.05,406.529
5300,87.090195,0.359,2.58,7.18,2.3,0.0,321.0,109.5,4997.0,0.76,0.84,0.05,406.529
5301,234.636,0.7097,2.811,8.3,2.05,0.0,267.0,267.07,5404.0,0.86,0.94,0.0,703.789
5302,3.8482,0.0495,1.835,4.02,3.58,0.0,1283.0,12.83,6000.0,1.13,1.11,0.16,1267.67
5303,5.95966,0.0646,1.112,1.42,5.68,0.0,897.0,15.87,5146.0,0.87,0.87,0.36,591.019
5304,12.0999,0.1011,1.289,2.21,5.67,0.0,807.0,26.04,5432.34,0.88,0.95,0.026,760.065
5305,5.36370993,0.0588,0.977,0.894,5.27,0.0,1059.0,13.8,5553.0,1.1,0.94,0.16,760.065
5306,3.89526,0.0449,1.18,1.76,5.89,0.0,956.0,17.16,4954.0,0.76,0.82,0.14,513.329
5307,4.7329,0.0529,1.119,1.46,5.72,0.0,957.0,20.8,5473.19,0.99,0.96,-0.035,791.175
5308,65.9409,0.3244,2.81,8.29,2.05,0.0,454.0,67.22,5712.0,1.2,1.02,-0.04,1506.36
5309,33.4969,0.2008,1.26,2.12,5.83,0.0,630.0,61.34,4681.53,0.77,0.75,0.034,247.771
5310,1.2107,0.0203,1.073,1.25,5.56,0.0,1351.0,3.401,4975.03,0.74,0.82,0.08,222.345
5311,3.49082,0.0418,1.567,3.08,4.4,0.0,1010.0,18.57,5575.53,0.73,0.81,0.225,818.759
5312,1.4857108,0.02591,14.68,778.65,1.35,0.011,1570.0,5.48,5781.0,1.01,1.04,0.26,720.753
5313,7.930592,0.08,3.2,82.6,13.9,0.0,899.0,9.5,5679.0,1.03,1.09,0.31,738.657
5314,16.665863,0.131,2.86,8.55,2.01,0.0,702.0,31.284,5679.0,1.03,1.09,0.31,738.657
5315,234.239,0.7576,2.901,8.76,1.97,0.0,329.0,55.4,6031.0,1.09,1.12,0.16,717.597
5316,169.134,0.5608,2.222,5.57,2.79,0.0,273.0,151.2,5146.0,0.84,0.87,0.03,584.142
5317,18.5012,0.1275,1.602,3.2,4.28,0.0,555.0,44.0,5093.0,0.73,0.85,-0.24,857.14
5318,988.88112,2.027,11.949,1322.16617,4.07,0.92,254.0,256.4,5746.0,1.7,1.13,0.196,835.455
5319,9.03502,0.08,2.03,4.47,2.977353,0.033,789.0,15.21,6312.0,1.26,1.14,-0.2,1633.49
5322,65.70459747,0.3192,3.124,9.93,1.79,0.0,472.0,55.0,5918.0,1.04,1.0,-0.04,273.946
5323,4.166972,0.05,2.34,6.08,2.61,0.0,1053.0,11.973,5642.0,0.84,0.91,0.11,863.855
5324,11.463462,0.098,2.56,7.08,2.32,0.0,752.0,34.51,5642.0,0.84,0.91,0.11,863.855
5325,39.595519,0.223,1.89,4.23,3.44,0.0,497.0,47.01,5642.0,0.84,0.91,0.11,863.855
5326,14.91110039,0.1159,3.197,10.3,1.73,0.0,694.0,35.174,5650.0,0.9,0.93,-0.04,305.193
5327,21.06080055,0.1463,1.923,4.36,3.37,0.0,669.0,30.68,5706.0,1.03,0.94,0.0,590.268
5328,13.81499958,0.0903,2.284,5.83,2.69,0.0,391.0,22.7,3732.0,0.51,0.52,0.02,156.264
5329,18.01160049,0.1469,1.717,3.59,3.9,0.0,900.0,12.73,6477.0,1.46,1.3,0.1,295.293
5330,10.27530003,0.1047,3.264,10.7,1.69,0.0,1211.0,8.46,6150.0,2.09,1.45,0.22,409.46
