,orbital_period_[days],orbit_semi-major_axis_[au]),planet_radius,planet_mass,planet_density,eccentricity,equilibrium_temperature_[k],ratio_of_semi-major_axis_to_stellar_radius,stellar_effective_temperature_[k],stellar_radius_[solar_radius],stellar_mass_[solar_mass],stellar_metallicity_[dex],distance_[pc]
408,3.2642736,0.04997,17.71,505.3497,0.49,0.312,2101.0,4.74,6460.0,2.26,1.56,0.01,1342.29
409,4.193649,0.0583,14.908,3082.951,5.1,0.38,1710.0,7.31,6424.0,1.71,1.5,0.47,737.668
410,2.292102,0.03689,15.693,597.5204,0.83,0.229,1856.0,5.36,6060.0,1.48,1.27,0.22,800.377
411,4.3888497,0.04944,13.227,82.95363,0.191,0.173,1003.0,13.04,5099.0,0.81,0.84,0.05,362.273
412,2.7439004,0.03649,11.96,177.9848,0.56,0.279,1161.0,9.24,5080.0,0.85,0.86,0.32,446.035
413,4.1876244,0.05511,14.415,222.481,0.41,0.24,1518.0,9.02,6450.0,1.32,1.27,0.02,772.11
414,4.7423729,0.05367,10.122,54.98459,0.28,0.559,1054.0,13.55,5495.0,0.85,0.92,-0.06,453.808
415,3.9228038,0.04269,12.52,117.27927,0.331,0.088,853.0,13.98,4512.0,0.66,0.67,-0.113,300.67
416,3.1316666,0.03769,8.967,77.23269,0.589,0.162,955.0,11.33,4546.0,0.72,0.73,0.186,263.609
417,4.1480467,0.04515,8.575,112.19399,0.986,0.071,835.0,13.91,4405.0,0.7,0.71,0.208,324.413
418,4.763387,0.0542,10.223,75.323,0.39,0.019,1025.0,13.38,5304.0,0.87,0.94,0.19,246.384
421,1.36665436,0.02498,15.491,711.9392,1.06,0.246,1834.0,5.14,6010.0,1.05,1.11,-0.284,555.134
423,2.5441765,0.037,11.377,239.32479,0.77,0.0,1429.0,6.48,5621.0,1.23,1.05,0.37,748.585
424,4.2042001,0.05412,14.022,292.72143,0.587,0.092,1367.0,10.33,6214.0,1.13,1.2,0.108,609.838
425,4.324799,0.06043,18.921,191.33366,0.155,0.019,1902.0,5.902,6536.0,2.2,1.57,0.19,564.409
