,planet_name,host_name,orbital_period_[days],orbit_semi-major_axis_[au]),planet_radius_[earth_radius],planet_mass_or_mass*sin(i)_[earth_mass],planet_density_[g/cm**3],eccentricity,equilibrium_temperature_[k],ratio_of_semi-major_axis_to_stellar_radius,stellar_effective_temperature_[k],stellar_radius_[solar_radius],stellar_mass_[solar_mass],stellar_metallicity_[dex],distance_[pc]
982,HD 34445 g,HD 34445,5700.00000000,6.360000,13.600,120.60000,0.263000,0.032000, , ,5836.00,1.38,1.07,0.140,46.0907000
983,HD 35759 b,HD 35759,82.46700000,0.389000,13.000,1195.04080,2.990000,0.389000, , ,6060.00,1.76,1.15,0.040,71.2423000
984,HD 360 b,HD 360,273.10000000,0.980000,14.000,238.37131,0.477000,0.139000, , ,4770.00,10.86,1.69,-0.060,111.5420000
985,HD 3651 b,HD 3651,62.25000000,0.295000,10.100,72.46524,0.386000,0.645000, , ,5221.00,0.87,0.80,0.145,11.1336000
986,HD 37124 b,HD 37124,154.37800000,0.533640,14.000,214.53525,0.430000,0.054000, , ,5698.64,0.95,0.85,-0.440,31.6634000
987,HD 37124 c,HD 37124,885.50000000,1.710000,14.100,207.22516,0.406000,0.125000, , ,5698.64,0.95,0.85,-0.440,31.6634000
988,HD 37124 d,HD 37124,1862.00000000,2.807000,14.000,221.20968,0.443000,0.160000, , ,5698.64,0.95,0.85,-0.440,31.6634000
989,HD 37605 b,HD 37605,55.01292000,0.277000,13.200,854.96270,2.040000,0.674500, , ,5329.00,0.91,0.94,0.270,46.7864000
990,HD 37605 c,HD 37605,2720.00000000,3.740000,13.100,1013.87770,2.480000,0.030000, , ,5329.00,0.91,0.94,0.270,46.7864000
991,HD 3765 b,HD 3765,1211.00000000,2.108000,8.560,54.98431,0.482000,0.298000, , ,5049.80,0.83,0.85,0.172,17.9260000
992,HD 38283 b,HD 38283,363.20001000,1.020000,14.000,127.13200,0.255000,0.410000, , ,5981.00,1.49,1.37,-0.180,38.0615000
993,HD 38529 b,HD 38529,14.30990015,0.114551,14.100,206.34463,0.404000,0.256497, , ,5697.00,2.86,0.98,0.510,42.3538000
994,HD 38529 c,HD 38529,2127.60565656,3.224617,12.400,3320.46746,9.570000,0.357148, , ,5697.00,2.86,0.98,0.510,42.3538000
995,HD 38801 b,HD 38801,685.25000000,1.623000,12.500,3082.31534,8.670000,0.017000, , ,5338.00,2.03,1.21,0.250,91.4349000
996,HD 39091 b,HD 39091,2088.75851193,3.309065,12.400,3889.98524,11.200000,0.642306, , ,5950.00,1.19,1.10,0.080,18.2702000
997,HD 39194 b,HD 39194,5.63680000,0.056000,1.830,4.00000,3.590000,0.207000, , ,5205.00,0.78,0.67,-0.610,26.4131000
998,HD 39194 c,HD 39194,14.03000000,0.103000,2.390,6.30000,2.540000,0.154000, , ,5205.00,0.78,0.67,-0.610,26.4131000
999,HD 39194 d,HD 39194,33.91000000,0.185000,1.830,4.00000,3.590000,0.333000, , ,5205.00,0.78,0.67,-0.610,26.4131000
1000,HD 39855 b,HD 39855,3.24980000,0.041000,2.850,8.50000,2.020000,0.140000, , ,5576.00,0.74,0.87, ,23.2599000
1001,HD 40307 b,HD 40307,4.31230000,0.046800,1.830,4.00000,3.590000,0.200000,910, ,4956.00,0.72,0.77,-0.310,12.9363000
1002,HD 40307 c,HD 40307,9.61840000,0.079900,2.460,6.60000,2.440000,0.060000,696, ,4956.00,0.72,0.77,-0.310,12.9363000
1003,HD 40307 d,HD 40307,20.43200000,0.132100,3.040,9.50000,1.860000,0.070000,541, ,4956.00,0.72,0.77,-0.310,12.9363000
1004,HD 40307 f,HD 40307,51.76000000,0.247000,2.130,5.20000,2.960000,0.020000,398, ,4956.00,0.72,0.77,-0.310,12.9363000
1005,HD 40307 g,HD 40307,197.80000000,0.600000,2.560,7.10000,2.330000,0.290000,255, ,4956.00,0.72,0.77,-0.310,12.9363000
1006,HD 40956 b,HD 40956,578.60000000,1.400000,13.200,858.14100,2.050000,0.240000, , ,4869.00,8.56,2.00,0.140,116.5930000
1007,HD 40979 b,HD 40979,264.14999000,0.850000,12.900,1484.26610,3.800000,0.250000, , ,6165.00,1.21,1.45,0.200,34.0883000
1008,HD 41004 A b,HD 41004 A,963.00000000, ,13.200,807.25000,1.930000,0.740000, , ,5310.00,0.85,0.95,0.230,36.6911700
1009,HD 41004 B b,HD 41004 B,1.32830000, ,12.100,5838.29000,18.100000,0.081000, , ,5036.00,1.04,0.40, ,41.5504000
1010,HD 4113 b,HD 4113,526.52390370,1.280310,13.500,542.78936,1.210000,0.898669, , ,5688.00,1.08,1.01,0.200,41.8727000
1011,HD 42012 b,HD 42012,857.50000000,1.670000,13.500,508.52800,1.140000,0.200000, , ,5405.00,0.82,0.83,-0.090,36.7984000
1012,HD 4203 b,HD 4203,431.88000000,1.170000,13.300,708.76090,1.660000,0.520000, , ,5596.00,1.42,1.25,0.400,81.3795000
1013,HD 4203 c,HD 4203,6700.00000000,6.950000,13.300,689.66000,1.610000,0.240000, , ,5582.00,1.50,0.99,0.340,81.3795000
1014,HD 4208 b,HD 4208,832.97000000,1.662000,13.900,257.44230,0.527000,0.042000, , ,5717.00,0.85,0.88,-0.280,34.1937000
1015,HD 42618 b,HD 42618,149.61000000,0.554000,3.890,14.40000,1.340000,0.190000,337,119.100000,5727.00,1.00,1.01,-0.090,24.3358000
1016,HD 4308 b,HD 4308,15.56000000,0.120000,4.120,15.89150,1.250000,0.000000, , ,5686.00,1.02,0.93,-0.350,22.0158000
1017,HD 4313 b,HD 4313,356.21000000,1.157000,13.400,612.45841,1.400000,0.147000, , ,4943.00,5.14,1.63,0.140,136.3080000
1018,HD 43197 b,HD 43197,308.92072284,0.881867,14.200,176.03781,0.338000,0.741938, , ,5508.00,1.00,0.96,0.400,62.4112000
1019,HD 43197 c,HD 43197,9295.97349931,8.556456,12.600,2479.19613,6.810000,0.148799, , ,5508.00,1.00,0.96,0.400,62.4112000
1020,HD 43691 b,HD 43691,36.99870000,0.238000,13.200,810.46650,1.940000,0.079600, , ,6093.00,1.60,1.32,0.330,85.6009000
1021,HD 44219 b,HD 44219,472.30000000,1.190000,14.100,184.33000,0.361000,0.610000, , ,5752.00,1.32,1.00,0.030,52.9051000
1022,HD 45184 b,HD 45184,5.88540000,0.064400,3.520,12.19000,1.540000,0.070000, , ,5869.00,1.08,1.03,0.040,21.9532000
1023,HD 45184 c,HD 45184,13.13540000,0.110000,2.910,8.81000,1.960000,0.070000, , ,5869.00,1.08,1.03,0.040,21.9532000
1024,HD 45350 b,HD 45350,963.60000000,1.920000,13.500,568.89000,1.270000,0.778000, , ,5566.00,1.26,0.98,0.230,46.8733000
1025,HD 45364 b,HD 45364,225.79000000,0.679300,9.030,60.16492,0.449000,0.067000, , ,5466.00,0.89,0.82,-0.170,34.3540000
1026,HD 45364 c,HD 45364,345.43000000,0.902000,14.200,174.48780,0.335000,0.019000, , ,5466.00,0.89,0.82,-0.170,34.3540000
1027,HD 45652 b,HD 45652,44.07300000,0.237000,14.300,137.62039,0.259000,0.607000, , ,5294.00,0.94,0.92,0.260,34.8541000
1028,HD 457 b,HD 457,20324.58152540,15.443431,12.000,7574.93226,24.100000,0.565248, , ,6114.04,1.28,1.15,0.340,55.0375000
1029,HD 46375 b,HD 46375,3.02357300,0.039800,10.000,71.80000,0.395000,0.063000, , ,5285.00,0.91,0.92,0.240,29.5529000
1030,HD 47186 b,HD 47186,4.08450000,0.050000,5.020,22.24810,0.966000,0.040000, , ,5657.00,1.08,0.96,0.240,37.4574000
1031,HD 47186 c,HD 47186,1353.60000000,2.395000,13.000,111.42000,0.279000,0.249000, , ,5657.00,1.08,0.96,0.230,37.4574000
1032,HD 4732 b,HD 4732,360.20000000,1.190000,13.300,753.23000,1.760000,0.130000, , ,4959.00,5.40,1.74,0.010,54.7841000
1033,HD 4732 c,HD 4732,2732.00000000,4.600000,13.300,753.23000,1.760000,0.230000, , ,4959.00,5.40,1.74,0.010,54.7841000
1034,HD 47366 b,HD 47366,359.15000000,1.280000,13.300,731.00900,1.710000,0.060000, , ,4914.00,6.20,2.19,-0.070,84.3552000
1035,HD 47366 c,HD 47366,682.85000000,1.970000,13.400,597.52040,1.360000,0.100000, , ,4914.00,6.20,2.19,-0.070,84.3552000
1036,HD 47536 b,HD 47536,712.13000000,1.930000,12.600,2330.00000,6.400000,0.200000, , ,4380.00,23.47,2.10,-0.650,122.5360000
1037,HD 4760 b,HD 4760,434.00000000,1.140000,12.300,4417.83700,13.000000,0.230000, , ,4076.00,42.40,1.05,-0.910,537.8730000
1038,HD 48265 b,HD 48265,778.51000000,1.814000,13.500,484.69075,1.080000,0.211000, , ,5733.00,1.90,1.31,0.300,90.5446000
1039,HD 4917 b,HD 4917,400.50000000,1.167000,13.500,513.29545,1.150000,0.066000, , ,4802.00,5.01,1.32,0.180,204.2770000
1040,HD 49674 b,HD 49674,4.94737000,0.060000,6.200,31.78300,0.733000,0.090000, , ,5602.00,1.02,1.03,0.320,43.0399000
1041,HD 50499 b,HD 50499,2447.10000000,3.833000,13.500,519.96988,1.160000,0.266000, , ,6102.00,1.35,1.25,0.260,46.2845000
1042,HD 50499 c,HD 50499,8619.90000000,9.020000,13.200,931.24190,2.220000,0.000000, , ,6099.00,1.42,1.31,0.380,46.2845000
1043,HD 50554 b,HD 50554,1293.00000000,2.353000,12.900,1574.46400,4.030000,0.501000, , ,5987.00,1.02,1.04,-0.040,31.1664000
1044,HD 51608 b,HD 51608,14.07260000,0.105900,3.620,12.77000,1.480000,0.090000, , ,5358.00,0.92,0.80,-0.070,35.0553000
1045,HD 51608 c,HD 51608,95.94460000,0.380900,3.870,14.31000,1.360000,0.140000, , ,5358.00,0.92,0.80,-0.070,35.0553000
1046,HD 52265 b,HD 52265,119.27000000,0.520000,13.700,384.57430,0.822000,0.270000,405, ,6136.00,1.32,1.20,0.210,29.9803000
1047,HD 5278 b,HD 5278,14.33915600,0.120200,2.450,7.80000,2.900000,0.080000,943,22.400000,6203.00,1.19,1.13,-0.120,57.5846000
1048,HD 5278 c,HD 5278,40.87000000,0.241600,4.490,18.40000,1.120000,0.070000, , ,6203.00,1.19,1.13,-0.120,57.5846000
1049,HD 5319 b,HD 5319,637.10000000,1.570000,13.500,494.54348,1.100000,0.092000, , ,4871.00,4.06,1.27,0.150,121.4050000
1050,HD 5319 c,HD 5319,872.20000000,1.930000,13.800,334.67499,0.700000,0.183000, , ,4871.00,4.06,1.27,0.150,121.4050000
1051,HD 55696 b,HD 55696,1827.00000000,3.180000,13.000,1230.00210,3.080000,0.705000, , ,6012.00,1.52,1.29,0.370,77.9693000
1052,HD 5583 b,HD 5583,139.35000000,0.530000,12.800,1837.05740,4.810000,0.076000, , ,4830.00,9.09,1.01,-0.500,219.2160000
1053,HD 5608 b,HD 5608,779.90000000,1.911000,13.500,534.27223,1.190000,0.056000, , ,4877.00,5.14,1.53,0.140,58.1105000
1054,HD 564 b,HD 564,492.30000000,1.200000,12.500,104.88000,0.295000,0.096000, , ,5902.00,1.01,0.96,-0.200,51.1659000
1055,HD 56414 b,HD 56414,29.04992000,0.229000,3.710,13.30000,1.430000,0.680000,1133, ,8500.00,1.75,1.89,0.000,272.2170000
1056,HD 56957 b,HD 56957,5859.08992400,6.431189,12.800,1893.34292,4.960000,0.272564, , ,5743.00,1.78,1.03, ,61.4925000
1057,HD 5891 b,HD 5891,177.11000000,0.640000,12.600,2425.04290,6.660000,0.070000, , ,4673.00,10.64,1.93,-0.370,283.5020000
1058,HD 59686 A b,HD 59686 A,299.36000000,1.086000,12.700,2199.38360,5.900000,0.050000, , ,4658.00,13.20,1.90,0.150,89.2721000
1059,HD 60292 b,HD 60292,495.40000000,1.500000,12.700,2065.89500,5.540000,0.270000, , ,4348.00,27.00,1.70,-0.170,315.2110000
1060,HD 60532 b,HD 60532,201.90000000,0.770000,13.800,336.89980,0.704000,0.260000, , ,6245.00,2.57,1.50,-0.260,25.9716000
1061,HD 60532 c,HD 60532,600.10000000,1.600000,13.300,797.75330,1.860000,0.030000, , ,6245.00,2.57,1.50,-0.260,25.9716000
1062,HD 62364 b,HD 62364,27399.80246717,18.992328,12.200,5538.75835,16.800000,0.863248, , ,6201.51,1.44,1.19,-0.110,53.1120000
1063,HD 62364 c,HD 62364,74839.94554588,36.876426,12.000,7882.56267,25.100000,0.772792, , ,6201.51,1.44,1.19,-0.110,53.1120000
1064,HD 62509 b,HD 62509,589.64000000,1.640000,13.300,731.00000,1.710000,0.020000, , ,4892.63,8.90,2.00,0.103,10.3400000
1065,HD 62549 b,HD 62549,14306.88518780,11.786592,12.500,2773.33249,7.800000,0.150429, , ,5930.46,1.23,1.08, ,49.3305000
1066,HD 63433 b,HD 63433,7.10793000,0.071900,2.150,5.27000,2.910000,0.000000,886,16.950000,5640.00,0.91,0.99,0.017,22.4035000
1067,HD 63433 c,HD 63433,20.54530000,0.145800,2.670,7.61000,2.200000,0.000000,622,34.380000,5640.00,0.91,0.99,0.017,22.4035000
1068,HD 63454 b,HD 63454,2.81805000,0.040000,12.310,79.45750,0.234000,0.000000, , ,4812.00,0.77,0.42,0.100,37.6894000
