,planet_name,host_name,orbital_period_[days],orbit_semi-major_axis_[au]),planet_radius_[earth_radius],planet_mass_or_mass*sin(i)_[earth_mass],planet_density_[g/cm**3],eccentricity,equilibrium_temperature_[k],ratio_of_semi-major_axis_to_stellar_radius,stellar_effective_temperature_[k],stellar_radius_[solar_radius],stellar_mass_[solar_mass],stellar_metallicity_[dex],distance_[pc]
4118,Kepler-311 b,Kepler-311,9.17609200,0.087000,1.700,3.53000,3.950000,0.000000,960,16.573000,5905.00,1.19,1.08,-0.010,778.6540000
4119,Kepler-310 d,Kepler-310,92.87612500,0.392000,2.470,7.00000,3.300000,0.000000,353,44.300000,5797.00,0.88,0.91,-0.070,602.2680000
4120,Kepler-310 c,Kepler-310,56.47542000,0.281000,3.380,11.40000,1.620000,0.000000,417,47.000000,5797.00,0.88,0.91,-0.070,602.2680000
4121,Kepler-310 b,Kepler-310,13.93069800,0.111000,1.190,1.81000,5.900000,0.000000,665,18.500000,5797.00,0.88,0.91,-0.070,602.2680000
4122,Kepler-31 d,Kepler-31,87.64510000,0.400000,3.900,2161.24400, ,0.000000,484,46.300000,6340.00,1.22,1.21,-0.076,1664.6400000
4123,Kepler-31 c,Kepler-31,42.63180000,0.260000,5.300,1493.70000, ,0.000000,615,28.700000,6340.00,1.22,1.21,-0.076,1664.6400000
4124,Kepler-31 b,Kepler-31,20.86130000,0.160000,5.500,25.90000,0.855000,0.000000,781,31.855000,6340.00,1.22,1.21,-0.076,1664.6400000
4125,Kepler-309 c,Kepler-309,105.35638300,0.401000,2.510,6.85000,2.380000,0.000000,204,79.000000,4713.00,0.72,0.67,0.110,544.5680000
4126,Kepler-309 b,Kepler-309,5.92365300,0.059000,1.560,3.05000,4.410000,0.000000,531,17.510000,4713.00,0.72,0.67,0.110,544.5680000
4127,Kepler-308 c,Kepler-308,15.38231000,0.123000,2.160,5.31000,2.900000,0.000000,714,31.470000,5895.00,0.94,0.92,-0.040,1335.9200000
4128,Kepler-308 b,Kepler-308,9.69492800,0.090000,2.120,5.14000,2.960000,0.000000,833,27.700000,5895.00,0.94,0.92,-0.040,1335.9200000
4129,Kepler-307 c,Kepler-307,13.07290000,0.106800,2.200,3.64000,1.740000,0.000000,739,20.340000,5367.00,0.81,0.91,0.190,575.5810000
4130,Kepler-307 b,Kepler-307,10.42080000,0.091700,2.430,7.44000,2.620000,0.000000,797,22.400000,5367.00,0.81,0.91,0.190,575.5810000
4131,Kepler-306 e,Kepler-306,44.84097500,0.227000,2.270,5.77000,2.710000,0.000000,390,63.900000,4954.00,0.72,0.81,-0.080,775.6790000
4132,Kepler-306 d,Kepler-306,17.32664400,0.120000,2.470,6.66000,2.430000,0.000000,535,28.640000,4954.00,0.72,0.81,-0.080,775.6790000
4133,Kepler-306 c,Kepler-306,7.24019300,0.067000,2.350,6.12000,2.590000,0.000000,716,19.580000,4954.00,0.72,0.81,-0.080,775.6790000
4134,Kepler-306 b,Kepler-306,4.64618600,0.050000,1.520,2.92000,4.570000,0.000000,830,15.200000,4954.00,0.72,0.81,-0.080,775.6790000
4135,Kepler-305 e,Kepler-305,3.20538000,0.039900,1.794,3.87000,3.680000,0.000000,1000,11.510000,4974.00,0.83,0.82,0.040,868.4770000
4136,Kepler-305 d,Kepler-305,16.73866100,0.121000,2.710,9.10000,2.500000,0.000000,576,54.490000,5100.00,0.79,0.85,0.030,868.4770000
4137,Kepler-305 c,Kepler-305,8.29100000,0.075200,3.300,6.00000,0.917000,0.000000,728,12.400000,5117.00,0.80,0.76,0.030,868.4770000
4138,Kepler-305 b,Kepler-305,5.48700000,0.057100,3.600,10.50000,1.240000,0.000000,836,9.400000,5117.00,0.80,0.76,0.030,868.4770000
4139,Kepler-304 e,Kepler-304,1.49914695,0.023200,1.200,1.87000,5.950000,0.000000,1137,8.065000,4817.00,0.73,0.80,0.050,434.6840000
4140,Kepler-304 d,Kepler-304,9.65347100,0.080000,2.750,8.00000,2.110000,0.000000,611,25.950000,4731.00,0.69,0.80,0.050,434.6840000
4141,Kepler-304 c,Kepler-304,5.31594600,0.054000,2.170,5.35000,2.880000,0.000000,746,37.980000,4731.00,0.69,0.80,0.050,434.6840000
4142,Kepler-304 b,Kepler-304,3.29570900,0.039000,2.860,8.55000,2.010000,0.000000,875,13.830000,4731.00,0.69,0.80,0.050,434.6840000
4143,Kepler-303 c,Kepler-303,7.06114900,0.057000,1.140,1.55000,5.750000,0.000000,521,54.222000,3944.00,0.48,0.57,-0.414,209.7380000
4144,Kepler-303 b,Kepler-303,1.93705500,0.024000,0.890,0.64000,4.990000,0.000000,802,10.175000,3944.00,0.48,0.57,-0.414,209.7380000
4145,Kepler-302 c,Kepler-302,127.28218400,0.503000,12.450, , ,0.000000,392,97.120000,5740.00,1.22,1.02,0.060,1402.5800000
4146,Kepler-302 b,Kepler-302,30.18410400,0.193000,4.060,15.50000,1.270000,0.000000,634,40.330000,5740.00,1.22,1.02,0.060,1402.5800000
4147,Kepler-301 d,Kepler-301,13.75124300,0.112000,1.750,3.71000,3.800000,0.000000,725,19.400000,5815.00,0.90,0.98,0.187,719.1660000
4148,Kepler-301 c,Kepler-301,5.41902600,0.060000,1.350,2.39000,5.340000,0.000000,989,18.428000,5815.00,0.90,0.98,0.187,719.1660000
4149,Kepler-301 b,Kepler-301,2.50855300,0.036000,1.350,2.39000,5.340000,0.000000,1278,8.366000,5815.00,0.90,0.98,0.187,719.1660000
4150,Kepler-300 c,Kepler-300,40.71495500,0.232000,2.250,5.69000,2.740000,0.000000,516,32.300000,5986.00,0.90,1.07,0.040,1098.4500000
4151,Kepler-300 b,Kepler-300,10.44634700,0.094000,1.670,3.43000,4.050000,0.000000,812,13.000000,5986.00,0.90,1.07,0.040,1098.4500000
4152,Kepler-30 d,Kepler-30,143.34394000,0.500000,8.800,23.10000,0.190000,0.022000,308,109.100000,5498.00,0.95,0.99,0.180,914.2210000
4153,Kepler-30 c,Kepler-30,60.32310500,0.300000,12.300,640.00000,1.880000,0.011100,411,61.300000,5498.00,0.95,0.99,0.180,914.2210000
4154,Kepler-30 b,Kepler-30,29.33434000,0.180000,3.900,11.30000,1.020000,0.042000,524,37.700000,5498.00,0.95,0.99,0.180,914.2210000
4155,Kepler-299 e,Kepler-299,38.28548900,0.220000,1.870,4.16000,3.500000,0.000000,534,44.900000,5617.00,1.03,0.95,-0.010,1052.2400000
4156,Kepler-299 d,Kepler-299,15.05478600,0.118000,1.860,4.12000,3.520000,0.000000,729,16.530000,5617.00,1.03,0.95,-0.010,1052.2400000
4157,Kepler-299 c,Kepler-299,6.88587500,0.070000,2.650,7.51000,2.220000,0.000000,946,4.860000,5617.00,1.03,0.95,-0.010,1052.2400000
4158,Kepler-299 b,Kepler-299,2.92712800,0.040000,1.320,2.30000,5.500000,0.000000,1258,8.902000,5617.00,1.03,0.95,-0.010,1052.2400000
4159,Kepler-298 d,Kepler-298,77.47363300,0.305000,2.500,6.80000,2.390000,0.000000,277,95.000000,4465.00,0.58,0.66,-0.210,518.2040000
4160,Kepler-298 c,Kepler-298,22.92881000,0.136000,1.930,4.38000,3.350000,0.000000,416,42.000000,4465.00,0.58,0.66,-0.210,518.2040000
4161,Kepler-298 b,Kepler-298,10.47546400,0.080000,1.960,4.50000,3.280000,0.000000,540,34.090000,4465.00,0.58,0.66,-0.210,518.2040000
4162,Kepler-297 c,Kepler-297,74.92013700,0.336000,6.540,42.10000,0.827000,0.000000,409,78.200000,5619.00,0.92,0.98,-0.100,692.1400000
4163,Kepler-297 b,Kepler-297,38.87182600,0.217000,2.870,48.50000,11.300000,0.000000,509,50.414000,5619.00,0.92,0.98,-0.100,692.1400000
4164,Kepler-296 f,Kepler-296,63.33627000,0.255000,1.800,3.89000,3.200000,0.330000,274,115.100000,3740.00,0.48,0.50,-0.080,167.0000000
4165,Kepler-296 e,Kepler-296,34.14211000,0.169000,1.530,2.96000,4.100000,0.330000,337,76.200000,3740.00,0.48,0.50,-0.080,167.0000000
4166,Kepler-296 d,Kepler-296,19.85029100,0.118000,2.090,5.02000,1.900000,0.330000,403,53.100000,3740.00,0.48,0.50,-0.080,167.0000000
4167,Kepler-296 c,Kepler-296,5.84163660,0.052100,2.000,4.66000,1.200000,0.330000,606,23.500000,3740.00,0.48,0.50,-0.080,167.0000000
4168,Kepler-296 b,Kepler-296,10.86438400,0.079000,1.610,3.22000,3.000000,0.330000,495,35.500000,3740.00,0.48,0.50,-0.080,167.0000000
4169,Kepler-295 d,Kepler-295,33.88405400,0.192000,1.360,2.42000,5.290000,0.000000,533,14.700000,5603.00,0.90,0.89,-0.010,1699.1900000
4170,Kepler-295 c,Kepler-295,21.52625800,0.142000,1.170,1.71000,5.870000,0.000000,621,19.860000,5603.00,0.90,0.89,-0.010,1699.1900000
4171,Kepler-295 b,Kepler-295,12.64516400,0.099000,1.220,1.98000,5.990000,0.000000,741,4.410000,5603.00,0.90,0.89,-0.010,1699.1900000
4172,Kepler-294 c,Kepler-294,6.62640000,0.071000,2.710,7.80000,2.150000,0.000000,895,16.270000,5913.00,0.98,0.95,0.160,1357.0100000
4173,Kepler-294 b,Kepler-294,3.70121200,0.048000,1.770,3.78000,3.750000,0.000000,1087,11.634000,5913.00,0.98,0.95,0.160,1357.0100000
4174,Kepler-293 c,Kepler-293,54.15574300,0.286000,3.830,14.00000,1.370000,0.000000,466,43.500000,5804.00,0.96,0.94,0.040,974.6330000
4175,Kepler-293 b,Kepler-293,19.25419600,0.144000,3.070,9.64000,1.830000,0.000000,657,32.870000,5804.00,0.96,0.94,0.040,974.6330000
4176,Kepler-292 f,Kepler-292,20.83423700,0.141000,2.350,6.12000,2.590000,0.000000,563,18.300000,5299.00,0.83,0.85,-0.070,1056.4800000
4177,Kepler-292 e,Kepler-292,11.97901000,0.097000,2.670,7.61000,2.200000,0.000000,678,24.920000,5299.00,0.83,0.85,-0.070,1056.4800000
4178,Kepler-292 d,Kepler-292,7.05567900,0.068000,2.230,5.60000,2.770000,0.000000,808,17.530000,5299.00,0.83,0.85,-0.070,1056.4800000
4179,Kepler-292 c,Kepler-292,3.71533500,0.045000,1.470,2.76000,4.770000,0.000000,1001,5.800000,5299.00,0.83,0.85,-0.070,1056.4800000
4180,Kepler-292 b,Kepler-292,2.58082700,0.035000,1.320,2.30000,5.500000,0.000000,1130,4.500000,5299.00,0.83,0.85,-0.070,1056.4800000
4181,Kepler-291 c,Kepler-291,5.70078600,0.065000,1.880,4.19000,3.470000,0.000000,1035,27.020000,6002.00,1.02,0.90,-0.110,1786.4800000
4182,Kepler-291 b,Kepler-291,3.54651100,0.047000,2.160,5.31000,2.900000,0.000000,1212,11.910000,6002.00,1.02,0.90,-0.110,1786.4800000
4183,Kepler-290 c,Kepler-290,36.77031000,0.205000,2.700,7.75000,2.160000,0.000000,437,33.900000,5147.00,0.74,0.80,-0.060,694.6270000
4184,Kepler-290 b,Kepler-290,14.58934700,0.110000,2.250,5.69000,2.740000,0.000000,594,47.440000,5147.00,0.74,0.80,-0.060,694.6270000
4185,Kepler-29 c,Kepler-29,13.28613000,0.108700,2.340,4.50000,1.910000,0.000000,715,31.830000,5378.00,0.73,0.76,-0.440,832.5320000
4186,Kepler-29 b,Kepler-29,10.33974000,0.091900,2.550,5.00000,1.650000,0.000000,777,24.950000,5378.00,0.73,0.76,-0.440,832.5320000
4187,Kepler-289 d,Kepler-289,66.06340000,0.330000,2.680,4.00000,1.200000, , ,70.700000,5990.00,1.00,1.08,0.050,704.4380000
4188,Kepler-289 c,Kepler-289,125.85180000,0.510000,11.590,132.00000,0.470000,0.000000,394,108.600000,5990.00,1.00,1.08,0.050,704.4380000
4189,Kepler-289 b,Kepler-289,34.54500000,0.210000,2.150,7.30000,4.100000,0.000000,607,45.900000,5990.00,1.00,1.08,0.050,704.4380000
4190,Kepler-288 d,Kepler-288,56.63374200,0.287000,2.670,7.61000,2.200000,0.000000,570,20.500000,5918.00,1.09,1.03,0.160,1194.1500000
4191,Kepler-288 c,Kepler-288,19.30577200,0.140000,2.850,8.50000,2.020000,0.000000,815,35.210000,5918.00,1.09,1.03,0.160,1194.1500000
4192,Kepler-288 b,Kepler-288,6.09732600,0.065000,1.670,3.43000,4.050000,0.000000,1197,13.768000,5918.00,1.09,1.03,0.160,1194.1500000
4193,Kepler-287 c,Kepler-287,44.85189600,0.246000,3.260,10.70000,1.700000,0.000000,513,43.300000,5806.00,1.03,0.97,0.117,835.8600000
4194,Kepler-287 b,Kepler-287,20.34219900,0.145000,2.330,6.04000,2.620000,0.000000,667,38.000000,5806.00,1.03,0.97,0.117,835.8600000
4195,Kepler-286 e,Kepler-286,29.22128900,0.176000,1.770,3.78000,3.750000,0.000000,539,58.140000,5580.00,0.86,0.96,-0.120,1226.8500000
4196,Kepler-286 d,Kepler-286,5.91432300,0.061000,1.330,2.33000,5.440000,0.000000,919,17.223000,5580.00,0.86,0.96,-0.120,1226.8500000
4197,Kepler-286 c,Kepler-286,3.46809500,0.042000,1.370,2.45000,5.240000,0.000000,1098,11.290000,5580.00,0.86,0.96,-0.120,1226.8500000
4198,Kepler-286 b,Kepler-286,1.79630200,0.027000,1.240,2.07000,5.970000,0.000000,1367,7.288000,5580.00,0.86,0.96,-0.120,1226.8500000
4199,Kepler-285 c,Kepler-285,6.18667600,0.064000,1.120,1.46000,5.710000,0.000000,851,16.460000,5411.00,0.81,0.82,0.160,824.3100000
4200,Kepler-285 b,Kepler-285,2.63386700,0.036000,1.340,2.36000,5.390000,0.000000,1131,9.910000,5411.00,0.81,0.82,0.160,824.3100000
4201,Kepler-284 c,Kepler-284,37.51445600,0.213000,2.610,7.32000,2.260000,0.000000,478,55.200000,5615.00,0.81,0.92,0.140,1031.9500000
4202,Kepler-284 b,Kepler-284,12.69914900,0.104000,2.240,5.65000,2.760000,0.000000,686,26.800000,5615.00,0.81,0.92,0.140,1031.9500000
4203,Kepler-283 c,Kepler-283,92.74371100,0.341000,1.820,3.97000,3.620000,0.000000,240,132.450000,4351.00,0.57,0.60,-0.170,468.0940000
4204,Kepler-283 b,Kepler-283,11.00815100,0.082000,2.130,5.18000,2.950000,0.000000,488,43.185000,4351.00,0.57,0.60,-0.170,468.0940000
4205,Kepler-282 e,Kepler-282,44.34700000,0.226900,3.100,56.20000,10.400000,0.000000,484,54.150000,5699.00,0.89,0.97,-0.250,1337.6100000
4206,Kepler-282 d,Kepler-282,24.80600000,0.154000,2.460,61.00000,22.500000,0.000000,588,31.527000,5699.00,0.89,0.97,-0.250,1337.6100000
4207,Kepler-282 c,Kepler-282,13.63872300,0.106000,1.200,1.87000,5.950000,0.000000,717,19.330000,5602.00,0.90,0.79,-0.250,1337.6100000
4208,Kepler-282 b,Kepler-282,9.22052400,0.082000,1.010,1.01000,5.390000,0.000000,817,14.511000,5602.00,0.90,0.79,-0.250,1337.6100000
4209,Kepler-281 d,Kepler-281,148.27200320,0.545600,5.937,29.50000,0.774000,0.000000,321,74.000000,5717.00,0.88,0.98,0.000,1745.4500000
4210,Kepler-281 c,Kepler-281,36.33737300,0.215000,5.310,24.40000,0.896000,0.000000,513,29.000000,5723.00,0.90,0.95,0.020,1745.4500000
4211,Kepler-281 b,Kepler-281,14.64600800,0.117000,2.820,8.35000,2.050000,0.000000,694,15.800000,5723.00,0.90,0.95,0.020,1745.4500000
4212,Kepler-280 c,Kepler-280,4.80709100,0.056000,2.010,4.70000,3.180000,0.000000,1088,13.500000,5744.00,0.89,0.96,0.121,780.3610000
4213,Kepler-280 b,Kepler-280,2.13954200,0.032000,1.450,2.70000,4.870000,0.000000,1425,8.089000,5744.00,0.89,0.96,0.121,780.3610000
4214,Kepler-28 c,Kepler-28,8.98580000,0.081000,3.400,432.23000, ,0.000000,509,24.640000,4590.00,0.70,0.75,0.340,438.3590000
4215,Kepler-28 b,Kepler-28,5.91230000,0.062000,3.600,479.90000, ,0.000000,585,19.700000,4590.00,0.70,0.75,0.340,438.3590000
4216,Kepler-279 d,Kepler-279,54.41400000,0.290100,3.100,37.50000,0.300000,0.000000,574,24.990000,6689.45,1.07,1.10,-0.114,1037.4000000
4217,Kepler-279 c,Kepler-279,35.73600000,0.223600,4.300,49.40000,0.300000,0.000000,774,18.880000,6689.45,1.07,1.10,-0.114,1037.4000000
4218,Kepler-279 b,Kepler-279,12.30968100,0.112000,3.620,12.80000,1.480000,0.000000,1104,9.279000,6363.00,1.75,1.16,-0.114,1037.4000000
4219,Kepler-278 c,Kepler-278,51.07877500,0.294000,3.590,12.60000,1.500000,0.510000,702,25.000000,4991.00,2.94,1.08,0.271,443.0300000
4220,Kepler-278 b,Kepler-278,30.16054600,0.207000,4.070,15.60000,1.270000,0.040000,836,17.600000,4991.00,2.94,1.08,0.271,443.0300000
4221,Kepler-277 c,Kepler-277,33.00600000,0.212900,3.360,64.20000,9.300000,0.000000,778,11.700000,5946.00,1.69,1.12,0.100,976.6430000
4222,Kepler-277 b,Kepler-277,17.32400000,0.138500,2.920,87.30000,19.300000,0.000000,964,7.590000,5946.00,1.69,1.12,0.100,976.6430000
4223,Kepler-276 d,Kepler-276,48.64800000,0.264200,2.800,16.30000,4.080000,0.000000,489,22.000000,5779.00,1.03,1.10,0.020,1144.8600000
4224,Kepler-276 c,Kepler-276,31.88400000,0.199400,2.900,16.60000,3.740000,0.000000,563,17.440000,5779.00,1.03,1.10,0.020,1144.8600000
4225,Kepler-276 b,Kepler-276,14.12841000,0.119000,2.870,8.60000,2.000000,0.000000,739,30.060000,6105.00,1.05,1.04,0.020,1144.8600000
4226,Kepler-275 d,Kepler-275,35.67606200,0.224000,3.330,11.10000,1.650000,0.000000,671,32.500000,6165.00,1.38,1.16,0.000,2034.2500000
4227,Kepler-275 c,Kepler-275,16.08813400,0.132000,3.380,11.40000,1.620000,0.000000,875,22.020000,6165.00,1.38,1.16,0.000,2034.2500000
4228,Kepler-275 b,Kepler-275,10.30068200,0.098000,2.340,6.08000,2.610000,0.000000,1015,16.360000,6165.00,1.38,1.16,0.000,2034.2500000
4229,Kepler-274 c,Kepler-274,33.19786100,0.204000,1.840,4.04000,3.560000,0.000000,678,57.140000,6023.00,1.01,1.08,-0.211,1333.6200000
4230,Kepler-274 b,Kepler-274,11.63478800,0.101000,1.540,2.99000,4.500000,0.000000,961,16.500000,6023.00,1.01,1.08,-0.211,1333.6200000
4231,Kepler-273 c,Kepler-273,8.01492700,0.073000,1.980,4.58000,3.240000,0.000000,865,16.020000,5626.00,0.81,0.94,0.140,713.9640000
4232,Kepler-273 b,Kepler-273,2.93653200,0.037000,1.500,2.86000,4.660000,0.000000,1209,12.820000,5626.00,0.81,0.94,0.140,713.9640000
4233,Kepler-272 d,Kepler-272,10.93730400,0.091000,2.250,5.69000,2.740000,0.000000,777,15.300000,5297.00,0.93,0.86,0.090,889.6080000
4234,Kepler-272 c,Kepler-272,6.05734200,0.061000,1.790,97.80000,93.700000,0.000000,947,12.626000,5297.00,0.93,0.86,0.090,889.6080000
4235,Kepler-272 b,Kepler-272,2.97135300,0.038000,1.430,78.00000,147.000000,0.000000,1200,8.410000,5297.00,0.93,0.86,0.090,889.6080000
4236,Kepler-271 d,Kepler-271,5.24972541,0.055800,0.660,0.21900,4.190000,0.000000,954,14.410000,5555.00,0.87,0.90,-0.130,404.5420000
4237,Kepler-271 c,Kepler-271,7.41086267,0.070200,0.950,0.80900,5.180000,0.000000,850,17.600000,5555.00,0.87,0.90,-0.130,404.5420000
4238,Kepler-271 b,Kepler-271,10.43547805,0.088100,1.230,2.04000,6.020000,0.000000,759,23.300000,5555.00,0.87,0.90,-0.130,404.5420000
4239,Kepler-270 c,Kepler-270,25.26288700,0.180000,1.770,3.78000,3.750000,0.000000,756,20.000000,6067.00,1.46,1.17,0.070,948.7810000
4240,Kepler-270 b,Kepler-270,11.47609400,0.107000,2.010,4.70000,3.180000,0.000000,984,11.800000,6067.00,1.46,1.17,0.070,948.7810000
4241,Kepler-27 d,Kepler-27,6.54628992,0.066800,2.706,7.78000,2.160000,0.000000,810,10.900000,5251.00,0.82,0.93,0.210,1044.3600000
4242,Kepler-27 c,Kepler-27,31.33090000,0.191000,4.900,4385.87000, ,0.000000,481,30.800000,5400.00,0.59,0.65,0.410,1044.3600000
4243,Kepler-27 b,Kepler-27,15.33480000,0.118000,4.000,2895.31000, ,0.000000,610,34.230000,5400.00,0.59,0.65,0.410,1044.3600000
4244,Kepler-269 c,Kepler-269,8.12789900,0.081000,1.690,3.50000,3.980000,0.000000,875,7.120000,5847.00,0.96,0.92,0.020,2257.3200000
4245,Kepler-269 b,Kepler-269,5.32671800,0.061000,2.470,6.66000,2.430000,0.000000,1007,5.370000,5847.00,0.96,0.92,0.020,2257.3200000
4246,Kepler-268 c,Kepler-268,83.44639300,0.391000,3.380,11.40000,1.620000,0.000000,471,99.761000,6081.00,1.27,1.13,0.001,851.8700000
4247,Kepler-268 b,Kepler-268,25.93413800,0.180000,2.550,7.04000,2.330000,0.000000,695,14.500000,6081.00,1.27,1.13,0.001,851.8700000
4248,Kepler-267 d,Kepler-267,28.46451500,0.154000,2.270,5.77000,2.710000,0.000000,301,84.560000,4258.00,0.56,0.54,-0.180,264.9930000
4249,Kepler-267 c,Kepler-267,6.87745000,0.060000,2.130,5.18000,2.950000,0.000000,484,22.000000,4258.00,0.56,0.54,-0.180,264.9930000
4250,Kepler-267 b,Kepler-267,3.35372800,0.037000,1.980,37.90000,26.800000,0.000000,615,18.114000,4258.00,0.56,0.54,-0.180,264.9930000
4251,Kepler-266 c,Kepler-266,107.72360100,0.457000,3.890,14.40000,1.340000,0.000000,421,105.770000,5885.00,1.03,0.95,0.160,1370.7900000
4252,Kepler-266 b,Kepler-266,6.61833000,0.071000,2.480,6.71000,2.420000,0.000000,1066,14.024000,5885.00,1.03,0.95,0.160,1370.7900000
4253,Kepler-265 e,Kepler-265,67.83102400,0.319000,2.590,7.22000,2.280000,0.000000,476,71.850000,5835.00,1.10,0.98,-0.140,1280.2500000
4254,Kepler-265 d,Kepler-265,43.13061700,0.236000,2.490,6.76000,2.410000,0.000000,554,51.000000,5835.00,1.10,0.98,-0.140,1280.2500000
4255,Kepler-265 c,Kepler-265,17.02893700,0.127000,2.630,7.41000,2.240000,0.000000,755,28.390000,5835.00,1.10,0.98,-0.140,1280.2500000
4256,Kepler-265 b,Kepler-265,6.84626200,0.069000,1.860,4.12000,3.520000,0.000000,1022,15.000000,5835.00,1.10,0.98,-0.140,1280.2500000
4257,Kepler-264 c,Kepler-264,140.10126100,0.566000,2.830,8.40000,2.040000,0.000000,511,58.700000,6158.00,1.55,1.46,0.047,942.1730000
4258,Kepler-264 b,Kepler-264,40.80623100,0.249000,3.330,11.10000,1.650000,0.000000,772,24.123000,6158.00,1.55,1.46,0.047,942.1730000
4259,Kepler-263 c,Kepler-263,47.33277300,0.242000,2.470,6.66000,2.430000,0.000000,386,129.800000,5265.00,0.79,0.80,-0.031,754.7470000
4260,Kepler-263 b,Kepler-263,16.56808700,0.120000,2.670,7.61000,2.200000,0.000000,548,30.260000,5265.00,0.79,0.80,-0.031,754.7470000
4261,Kepler-262 c,Kepler-262,21.85372200,0.152000,1.640,3.33000,4.150000,0.000000,618,50.830000,5841.00,0.88,0.99,-0.338,613.1290000
4262,Kepler-262 b,Kepler-262,13.06085500,0.108000,1.360,2.42000,5.290000,0.000000,734,23.810000,5841.00,0.88,0.99,-0.338,613.1290000
4263,Kepler-261 c,Kepler-261,24.57085800,0.156000,2.000,4.66000,3.200000,0.000000,505,51.400000,5098.00,0.79,0.88,0.162,317.4990000
4264,Kepler-261 b,Kepler-261,10.38122700,0.088000,2.180,5.39000,2.860000,0.000000,672,28.900000,5098.00,0.79,0.88,0.162,317.4990000
4265,Kepler-260 c,Kepler-260,76.05017800,0.332000,1.740,3.68000,3.840000,0.000000,372,82.690000,5250.00,0.86,0.92,0.030,627.3650000
4266,Kepler-260 b,Kepler-260,8.18739900,0.075000,2.010,4.70000,3.180000,0.000000,782,16.110000,5250.00,0.86,0.92,0.030,627.3650000
4267,Kepler-26 e,Kepler-26,46.82791500,0.220000,2.410,6.39000,2.510000,0.000000,276,75.000000,4486.00,0.57,0.62,-0.050,335.3070000
4268,Kepler-26 d,Kepler-26,3.54391900,0.039000,1.070,1.24000,5.560000,0.000000,652,14.476000,4486.00,0.57,0.62,-0.050,335.3070000
4269,Kepler-26 c,Kepler-26,17.25590000,0.107250,2.720,6.20000,1.610000,0.000000,385,38.500000,3914.00,0.51,0.54,-0.130,335.3070000
4270,Kepler-26 b,Kepler-26,12.28000000,0.085510,2.780,5.12000,1.260000,0.000000,431,36.270000,3914.00,0.51,0.54,-0.130,335.3070000
4271,Kepler-259 c,Kepler-259,36.92493100,0.217000,2.700,7.75000,2.160000,0.000000,530,61.360000,5938.00,0.90,0.93,-0.030,1002.1400000
4272,Kepler-259 b,Kepler-259,8.11531700,0.079000,2.800,8.25000,2.070000,0.000000,879,9.220000,5938.00,0.90,0.93,-0.030,1002.1400000
4273,Kepler-258 c,Kepler-258,33.65307900,0.193000,3.610,12.70000,1.480000,0.000000,470,55.900000,4942.00,0.92,0.82,0.303,575.9880000
4274,Kepler-258 b,Kepler-258,13.19722000,0.103000,4.060,15.50000,1.270000,0.000000,642,30.330000,4942.00,0.92,0.82,0.303,575.9880000
4275,Kepler-257 d,Kepler-257,24.66455100,0.160000,4.950,21.70000,0.983000,0.000000,567,41.000000,5180.00,1.04,0.85,0.040,780.2560000
4276,Kepler-257 c,Kepler-257,6.58148400,0.066000,5.410,25.20000,0.875000,0.000000,881,16.835000,5180.00,1.04,0.85,0.040,780.2560000
4277,Kepler-257 b,Kepler-257,2.38266700,0.034000,2.610,7.32000,2.260000,0.000000,1237,9.690000,5180.00,1.04,0.85,0.040,780.2560000
4278,Kepler-256 e,Kepler-256,10.68157200,0.096000,2.350,6.12000,2.590000,0.000000,897,22.460000,5551.00,1.30,0.97,0.120,1026.4300000
4279,Kepler-256 d,Kepler-256,5.83917200,0.064000,2.480,6.71000,2.420000,0.000000,1097,14.050000,5551.00,1.30,0.97,0.120,1026.4300000
4280,Kepler-256 c,Kepler-256,3.38802000,0.045000,2.150,5.27000,2.910000,0.000000,1315,8.200000,5551.00,1.30,0.97,0.120,1026.4300000
4281,Kepler-256 b,Kepler-256,1.62049300,0.027000,1.590,3.15000,4.310000,0.000000,1681,5.550000,5551.00,1.30,0.97,0.120,1026.4300000
4282,Kepler-255 d,Kepler-255,1.04562266,0.019200,1.320,2.30000,5.500000,0.000000,1710,4.307000,5431.00,0.86,0.90,0.020,1052.5300000
4283,Kepler-255 c,Kepler-255,9.94604700,0.092000,2.990,9.22000,1.900000,0.000000,807,23.070000,5573.00,0.93,0.87,0.339,1052.5300000
4284,Kepler-255 b,Kepler-255,5.71460600,0.063000,1.550,3.02000,4.460000,0.000000,971,9.300000,5573.00,0.93,0.87,0.339,1052.5300000
4285,Kepler-254 d,Kepler-254,18.74647700,0.139000,2.500,6.80000,2.390000,0.000000,686,20.100000,5957.00,0.91,0.93,0.160,1389.4800000
4286,Kepler-254 c,Kepler-254,12.41218300,0.105000,2.150,3.20000,1.770000,0.000000,787,27.590000,5957.00,0.91,0.93,0.160,1389.4800000
4287,Kepler-254 b,Kepler-254,5.82666200,0.064000,3.870,14.30000,1.360000,0.000000,1013,15.796000,5957.00,0.91,0.93,0.160,1389.4800000
4288,Kepler-253 d,Kepler-253,18.11986900,0.130000,3.170,10.20000,1.760000,0.000000,563,33.190000,5208.00,0.79,0.85,0.030,838.5950000
4289,Kepler-253 c,Kepler-253,10.28195100,0.089000,2.650,7.51000,2.220000,0.000000,680,23.230000,5208.00,0.79,0.85,0.030,838.5950000
