,planet_radius,planet_mass,planet_density
703,1.83,4.0,3.59
704,3.23,10.52012,1.72
705,13.2,918.5287,2.19
706,12.7,2040.0,5.47
707,13.1,1121.89,2.74
708,13.5,540.29,1.21
709,13.9,270.15415,0.553
710,3.05,9.53485,1.85
711,12.6,2422.83767,6.66
712,12.2,5733.43678,17.4
713,11.1,85.8141,0.345
714,12.7,2146.32971,5.76
715,12.5,2793.7257,7.86
716,12.5,2885.45006,8.12
717,13.2,803.57766,1.92
718,12.7,2259.86363,6.06
719,14.1,209.7678,0.411
720,12.5,3219.6179,9.06
721,13.2,832.7146,1.99
722,12.5,2796.88998,7.87
723,12.33,1115.5833,3.78
724,13.2,858.1,2.05
725,13.0,1334.87931,3.34
726,12.7,2161.63039,5.8
727,14.1,190.06234,0.373
728,2.94,8.98,1.94
729,13.9,276.5121,0.566
730,2.26,5.74,2.73
731,2.98,9.18,1.91
732,4.0,15.1,1.3
733,13.5,537.1327,1.2
734,7.87,47.6725,0.537
735,12.6,2552.1749,7.01
736,5.48,25.74423,0.86
737,13.9,291.12,0.596
738,13.3,697.31902,1.63
739,13.1,1010.6994,2.47
740,12.1,6397.9179,19.8
741,3.53,12.214,1.53
742,13.5,535.54355,1.2
743,12.5,2981.01296,8.39
744,13.2,807.2882,1.93
745,3.23,10.50968,1.71
746,12.5,3115.44391,8.77
747,2.4,6.3566,2.53
748,14.1,203.0,0.398
749,14.2,171.0,0.328
750,14.0,127.132,0.255
751,13.1,1102.03602,2.69
752,12.5,2959.02909,8.33
753,3.55,19.7,2.39
754,12.1,98.52681,0.306
755,11.8,95.34852,0.319
756,14.3,143.02278,0.269
757,13.8,321.0083,0.671
758,2.6,24.1,7.5
759,13.9,265.70588,0.544
760,14.2,166.218,0.319
761,13.4,632.46,1.44
762,13.1,1080.622,2.64
763,13.6,476.72,1.04
764,11.9,9262.62856,30.2
765,2.85,8.5,2.02
766,2.54,7.0,2.35
767,12.666,359.1479,0.943
768,4.21,16.46,1.21
769,12.8,1726.82637,4.52
770,13.4,572.09113,1.31
771,4.59,19.069,1.08
772,13.4,630.89255,1.44
773,13.1,985.2,2.41
774,12.5,2968.87379,8.35
775,3.41,10.0,1.4
776,3.195,8.0,1.35
777,2.995,2.8,0.57
778,13.0,112.2,0.281
779,13.4,660.0,1.51
780,3.74,13.5,1.42
781,14.2,177.9848,0.342
782,4.27,16.9,1.19
783,5.25,24.0,0.911
784,13.4,666.17168,1.52
785,12.4,3580.0227,10.3
786,13.0,1264.9634,3.16
787,13.1,1010.6994,2.47
788,12.3,3972.85509,11.7
789,12.6,2701.54146,7.42
790,13.2,819.97,1.96
791,13.9,251.0,0.514
792,7.39,42.86581,0.584
793,13.6,435.41,0.951
794,3.43,11.66,1.59
795,3.89,14.44,1.35
796,13.5,508.21017,1.14
797,13.7,385.84562,0.825
798,12.2,5689.157,17.2
801,17.318,323.23311,0.343
802,14.46,3496.11248,6.35
803,1.72,7.42,8.06
804,13.1,1110.49341,2.71
805,12.6,2375.78917,6.53
806,12.6,2479.074,6.81
807,12.7,1999.1507,5.36
808,12.9,1553.54852,3.98
809,4.32,17.20043,1.17
810,12.2,4841.00771,14.6
811,10.1,73.1009,0.39
812,13.8,123.42834,0.258
813,13.6,435.41,0.951
814,6.47,34.2,0.694
815,13.4,647.10188,1.48
816,14.011,8899.1954,17.8
817,16.365,4036.42077,5.06
818,1.21,1.93,5.99
819,2.17,5.33,2.87
820,3.25,10.61,1.7
821,3.83,14.03,1.37
822,13.6,472.83,1.03
823,14.2,177.9848,0.342
824,14.0,232.0159,0.465
825,2.501,14.4,5.05
826,1.45,2.7,4.87
827,1.35,2.4,5.36
828,2.04,4.8,3.11
829,2.03,4.77,3.13
830,14.2,165.265,0.317
831,12.5,3146.4,8.85
832,13.7,397.2875,0.849
833,13.6,444.962,0.972
834,15.581,232.0159,0.362
835,14.3,153.1,0.288
836,13.6,410.0007,0.896
837,13.4,574.63664,1.31
838,12.8,1760.76937,4.61
839,14.0,212.9461,0.426
840,3.66,13.0,1.46
841,14.2,162.0933,0.311
842,13.3,759.6137,1.77
843,12.8,1773.4914,4.65
844,13.1,1112.39942,2.72
845,3.05,9.51349,1.84
846,1.745,8.83,9.15
847,4.71,19.95,1.05
848,9.52,65.9,0.42
849,12.1,6229.26362,19.3
850,1.19,1.819,5.93
851,1.17,1.72,5.9
852,1.48,2.801,4.75
853,1.51,2.877,4.59
854,2.4,6.3566,2.53
855,12.5,104.3,0.293
856,13.7,400.4,0.856
857,13.3,706.53609,1.65
858,3.18,10.26,1.75
859,3.03,9.44,1.86
860,13.8,333.7215,0.698
861,14.1,181.1631,0.355
862,2.8,8.23,2.06
863,4.34,17.37,1.17
864,13.6,413.179,0.903
865,13.2,826.32,1.97
866,0.892,3.7,31.93
867,12.3,4402.88762,13.0
868,2.62,7.35886,2.25
869,12.1,6865.128,21.3
870,14.1,188.02679,0.369
871,9.32,63.566,0.431
872,12.5,3099.7758,8.72
873,1.602,4.74,6.34
874,1.511,4.36,6.95
877,3.28,10.80622,1.68
878,12.7,108.0622,0.29
879,14.0,247.90616,0.496
880,13.8,317.83,0.665
881,4.71,16.6,0.87
882,4.57,18.94937,1.09
883,12.2,5406.99115,16.4
884,12.2,5288.6912,16.0
885,9.32,63.566,0.431
886,13.7,355.33394,0.759
887,13.6,460.8,1.01
888,13.1,1010.6994,2.47
889,13.1,982.05,2.4
890,9.17,60.5,0.431
891,12.1,6363.40183,19.7
892,13.5,511.7063,1.14
893,13.5,495.8148,1.11
894,13.4,673.7996,1.54
895,12.6,2660.2371,7.31
896,12.7,2234.17873,5.99
897,14.0,222.481,0.446
898,2.22,5.57,2.8
899,13.4,673.79622,1.54
900,12.3,4338.2,12.8
901,13.2,829.5363,1.98
902,13.5,485.32641,1.08
903,13.7,359.1479,0.768
904,12.7,2089.644,5.61
905,13.5,565.7374,1.26
906,2.0,8.32,6.15
907,1.87,3.41,3.1
908,0.75,0.55,7.5
909,0.818,0.72,7.5
910,1.137,0.77,3.0
911,12.4,3674.938,10.6
912,2.52,6.89,2.37
913,12.8,1906.98,5.0
914,12.8,1655.82,4.34
915,12.2,5050.3187,15.3
916,13.0,1226.8238,3.07
917,9.35,63.88351,0.429
918,12.3,4096.8287,12.1
919,3.46,11.8,1.57
920,12.5,2866.32778,8.06
921,13.9,290.81445,0.595
922,13.3,794.57102,1.86
923,6.89,38.02619,0.639
924,12.2,5253.17758,15.9
925,1.24,2.14,6.2
926,1.533,3.09,4.7
927,12.3,4290.68349,12.7
928,14.3,133.4886,0.251
929,16.141,371.8611,0.486
930,2.84,8.47,2.03
931,13.5,495.8,1.11
932,13.6,474.83802,1.04
933,14.1,196.85951,0.386
