,orbital_period_[days],equilibrium_temperature_[k],orbit_semi-major_axis_[au])
1456,4.28088,1472.0,0.0555
1458,225.11781,318.0,0.768
1459,16.364988,722.0,0.1208
1460,9.192522,875.0,0.0823
1461,1.858703,1491.0,0.0283
1462,1.1589,861.0,0.0164
1463,2.8807198,1395.0,0.04036
1464,10.688716,509.0,0.0814
1465,5.5382498,634.0,0.05251
1467,12.46103,633.0,0.098
1468,4.8494,867.0,0.052
1469,0.490047,1862.0,0.0113
1470,16.06819,674.0,0.1189
1471,5.19672,981.0,0.056
1472,4.0664428,1074.0,0.04823
1473,3.8016122,1570.0,0.05222
1474,9.573096,1033.0,0.0939
1475,4.040301,1378.0,0.0528
1476,3.1774835,1458.0,0.04469
1477,6.607662,1295.0,0.0743
1478,3.4936264,1512.0,0.0463
1479,4.5445697,463.0,0.0354
1480,3.2443141,1633.0,0.04611
1481,2.8989727,1646.0,0.0421
1482,3.438753,759.0,0.03845
1483,2.154849,750.0,0.027
1484,9.088516,801.0,0.0813
1485,3.246075,1534.0,0.0456
1486,3.936551,690.0,0.043
1487,3.119999,1498.0,0.04289
1488,5.8768918,1264.0,0.0675
1489,18.09547,643.0,0.153
1490,2.0180231,1488.0,0.03144
1491,2.59261842,604.0,0.02709
1492,3.9014971,1596.0,0.0505
1493,2.3505614,1544.0,0.03386
1494,3.5514058,1471.0,0.0475
1495,4.039709,1376.0,0.0493
1496,1.96229325,1893.0,0.03185
1497,4.8084983,1205.0,0.0569
1498,3.994,588.0,0.0269
1499,11.379573,387.0,0.0721
1500,5.6605731,488.0,0.04526
1501,3.3601538,581.0,0.03197
1502,3.6977104,531.0,0.0345
1504,5.45664,1445.0,0.0635
1505,4.5207265,1456.0,0.0571
1506,2.9887615,1431.0,0.04145
1507,18.38818,1027.0,0.1528
1508,5.983944,1352.0,0.0672
1510,49.2519,603.0,0.249
1511,23.2856,556.0,0.1511
1512,4.93777,1041.0,0.05741
1513,0.3711281,1060.0,0.0064
1514,1.3060011,1117.0,0.0202
1515,4.3474032,1534.0,0.0543
1516,0.7826942,1355.0,0.0144
1517,3.0766896,447.0,0.0228
1518,5.436098,388.0,0.0341
1519,4.0197517,1091.0,0.04871
1521,27.26955,284.0,0.1363
1522,0.3524728,2609.0,0.0097
1523,35.189346,256.0,0.145
1524,3.5315902,1688.0,0.05009
1525,8.001968,1259.0,0.0854
1527,11.9101,652.0,0.09564
1528,10.695264,805.0,0.08911
1529,1.1947268,1860.0,0.02234
1530,2.1225735,1763.0,0.03319
1532,260.79,348.0,0.828
1533,17.16073,628.0,0.1293
1534,34.525528,497.0,0.2069
1535,8.60077,1188.0,0.075
1536,7.851928,395.0,0.057
1537,0.67247414,3646.0,0.01791
1538,10.50534,488.0,0.0752
1539,35.12537,530.0,0.1539
1540,21.01538,630.0,0.1093
1541,10.35509,797.0,0.0682
1542,0.7363104,910.0,0.0112
1545,8.872078,1167.0,0.092
1546,52.97818,759.0,0.3
1547,0.94667944,2097.0,0.01932
1548,29.02,362.0,0.1587
1549,1.0662107,1885.0,0.0204
1550,9.5739,1208.0,0.1001
1551,4.860674,1375.0,0.061
