,orbit_semi-major_axis_[au]),equilibrium_temperature_[k],insolation_flux_earth,orbital_period_[days]
1690,1.9, , ,145.74401908148187
1691,2.65, , ,272.201594389662
1692,2.77, , ,240.17094871891604
1693,3.29, , ,275.449389643167
1694,2.18, , ,168.34001459067196
1695,1.23, , ,90.96744438971716
1696,2.8, , ,218.2768802084591
1697,2.8, , ,218.2768802084591
1698,3.3, , ,275.449389643167
1699,4.51, , ,384.89977361499984
1700,1.54, , ,118.97319265333428
1701,0.8, , ,63.24158689942958
1702,1.8, , ,134.06165454181053
1703,2.0, , ,140.10154661755848
1704,3.59, , ,300.4240847825593
1705,5.0, , ,5480.0
1706,0.63, , ,50.65168065601856
1707,0.97, , ,68.6147552399993
1708,2.72, , ,224.70208931179528
1709,1.064, , ,83.53937691936511
1710,2.2, , ,176.56875387750543
1711,3.0, , ,221.05295606399625
1712,1.8, , ,134.06165454181053
1713,1.75, , ,143.52330537056227
1714,2.41, , ,209.3349277661528
1715,0.59, , ,49.03113611068885
1716,1.18, , ,85.2556586812277
1717,3.04, , ,225.04501157457955
1718,1.02, , ,75.01773887466425
1719,2.73, , ,222.47932001079528
1720,3.92, , ,332.8718687936674
1721,4.06, , ,366.2200624550002
1722,1.8, , ,134.06165454181053
1723,3.5, , ,297.54093988358284
1724,2.424, , ,208.87851112875703
1725,3.913, , ,332.8718687936674
1726,3.4, , ,335.07737288583286
1727,1.16, , ,80.56325229474521
1728,2.17, , ,1220.0
1729,2.13, , ,136.88363163297765
1730,1.7, , ,156.67325744112287
1731,6.4, , ,604.8797185849995
1732,5.4, , ,431.7265935050005
1733,0.85, , ,65.81230963589897
1734,2.62, , ,272.4647131585786
1735,2.07, , ,156.62138272234563
1736,2.7, , ,224.70208931179528
1737,1.6, , ,129.56369782017953
1738,0.73, , ,57.413887641270094
1739,1.75, , ,143.52330537056227
1740,1.7, , ,156.67325744112287
1741,1.5, , ,124.31820197713496
1742,4.53, , ,384.89977361499984
1743,3.49, , ,297.54093988358284
1744,3.11, , ,252.0014448446296
1745,1.8, , ,134.06165454181053
1746,2.6, , ,272.4647131585786
1747,0.39, , ,38.5829683464108
1748,0.702, , ,54.096961556938375
1749,3.6, , ,316.1705542759765
1750,0.8, , ,63.24158689942958
1751,2.6, , ,272.4647131585786
1752,4.43, , ,384.89977361499984
1753,1.6, , ,129.56369782017953
1754,0.74, , ,53.96059364248506
1755,3.45, , ,309.4318276658325
1756,0.87, , ,66.22788049398379
1757,4.8, , ,428.5852600250008
1758,4.0, , ,365.08800154700015
1759,1.89, , ,145.39493831306513
1760,2.72, , ,224.70208931179528
1761,8.0, , ,1023.0237537499988
1762,1.7, , ,156.67325744112287
1763,15.0, , ,1913.9498069838028
1764,2.8, , ,218.2768802084591
1765,2.59, , ,2557.0
1766,2.17, , ,144.18725964442214
1767,4.5,59, ,4927.5
1768,2.3,82, ,1788.5
1769,2.6,50, ,3285.0
1770,3.5, , ,297.54093988358284
1771,3.6,55, ,316.1705542759765
1772,4.3, , ,378.9999783459997
1774,3.3, , ,3160.0
1775,3.12, , ,3225.0
1776,3.43, , ,2883.5
1777,5.35, , ,5573.55
1778,0.058,1448,729.00,4.43527
1779,0.035,1345,503.00,2.4997
1780,0.01677,1284,983.42,0.882059
1781,0.0382,952,101.25,3.3569866
1782,0.019,1650,886.98,1.3373508
1783,0.023,1434,1000.57,1.6753728
1784,0.0388,1101, ,2.823093
1785,0.0479,1499,391.83,3.4678796
1786,0.0504,1327, ,4.0764326
1787,0.0236,1357, ,1.5433897
1788,0.313,688,6.76,54.18915
1789,0.063,1468,1085.35,4.511164
1790,0.0448,1381,845.00,3.05125
1791,0.0391,1457,1160.00,3.24253
1792,0.0523,1177,480.00,4.84532
1793,0.0441,1146,425.00,3.27623
1794,0.0403,1143, ,3.5357173
1795,0.0549,1605,1096.00,4.119027
1796,0.0757,1257,416.00,7.532806
1797,0.201,435,33.16,35.45533
1798,0.0143,1332, ,0.7668944
1799,0.0326,790,65.30,2.647298
1804,0.53, , ,121.71
1805,1.613, , ,760.0
1806,0.48, , ,41.78490012891614
1807,8.3, , ,1061.0798472499985
1808,1.11, , ,94.46394688034768
1810,0.95, , ,49.07646890744023
1811,1.39, , ,109.98214072928432
1812,0.24, , ,28.739878045349528
1813,0.93, , ,71.18906767809712
1814,3.03, , ,224.57655654957955
1815,0.9, , ,65.01730983232393
1816,10.2, , ,1240.0036927282997
1817,4.3, , ,378.9999783459997
1818,1.1, , ,3000.0
1819,0.69, , ,52.16446505836693
1820,0.95, , ,49.07646890744023
1821,4.14, , ,378.9806041760001
1822,2.0, , ,140.10154661755848
1823,1.72, , ,138.2386975317818
1824,0.92, , ,68.77462456378464
1825,2.42, , ,204.5806112899837
1826,1.21, , ,93.63394025779074
1827,1.8, , ,1980.0
1828,2.03, , ,167.64796841351298
1829,3.2, , ,2800.0
1830,2.7, , ,224.70208931179528
1831,1.1, , ,83.16148658950604
1832,5.9,34, ,564.101554224999
1833,0.62, , ,49.65197718060255
1834,0.047,2100,4913.69,2.82406
1835,0.040352,2594,8702.29,2.14877381
1836,0.0464, , ,3.91405
1837,18.6, , ,3165.0796094172
1838,14.7, , ,1874.917340983803
1839,0.01679,1978,2681.59,0.792052
1840,0.07673,353,2.63,12.2519
1841,0.01211,892,106.00,0.768448
1842,0.02661,508,10.90,3.1239035
1843,0.03813,424,5.40,5.3587657
1844,0.0876, , ,14.4399
1845,0.03984,272,0.91,8.457463
1846,0.01875,396,4.09,2.7299025
1847,0.029392,370,2.35,4.989963
1848,0.00969,650,21.50,0.948005
1849,0.0417,700,38.54,4.052037
1850,0.00622,805,70.10,0.46292913
1851,0.0404,617,26.37,3.81433
1852,0.0331,511,13.50,3.694247
1853,0.01251,830,93.20,0.8602322
1854,0.01848,595,23.88,1.9495378
1855,0.02734,709,6.16,3.77792
1856,0.0957,379,0.50,24.73694
1857,0.0717,342, ,12.796
1858,0.0486,416,5.01,7.4507245
1859,0.0304,553,12.80,3.6906777
1860,0.02191,627,24.70,2.2531136
1861,0.048,330, ,8.781
1862,0.02091,965,149.37,1.4015
1863,0.0681,1355,740.17,5.99185702
1864,0.0626,1020,409.92,5.65377733
1865,0.0397,1709,1900.13,2.70730672
1866,0.0474,1272,723.08,3.77059058
1867,0.1701,517,11.92,28.26731672
1868,0.0177,957,243.98,1.15116651
1869,0.13,352,3.95,22.08557563
1870,0.1339,510,15.29,20.16034462
1871,0.3104,260,1.37,82.5342519
1872,0.0127,2386,7609.22,0.53835431
1873,0.0883,903,157.41,9.91723428
1874,0.0503,810,108.04,4.60358
1875,0.0734,805,74.35,7.96431535
1876,0.1085,368,6.56,17.76080053
1877,0.4238,351,3.85,105.3033148
1878,0.276,465,10.86,56.4349938
1879,0.4451,323,2.59,116.331901
1880,0.2327,484,13.99,43.0342272
1881,0.3148,485,31.00,60.0855082
1882,0.1291,955,185.20,15.7738221
1883,0.0535,1103,337.47,4.46975774
1884,0.1005,845,170.14,11.55102504
1885,0.0256,1592,1107.39,1.54168
1886,0.0753,792,77.84,8.0880135
1887,0.2726,546,20.99,49.6221509
1888,0.162,544,13.96,26.85328322
1889,0.4217,324,2.66,105.9564148
1890,0.0303,1599,328.70,1.97034246
1891,0.0419,577,28.51,4.19449651
1892,0.2508,402,7.89,49.6077331
1893,0.0734,1060,266.51,7.03932553
1894,0.0827,1087,82.77,9.59070716
1895,0.139,464,11.11,16.736525
1897,0.0356,1328,767.96,2.58664
1898,0.0272,1270,564.58,1.6829346
1899,0.2027,465,10.17,34.1731714
1900,0.052,644,58.15,5.70940492
1901,0.0389,745,103.91,3.69298373
1902,0.6253,258,1.05,198.7112502
1903,0.1027,638,39.10,13.22713379
1904,0.3907,391,10.97,99.747622
1905,0.512,393,4.98,134.2527298
1906,0.1063,652,43.92,13.5225106
1907,0.0849,802,83.49,9.97683705
1908,0.0984,689,53.82,12.05707239
1909,0.1245,642,40.40,16.87727414
1910,0.0414,1391,129.22,3.12686223
1911,0.1235,711,57.52,16.2385
1912,0.1633,1912,165.87,14.80074836
1913,0.0852,749,73.59,9.7678805
1914,0.0559,769,124.91,5.90741354
1915,0.0596,1056,307.06,5.24867263
1916,0.1083,664,33.09,14.53244172
1917,0.118,545,21.53,16.78176602
1918,0.0862,873,121.04,9.10967112
1919,0.392,410,5.84,88.40655258
1920,0.5183,369,5.05,130.3546919
1921,0.3091,340,2.47,71.52530845
1922,0.3982,360,3.97,98.7180406
1923,0.1017,927,178.83,11.5231
1924,0.0774,782,58.44,8.6893073
1925,0.0749,841,126.20,7.76846622
1926,0.1773,573,51.95,26.9644317
1927,0.1002,857,124.07,11.79162572
1928,0.2037,616,31.70,31.0033814
1929,0.2288,459,20.17,43.3167737
1930,0.2559,455,10.16,49.7701438
1931,0.2298,379,4.96,44.96417488
1932,0.1311,722,47.03,17.42395198
1933,0.3059,486,10.52,59.6225257
1935,0.03106,997,216.09,2.50806
1936,0.1153,692,54.19,14.878296
1937,0.2689,544,8.57,52.6298417
1938,0.5545,377,6.93,153.343364
1939,0.3214,495,20.63,67.668827
1940,0.0954,867,133.56,10.56134221
1941,0.0527,879,94.61,4.88083852
1942,0.2658,384,4.72,55.6738309
1943,0.1041,602,61.32,14.20443009
1944,0.0279,1276,562.22,1.9214374
1945,0.0719,744,72.44,8.03755877
1946,0.3475,561,16.85,71.4517775
1948,0.053,1037,283.74,4.72674
1949,0.0192,2362,8159.93,0.92103214
1950,0.0444,894,111.11,3.9324613
1951,0.0866,906,129.53,9.1149903
1952,0.2739,524,17.88,52.0688601
1953,0.1805,394,5.83,33.8678531
1954,0.3359,610,20.00,61.0370117
1955,0.0715,1104,390.64,6.93366476
1956,0.0182,1876,2142.63,0.93846683
1957,0.2716,492,15.01,51.300634
1958,0.4029,364,3.99,100.8274113
1959,0.065,907,153.14,6.53192704
1960,0.2754,637,46.84,49.3568
1961,0.1829,781,106.21,26.723
1962,0.1174,975,257.78,13.749
1963,0.0981,869,153.91,11.04603384
1964,0.0569,1052,258.70,4.85386933
1965,0.0378,991,228.11,2.97041437
1966,0.1885,503,14.68,32.2968798
1967,0.0566,1319,844.75,4.59489604
1968,0.0544,1192,568.38,4.40966548
1969,0.0699,1357,122.82,5.93911982
1970,0.1009,1129,58.90,10.29672521
1971,0.0339,1218,519.95,2.53475627
1972,0.1549,931,198.72,20.310501
1973,0.0382,1752,2108.07,2.36436901
1974,0.0731,2040,3273.32,6.24658
1975,0.1175,852,127.24,13.93290318
1976,0.0247,1783,3304.10,1.34059747
1977,0.1225,879,137.66,15.86621821
1978,0.2359,537,21.99,41.6979976
1979,0.0572,928,185.77,5.08274652
1980,0.0417,1332,875.42,3.02166863
1981,0.302,462,24.79,62.9228557
1982,0.0907,842,274.85,10.3507721
1983,0.223,556,24.88,40.1099547
1984,0.0378,704,68.72,3.51749439
1985,0.0679,716,54.11,6.9913086
1986,288.6525,709, ,14.44912
1987,0.0273,2026,1339.66,1.592851
1988,0.227,523,18.90,38.9853
1989,0.143,661,48.23,19.23891
1990,0.1392,640,62.20,19.17891293
1991,0.0545,616,37.11,5.8706191
1992,0.077,855,354.22,8.0472642
1993,0.5164,303,1.99,144.547396
1994,0.0328,771,106.58,2.80624233
1995,0.0916,896,119.88,9.803224
1996,0.0699,1034,266.27,6.33855761
1997,0.1015,556,18.20,13.7521072
1998,0.2881,486,44.33,53.44945593
1999,0.2944,540,30.23,52.75875577
2000,0.0492,1328,954.59,3.744439
2001,0.328,417,7.85,70.6979061
2002,0.0797,1089,407.98,7.63846023
2003,0.1536,785,109.84,20.42228798
2004,0.067,1111,231.43,6.24146367
2005,0.1432,830,124.65,18.11472949
2006,0.0622,964,204.18,5.69919514
2007,0.1055,818,163.05,12.98495573
2008,0.0449,903,259.03,3.98953967
2009,0.0552,1217,538.57,4.44448017
2010,0.0915,1622,586.17,7.71468975
2012,0.2012,580,29.13,33.3855938
2013,0.165,501,27.01,25.9422033
2014,0.1301,632,37.81,18.45847097
2015,0.0549,923,152.75,5.14438011
2016,0.1771,569,41.43,27.5073799
2017,0.2234,560,31.62,40.0686727
2018,0.1542,749,68.02,20.5533844
2019,0.0362,1230,553.06,2.57885507
2020,0.1572,640,79.72,22.0459018
2021,0.1539,691,54.87,21.3587621
2022,0.676,403,4.66,191.2318
2023,0.481,478,9.20,114.73635
2024,0.2244,494,17.23,40.4287755
2025,0.0575,1047,417.03,5.03251791
2026,0.5375,327,2.72,150.242127
2027,0.0331,996,196.13,2.61703254
2028,0.1057,694,46.36,14.16399294
2029,0.0687,1143,464.76,5.83376092
2030,0.122,718,117.83,15.59461874
2031,0.039,1097,547.29,3.14866453
2032,0.0463,966,197.29,3.94963138
2033,0.058,1050,233.62,5.10137945
2034,0.1345,528,14.90,20.38177573
2035,0.3403,399,6.34,76.13602028
2036,0.3751,390,5.75,85.35129427
2037,0.0787,824,153.50,8.02768059
2038,0.0762,996,405.18,7.8866311
2039,0.0779,1187,499.30,7.16892463
2040,0.2654,565,92.13,44.9309804
2041,0.0802,900,103.83,8.50699658
2042,0.0744,995,329.28,7.19303878
2043,0.163,559,24.32,25.216751
2044,0.13,626,38.39,17.91323
2045,0.1007,706,61.93,12.513
2046,0.0766,809,107.03,8.306
2047,1.1088,325,3.12,394.6244904
2048,0.072,1086,794.78,6.91134416
2049,0.0315,1054,292.31,2.3432319
2050,0.1399,624,35.28,19.80792185
2051,0.017,1361,772.50,0.92785982
2052,0.0298,713,89.65,2.61302086
2053,0.0313,1523,890.33,2.05387982
2054,0.0204,1252,588.95,1.21956827
2055,0.479,416,1.65,124.4198398
2056,0.25,572,25.30,44.552169
2057,0.181,672,48.29,27.434389
2058,0.052,1254,584.24,4.224537
2059,0.1072,865,132.23,12.883
2060,0.0827,985,222.19,8.726
2061,0.2341,626,46.30,37.8144514
2062,0.1266,777,61.09,15.74957994
2063,0.1144,701,55.97,16.56059504
2064,0.1013,869,135.80,11.36112327
2065,0.107,921,170.33,11.41909375
2066,0.0862,378,11.85,13.32388301
2067,0.1139,382,8.31,18.7546998
2068,0.075,965,256.83,7.1396941
2069,0.0603,992,266.25,5.62153941
2070,0.1033,907,160.18,11.29695137
2071,0.051,569,28.81,5.169796
2072,0.11796,362,5.90,20.09
2073,0.07295,460,15.41,9.77
2074,0.0678,857,247.47,6.88337562
2075,0.0125,1848,1835.16,0.56785714
2076,0.2742,574,23.60,51.92927591
2077,0.0528,1305,827.22,4.48758907
2078,0.0759,981,261.63,8.1818246
2079,0.0453,1270,734.46,3.77360059
2080,0.055,1231,454.60,4.51436633
2081,0.0507,1277,803.35,4.16809082
2082,0.0412,1239,535.19,3.22296927
2083,0.029,1215,496.82,1.92279873
2084,0.5829,554,16.23,127.8338098
2085,0.3395, , ,75.732
2086,0.063,926,144.34,5.902206
2087,0.034,1253,484.35,2.382961
2088,0.2626,450,8.04,51.54
2089,0.1683,562,19.56,26.44
2090,0.1894,485,9.91,33.1995648
2091,0.0886,786,100.78,10.03538581
2092,0.0493,1124,550.20,3.99010623
2093,0.0895,668,50.56,10.50682565
2094,0.0888,1374,979.14,8.57503552
2095,0.0695,1164,935.12,6.1469851
2096,0.1439,817,56.04,19.12947337
2097,0.1024,1163,421.92,10.11716531
2098,0.1583,730,78.59,23.58447697
2099,0.055,1105,350.60,4.59725385
2100,0.128,418,7.51,20.837846
2101,0.08347,502,15.62,12.04
2102,0.0522,635,39.95,5.955
2103,0.2901,478,13.15,55.63934
2104,0.0116,1322,726.72,0.63133235
2105,0.4884,418,7.45,117.93108781
2106,0.0764,1089,413.60,8.09219642
2107,0.1978,743,86.47,30.8638931
2108,0.0872,890,141.84,9.65185017
2109,0.1137,779,83.43,14.37457351
2110,0.2678,543,20.88,50.28638192
2111,0.2265,489,13.51,40.0587473
2112,0.0795,419,14.44,11.41928253
2113,0.1106,675,44.87,14.13176026
2114,288.6525,418, ,14.64558
2115,0.0175,1054,750.96,0.9867873
2116,0.0491,629,94.78,4.64489
2117,0.0372,722,164.62,3.07222
2118,0.0792,495,36.48,9.52355
2119,0.0648,547,54.38,7.05246
2120,0.0474,1680,1444.88,3.5224991
2121,0.1214,893,150.25,15.19419956
2122,0.5167,433,6.36,133.4605235
2123,0.1174,864,141.89,13.71933369
2124,0.181,605,90.10,27.07237711
2125,0.0662,1109,962.26,6.40087618
2126,0.1817,580,26.79,29.6193421
2127,0.1036,952,299.97,11.13125132
2128,0.0491,1177,617.41,4.24153639
2129,0.0988,852,176.03,11.30119217
2130,0.1256,939,140.06,14.5539759
2131,0.101,634,38.27,13.73469807
2132,0.386,511,18.78,81.0659
2133,0.287,592,33.87,52.0902
2134,0.187,734,79.77,27.4029
2135,0.117,929,205.40,13.4845
2136,0.0951,1419,312.34,8.63847725
2137,0.0835,984,357.19,8.39846269
2138,0.0159,1115,493.55,0.9283105
2139,0.2548,348,3.66,53.5293487
2140,0.025,753,163.86,1.97376093
2141,0.1967,688,194.38,31.5922646
2142,0.0684,840,117.33,7.05395
2143,0.0491,991,229.10,4.29264638
2144,0.5444,350,3.99,158.6853308
2145,0.1019,629,44.40,13.2140732
2146,0.015,2099,4572.56,0.67737516
2147,227.9603571428572,2250, ,0.35500744
2148,0.0533,425,15.03,7.09714223
2149,0.0453,977,216.57,3.75574426
2150,0.0519,569,33.95,5.72812599
2151,0.0523,904,135.08,4.89718784
2152,0.0187,1612,1496.75,0.97486893
2153,0.1114,1422,451.18,11.0895723
2154,0.047,1160,490.71,3.74910006
2155,0.1071,866,264.58,12.99207337
2156,0.0843,890,339.30,8.73485836
2157,0.0616,1941,209.75,4.15244722
2158,0.0309,2740,833.59,1.47532231
2159,0.1694,1171,27.74,18.92540274
2160,0.04501,1440,432.87,3.57878087
2161,0.1297,803,86.76,15.9870174
2162,0.0778,1037,241.13,7.42608998
2163,0.092,618,40.59,11.3910025
2164,0.5874,366,9.37,161.5280101
2165,0.066,990,227.15,6.10027804
2166,0.1754,641,48.95,27.6655226
2167,0.0724,875,160.46,7.33683936
2168,0.0205,1414,974.09,1.19655156
2169,0.0493,1302,1065.73,3.7705521
2170,0.0874,767,95.45,10.12804789
2171,0.0333,1139,453.65,2.46697439
2172,0.0772,748,84.41,8.70419416
2173,0.0274,2140,3583.67,1.5449298
2174,0.2329,533,19.02,41.805985
2175,0.0785,1144,588.40,8.1934719
2176,0.1447,843,173.17,20.4966197
2177,0.0547,1372,1211.82,4.75793986
2178,0.1019,1005,349.19,12.1097104
2179,0.019,1734,3345.45,1.02267882
2180,0.0219,1741,2174.33,1.22486632
2181,0.0367,1016,302.57,2.85313364
2182,0.0214,1331,889.89,1.26909037
2183,0.116,758,216.47,14.5596237
2184,0.054,641,41.67,5.74772501
2185,0.1353,632,45.28,18.82747265
2186,0.1263,679,39.01,17.44490636
2187,0.0533,1537,778.59,4.08899022
2188,0.093,1163,255.74,9.42887179
2189,0.0818,767,106.48,8.8849116
2190,0.1054,454,24.63,17.31716585
2191,0.0745,938,439.78,7.40742793
2192,2.906141,203,0.14,1752.92067283
2193,6.497354, , ,6383.7835217
2194,9.88693, , ,10839.83340606
2195,1.988479, , ,1005.98853873
2196,0.81, , ,184.02
2197,3.233953, , ,1021.20159246
2198,2.324089, , ,622.97801866
2199,1.58, , ,705.0
2200,1.18306, , ,441.47
2201,0.74345, , ,220.078
2202,0.533, , ,158.991
2203,0.0406, , ,2.985628
2204,8.0, , ,8241.0
2205,2.45, , ,1313.0
2206,1.373, , ,799.52
2207,0.26,298, ,58.43
2208,0.76, , ,227.0
2209,16.107189, , ,25775.78858607
2210,0.0346, , ,2.1378431
2211,2.73,176, ,1628.0
2212,0.049,1311,464.96,3.98442
2213,2.762119, , ,1488.79122664
2214,2.965265, , ,1644.6909652
2215,2.72, , ,1270.0
2216,0.117, , ,13.481
2217,4.051612, , ,3309.22117629
2218,13.912743, , ,18538.79292976
2219,0.0479, , ,3.414884
2220,3.27, , ,2166.0
2221,0.1066,1089,275.64,11.8143
2222,0.917, , ,256.78
2223,0.25, , ,49.77
2224,2.2, , ,1179.0
2225,0.97, , ,325.803
2226,10.5, , ,11611.2975
2227,0.477, , ,143.58
2228,0.034915, , ,2.45946479
2229,11.342789, , ,14010.29409878
2230,0.0756, , ,7.3426
2231,0.112, , ,13.18
2232,0.2565, , ,45.85
2233,0.02085,2042,2898.00,1.0391353
2234,0.04813,1344,543.80,3.6451398
2235,0.189, , ,30.052
2236,0.654, , ,192.9
2237,2.74, , ,1576.0
2238,55.7,1000, ,3165.0796094172
2239,1.36, , ,464.4
2240,3.33, , ,1785.0
2241,1.28, , ,482.0
2242,0.262,385,7.42,55.087
2243,3.167126,156,0.10,2041.54151819
2244,2.94, , ,2946.0
2245,5.15, , ,4375.0
2246,1.11, , ,362.5
2247,1.42, , ,647.29999
2248,1.332, , ,498.04
2249,0.0777, , ,8.1245
2250,0.141, , ,19.88
2251,0.424, , ,103.5
2252,1.24, , ,514.0
2253,6.91483, , ,6449.08337344
2254,130.0, , ,3165.0796094172
2255,0.0805,751,41.92,9.4897116
2256,1.26, , ,433.8
2257,6.29367, , ,5697.30430313
2258,1.864, , ,968.8
2259,1.11, , ,439.29999
2260,1.08, , ,310.4
2261,0.12, , ,17.0431
2262,1.98, , ,841.0
2264,0.81, , ,184.2
2265,0.243, , ,55.199
2266,0.72, , ,144.3
2267,1.134, , ,499.48
2268,0.706, , ,232.08
2269,2.84, , ,1481.6
2270,0.0906,690, ,9.1205
2271,0.25, , ,57.435
2272,0.0696, , ,6.673892
2273,0.549, , ,147.747
2274,1.94, , ,981.8
2275,0.234337, , ,50.65905263
2276,11.460432, , ,17128.35283777
2277,17.0,1300, ,22000.0
2278,0.492, , ,159.986
2279,0.217, , ,41.516
2280,16.015432, , ,26125.56497309
2281,0.256, , ,60.722
2282,3.805, , ,3477.768
2283,288.6525,973,148.89,15.572098
2284,4535.11,697,55.62,31.70648
2288,0.176, , ,34.15
2289,0.112, , ,17.818
2290,0.89, , ,345.72
2291,7.7, , ,9017.76
2292,0.063, , ,7.76
2293,0.099, , ,15.144
2294,5.055931, , ,5138.43726957
2295,4.550828, , ,2675.57602947
2296,0.07, , ,8.1352
2297,0.178, , ,32.03
2298,1.01, , ,431.7
2299,0.17, , ,30.014
2300,0.565, , ,124.6
2301,0.01782,1411,661.00,0.9809734
2302,0.177, , ,28.125
2303,0.316, , ,67.3
2304,92.0,1500, ,3165.0796094172
2305,2.79266, , ,1079.55726024
2306,288.6525,1174, ,6.959503
2307,4.818835, , ,2523.64713301
2308,0.482387, , ,88.87622241
2309,6.032077, , ,3923.66089514
2310,20.25, , ,17337.5
2311,0.335, , ,87.19
2312,2.1, , ,822.3
2313,30.0,2300, ,47000.0
2314,2.02, , ,926.4
2315,740.0,2700, ,3165.0796094172
2316,345.0,2450, ,3165.0796094172
2317,0.36, , ,111.7
2318,3.736626, , ,1852.14387204
2319,0.031, , ,2.224
2320,1.359652, , ,455.738155
2321,0.06, , ,5.0505
2322,0.0787,1060,219.28,7.713057
2323,14.91853, , ,24955.45756484
2324,0.089,757,10.03,10.28891
2325,0.124,642, ,16.84
2326,2.490819, , ,1062.26505974
2327,773.0, , ,3165.0796094172
2328,20.3,1200, ,3165.0796094172
2329,18.0,171, ,27000.0
2330,0.92, , ,302.79999
2331,0.048,1572,989.70,3.58599
2332,0.0674,1326,512.00,5.97293
2333,0.1027,1075,217.00,11.23
2334,68.0,1200, ,170000.0
2335,38.0,1200, ,69000.0
2336,24.0,1300, ,37000.0
2337,16.4,1150, ,20815.6
2338,3.6, , ,2390.0
2339,5.4, , ,4368.0
2340,2.038, , ,734.0
2341,0.137,703,54.10,19.3044
2342,0.0301,1841,1915.00,1.6739035
2343,0.1124,618, ,14.6762429
2345,0.0242,798,62.10,1.9741954
2346,0.0833,928,95.58,8.2669928
2347,0.0475,1649, ,3.313959
2348,0.0581,1360,762.00,4.733999
2349,0.2257,734,9.84,39.93767
2350,0.1027,575, ,13.86387
2351,0.057,1309, ,5.3518
2352,0.1166, , ,15.6785
2353,0.0642,1098,170.93,5.817685
2354,0.0943,701,40.00,11.3909311
2355,0.143,619,33.06,20.272615
2356,0.048, ,78.60,4.655411
2357,0.0189,868,145.80,1.2916
2358,0.0492,537,21.40,5.444017
2359,0.245, ,4.30,50.92092
2360,0.0698,666,54.90,7.727283
2361,0.0802,1003,310.00,8.28212
2362,0.078, ,35.10,9.562742
2363,0.0629,738,89.50,5.1857539
2364,0.0373,769,79.90,2.2193023
2365,0.1649,338,2.90,30.951524
2366,0.049,442,8.70,6.413651
2367,0.121, ,2.00,21.750264
2368,0.0656,601,35.30,7.385655
2369,0.0411,809,105.60,3.588163
2370,0.056, ,68.80,5.675819
2371,0.057, ,4.50,8.239493
2372,0.2114,511,22.80,39.91488
2373,0.032, ,136.40,2.49412
2374,0.0095,2062,3842.25,0.369311
2375,0.0916,1586,293.37,9.1751
2376,0.03194, , ,3.07133
2377,0.04341, , ,4.86784
2378,0.07487, , ,11.02454
2379,0.1346,296,1.80,26.5841
2380,288.6525,553, ,7.975292
2381,0.11728,425,11.90,17.307137
2382,288.6525,373, ,25.575065
2383,0.0058,1471, ,0.179719
2384,0.03385,1157,486.00,2.35309
2385,0.04461,1012,279.00,3.56004
2386,0.05893,888,160.00,5.40479
2387,0.0782,757,91.10,8.26146
2388,0.10447,653,51.00,12.75758
2389,0.23109,445,9.29,41.96797
2390,0.1796,524, ,28.380619
2391,0.0627,488,8.00,8.36802
2392,0.068,962,204.00,6.569188
2393,0.00716,2039, ,0.2803244
2395,0.0248,534,20.70,2.6446
2396,0.0327, , ,4.00498
2397,0.0159, ,200.10,0.961918
2398,0.0454, ,48.80,4.38395
2399,0.0616, ,26.50,6.9226
2400,0.0774, ,16.80,9.7579
2401,0.083, ,7.00,11.332
2402,0.091,676,48.00,11.8104
2403,0.0727, ,4.90,10.59357
2404,0.0373,566,20.80,3.835476
2405,0.1716,337,2.90,32.6479
2406,0.0614,497,11.80,7.51574
2407,0.0405,715,57.50,3.67626
2408,0.0677,552,20.50,7.95486
2409,0.0562,708,19.90,6.342
2410,0.0946,583,7.00,13.85
2411,0.1937,381,1.67,40.718
2412,0.0149,1347, ,0.813143
2414,0.0887,794, ,10.06049
2415,0.0622,948, ,5.90279
2416,0.1013,684, ,12.42205
2417,0.0667,658,44.50,7.6188
2418,0.1229,485,13.10,19.07863
2421,0.0795,631, ,9.45889
2426,288.6525,629,37.08,14.101361
2427,0.0858,1140, ,8.52695
2428,0.0999,1131,229.00,9.97857
2429,0.11283,331, ,19.660302
2430,0.03376, , ,2.369172
2431,0.01306,1515,879.50,0.658524
2432,0.0679,664,32.40,7.814
2433,0.1035,538,13.95,14.697
2437,0.126,455,95.77,19.562307
2443,0.1429,284,1.01,32.939623
2444,0.06,363, ,8.962
2445,0.0734,802,67.00,8.8656511
2446,0.0706,962, ,6.894256
2447,0.0526,969,146.90,4.7369683
2449,0.0932,787, ,10.787992
2450,0.1527,615, ,22.620344
2451,0.1685,533, ,16.9780102
2452,288.6525,809, ,10.616384
2453,4535.11,477, ,52.713494
2455,0.0164,1815, ,0.77401
2456,0.0392,1173, ,2.871512
2457,0.072,865, ,7.149584
2458,0.1106,698, ,13.606629
2459,0.0289,1692, ,1.742169
2460,0.0785,1026,230.63,7.810253
2461,0.0361,1197, ,2.588309
2462,0.068,872, ,6.679195
2463,0.074,854,87.70,7.9222
2464,0.0971,745,48.80,11.8993
2465,0.0344,1252,583.50,2.5081
2469,0.049,939, ,4.162817
2470,0.1184,739, ,14.786889
2472,0.1208,720, ,15.852975
2475,0.0806,848, ,8.357881
2476,288.6525,716, ,17.0428683
2477,288.6525,1230, ,3.3596055
2478,288.6525,943, ,7.4500177
2479,0.0382,913,116.20,3.2253993
2480,0.0662,694,38.60,7.3744897
