,orbit_semi-major_axis_[au]),equilibrium_temperature_[k],insolation_flux_earth,orbital_period_[days]
400,0.03727,1429,757.13,2.5495551
401,0.03166,1445,691.84,2.1061607
402,0.03199,2037,2440.70,1.8209993
403,0.0523,1203,561.00,4.175186
404,0.04913,1085,229.70,4.3315366
405,0.05036,1294,464.70,4.375021
406,0.06007,1645,1547.10,4.5776348
407,0.0362,1315,558.83,2.516729
408,0.04997,2101,3163.38,3.2642736
409,0.0583,1710,1300.31,4.193649
410,0.03689,1856,1637.21,2.292102
411,0.04944,1003,192.23,4.3888497
412,0.03649,1161,306.42,2.7439004
413,0.05511,1518,811.35,4.1876244
414,0.05367,1054,209.77,4.7423729
415,0.04269,853,87.73,3.9228038
416,0.03769,955,137.60,3.1316666
417,0.04515,835,80.45,4.1480467
418,0.0542,1025,183.24,4.763387
419,0.05046, , ,3.8297015
420,0.04639,1553,740.22,3.3488702
421,0.02498,1834,1310.22,1.36665436
422,0.04753,1312,471.61,3.8537768
423,0.037,1429,476.97,2.5441765
424,0.05412,1367,355.91,4.2042001
425,0.06043,1902,1080.87,4.324799
426,0.03493,1413,570.23,2.350621
427,0.05798,1721,382.71,4.2180896
428,0.06112,1128,269.00,5.416081
429,2.504,176,0.16,1422.0
430,0.03623,713,47.33,3.3252725
431,0.04708,1528,903.90,3.560829
432,0.07908,1226,374.20,7.817953
433,0.04163,1237,387.40,3.2768837
434,0.04026,1398,634.10,3.0566527
435,0.06562,1793,1711.00,4.908897
436,0.04497,1634,1178.00,3.105161
437,0.04714,1998,2637.00,3.1414391
438,0.03032,2193,3821.00,1.6091788
439,0.05071,1741,1521.00,3.5862202
440,0.03211,1296,466.60,2.2252577
441,0.04012,1084,211.62,3.185315
442,0.03632,2730,9110.00,1.8882378
443,0.03745,587,18.08,3.7955202
444,0.066517,739,49.58,7.3279474
445,0.02384,895,106.90,1.73185606
446,0.032742,772,59.26,2.7886556
447,0.02658,940,129.80,1.9416423
448,0.03607,828,78.37,3.0876262
449,0.04667,1324, ,3.583893
450,0.0312,1746, ,1.915291
451,53.0, , ,3165.0796094172
452,0.68, , ,157.57001
453,1.03, , ,383.70001
454,0.06412, , ,5.75969
455,0.12859, , ,16.357
456,0.2699, , ,49.748
457,0.4929, , ,122.744
458,1.427, , ,604.67
459,3.381, , ,2205.0
460,0.3, , ,70.46
461,0.15, , ,20.8133
462,0.05, , ,4.11377
463,0.51, , ,127.58
464,1.81, , ,778.09998
466,0.46, , ,122.1
467,4.074, , ,3090.942
468,0.0807, , ,6.4947
469,0.25, , ,47.84
470,0.0498, , ,4.5557
471,0.07, , ,5.8881
472,3.27, , ,1919.0
473,0.439, , ,120.878
474,0.26, , ,55.806
475,2.01, , ,1032.3
476,0.95, , ,199.505
477,0.09124, , ,10.02244605
478,35.747028, , ,77114.07157859
479,3.38, , ,2412.0
480,2.61, , ,1531.0
481,3.34, , ,1888.0
482,0.0907,1153,240.00,9.55237
483,0.1536,886,83.00,21.05704
484,2.015, , ,989.2
485,4.496414, , ,3586.86089301
486,650.0,1800, ,3165.0796094172
487,2.050268, , ,1075.37989939
488,0.269, , ,48.056
489,0.1407, , ,18.3267
490,0.102,890, ,10.8985
491,0.04527,1099,312.18,3.795963
492,0.062,932,162.17,6.203449
493,0.1074,708,53.88,14.175685
494,0.1367,636,35.00,19.590025
495,0.1758, , ,29.54115
496,2.0, , ,1129.0
497,1.32, , ,437.7
498,1.04, , ,394.48123
499,2.659, , ,1624.0
500,0.33, , ,68.27
501,0.079, , ,7.8543
502,0.196, , ,30.93
503,1.259,259,0.71,520.1
504,0.0615, , ,5.239891
505,0.95, , ,283.8
506,288.6525,811,72.03,9.188526
507,288.6525,757,77.48,13.900148
508,12.511098, , ,17132.15854472
509,2.14, , ,835.477
510,0.113,957,198.39,10.18271
511,0.035,1371,735.49,2.541
512,0.068,990,199.90,6.744
513,16.589764, , ,24469.67342295
514,13.503729, , ,17244.90764393
515,2.147271, , ,1169.13201636
516,17.205919, , ,26472.44622716
517,2.5, , ,1056.4
518,1.82, , ,825.9
519,1.7, , ,613.2
520,1.021796, , ,317.58638571
521,6.82814, , ,5429.93477336
522,0.922152, , ,228.53731482
523,1.24, , ,663.2
524,2.44, , ,1818.0
525,1.6, , ,610.2
526,0.5109, , ,109.75
527,1.73, , ,937.70001
528,5.34, , ,4000.0
529,2.067, , ,1121.79
530,1.16, , ,493.7
531,4.97, , ,4319.0
532,20.331534, , ,32669.2224679
533,2.798425, , ,1613.74017306
534,0.749283, , ,223.95986342
535,12.245208, , ,14723.57452498
536,0.088127, , ,10.49487691
