,planet_mass,planet_radius,planet_density
453,327.3649,13.8,0.684
454,13.1,3.68,1.44
455,11.75,3.45,1.57
456,25.1,5.39,0.881
457,23.9,5.24,0.913
458,21.4,4.91,0.993
459,64.4,9.4,0.426
460,79.4575,10.6,0.367
461,54.0311,8.47,0.489
462,130.3103,14.2,0.25
463,1570.0802,12.9,4.02
464,2593.4928,12.6,7.12
465,483.1016,13.5,1.08
466,16.0,4.14,1.24
467,113.9,13.1,0.278
468,305.1168,13.8,0.638
469,28.6047,5.83,0.793
470,197.046,14.1,0.386
471,116.0,13.3,0.271
472,457.67291,13.6,1.0
473,11.2,3.35,1.64
474,50.8528,8.18,0.511
475,472.61321,13.6,1.03
476,2637.9,12.6,7.25
477,25.14472,5.4,0.877
478,8550.26928,11.9,27.9
479,203.41018,14.1,0.399
480,3178.28407,12.5,8.94
481,3219.6179,12.5,9.06
482,12.6,2.44,4.7
483,15.2,4.35,1.01
484,298.75,13.8,0.625
485,3518.96545,12.4,10.1
486,3496.0,12.4,10.1
487,1914.58848,12.8,5.02
488,66.741,9.6,0.415
489,19.89606,4.7,1.05
490,82.95,10.9,0.352
491,3.24,1.615,4.23
492,4.94,2.071,3.06
493,6.98,2.539,2.34
494,9.71,3.083,1.82
495,4.72,2.017,3.16
496,1112.4,13.1,2.72
497,767.24162,13.3,1.79
498,451.3186,13.6,0.986
499,314.64,13.8,0.658
500,273.3338,13.9,0.559
501,17.162,4.31,1.18
502,24.154,5.27,0.907
503,950.30694,13.2,2.27
504,85.8141,11.1,0.345
505,143.02278,14.3,0.269
506,8.69,2.888,1.98
507,7.22,2.59,2.28
508,6725.39378,12.1,20.9
509,3524.59,12.4,10.2
510,10.3,3.2,1.73
511,4.55,2.05,2.9
512,10.5,3.23,1.71
513,8644.78715,11.9,28.2
514,2428.48595,12.6,6.67
515,2626.8024,12.6,7.22
516,6085.555,12.1,18.9
517,1398.452,12.9,3.58
518,1433.4133,12.9,3.67
519,1589.15,12.9,4.07
520,1032.00909,13.1,2.52
521,6268.96682,12.1,19.4
522,253.39075,13.9,0.518
523,114.41,13.2,0.273
524,295.57,13.8,0.618
525,2002.329,12.7,5.37
526,2542.62726,11.209,9.92
527,362.3262,13.7,0.774
528,113.46531,13.1,0.277
529,262.20975,13.9,0.537
530,349.6,13.7,0.747
531,194.19413,14.1,0.381
532,2649.58135,12.6,7.28
533,1716.82279,12.8,4.5
534,115.84733,13.3,0.271
535,2446.83592,12.6,6.72
536,30.03873,6.0,0.764
537,3299.58202,12.5,9.28
538,2634.79749,12.6,7.24
539,444.962,13.6,0.972
540,403.6441,13.7,0.863
541,612.14058,13.4,1.4
542,1789.3829,12.8,4.69
543,55.30242,8.59,0.479
544,886.7457,13.138,2.15
545,198.0,14.1,0.388
546,25.0,5.38,0.882
547,2080.0,12.7,5.58
548,2439.44256,12.6,6.7
549,479.9233,13.6,1.05
550,10.33369,3.2,1.73
551,3171.50491,12.5,8.92
552,72.85079,10.1,0.389
553,238.37131,14.0,0.477
554,947.1334,13.2,2.26
555,3514.14627,12.4,10.1
556,9165.5058,11.9,29.9
557,6.3566,2.4,2.53
558,944.27564,13.2,2.26
559,15.17685,4.01,1.29
560,2352.38976,12.6,6.46
561,622.9468,13.4,1.42
562,75.32571,10.3,0.379
563,772.3269,13.3,1.8
564,575.884,13.4,1.32
565,119.96298,13.6,0.262
566,26.61699,5.58,0.842
567,562.24127,13.5,1.26
568,1204.25787,13.0,3.01
569,282.8687,13.9,0.579
570,508.507,13.5,1.14
571,365.49,13.7,0.781
572,572.094,13.4,1.31
573,1052.0173,13.1,2.57
574,3480.2385,12.4,10.0
575,1709.9254,12.8,4.48
576,473.547,13.6,1.03
577,451.3186,13.6,0.986
578,133.4886,14.3,0.251
579,794.575,13.3,1.86
580,10.1,3.16,1.76
581,29.29,5.91,0.78
582,511.7063,13.5,1.14
583,260.0,13.9,0.532
584,1880.61597,12.8,4.93
585,4174.7703,12.3,12.3
586,4.72,1.664,5.623888
587,11.24,2.916,2.497668
588,8.82,2.562,2.878108
589,680.1562,13.3,1.59
590,266.97586,13.9,0.546
591,51.25631,8.21,0.509
592,63.566,9.32,0.431
593,4.04,1.31,10.49
594,2434.5656,12.6,6.69
595,11.2,3.35,1.64
596,9.96,3.13,1.78
597,274.91,13.9,0.562
598,1630.4,12.8,4.27
599,699.226,13.3,1.63
600,6315.52561,12.1,19.6
601,131.89945,11.5,0.477
602,5001.77608,12.2,15.1
603,14.64775,3.93,1.33
604,1685.33019,12.8,4.42
605,13.63484,3.77,1.4
606,143.34133,14.3,0.269
607,422.7139,13.6,0.923
608,375.0394,13.7,0.801
609,209.7678,14.1,0.411
610,3079.7727,12.5,8.66
611,81.62789,10.8,0.356
612,395.51812,13.7,0.845
613,3521.33769,12.4,10.1
614,1411.1652,12.9,3.61
615,975.7381,13.1,2.39
616,530.7761,13.5,1.19
617,384.5743,13.7,0.822
618,1122.57556,13.1,2.74
619,20.42286,4.78,1.03
620,1913.3366,12.8,5.01
621,708.7609,13.3,1.66
622,1582.94652,12.9,4.05
623,762.59821,13.3,1.78
624,6.44,2.42,2.5
625,5.59,2.23,2.77
626,674.0,13.4,1.54
627,2080.0,12.7,5.58
628,28.55,5.82,0.796
629,385.0,13.7,0.823
630,356.28743,13.7,0.761
631,1633.6462,12.8,4.28
632,731.009,13.3,1.71
633,270.144,13.9,0.553
634,390.9309,13.7,0.835
635,1640.0028,12.8,4.3
636,413.179,13.6,0.903
637,120.7754,8.295,0.75
638,422.7139,13.6,0.923
639,3878.07724,12.4,11.2
640,762.78818,13.3,1.78
641,874.0325,13.2,2.09
642,861.28,13.2,2.06
643,37.24604,6.81,0.648
644,1634.10971,12.8,4.28
645,845.74563,13.2,2.02
646,594.02427,13.4,1.36
647,11.56,3.41,1.58
648,27.5,5.83,0.82
649,7.51,1.64,9.3
650,8.11,2.39,3.23
651,20.05856,4.73,1.04
652,17.30766,4.33,1.17
653,8680.48112,11.9,28.3
654,937.5985,13.2,2.24
655,6.6,2.46,2.44
656,260.6206,13.9,0.533
657,1706.7471,12.8,4.47
658,778.6835,13.3,1.82
659,819.97,13.2,1.96
660,238.37131,14.0,0.477
661,826.358,13.2,1.97
662,314.6517,13.8,0.658
663,261.0,13.9,0.534
664,7.50192,2.65,2.22
665,1849.85628,12.8,4.85
666,17.14419,4.31,1.18
667,1661.50392,12.8,4.35
668,2995.22334,12.5,8.43
669,3207.01405,12.5,9.02
670,235.18,14.0,0.471
671,4.15,1.87,3.49
672,31.4968,6.17,0.737
673,3391.2461,12.4,9.77
674,486.2799,13.5,1.09
675,2.22,1.292,6.12
676,5.6,2.23,2.77
677,5.41,2.18,2.87
678,6.08,2.34,2.61
679,6.14,2.35,2.6
680,4449.62,12.3,13.1
681,359.13,13.7,0.767
682,603.9,13.4,1.38
683,704.94694,13.3,1.65
684,244.09344,14.0,0.489
685,296.85322,13.8,0.621
686,1150.5446,13.0,2.88
689,10.17,3.17,1.75
691,181.16219,14.1,0.355
692,82.6358,10.9,0.351
693,1620.933,12.8,4.25
694,3127.4472,12.5,8.8
695,249.05159,13.9,0.51
696,699.54383,13.3,1.63
697,22.1,5.0,0.972
698,140.79869,14.3,0.265
699,16.14,4.16,1.23
700,635.0,13.4,1.45
701,116.0,13.3,0.271
702,13.0,3.66,1.46
703,4.0,1.83,3.59
704,10.52012,3.23,1.72
705,918.5287,13.2,2.19
706,2040.0,12.7,5.47
707,1121.89,13.1,2.74
708,540.29,13.5,1.21
709,270.15415,13.9,0.553
710,9.53485,3.05,1.85
711,2422.83767,12.6,6.66
712,5733.43678,12.2,17.4
713,85.8141,11.1,0.345
714,2146.32971,12.7,5.76
715,2793.7257,12.5,7.86
716,2885.45006,12.5,8.12
717,803.57766,13.2,1.92
718,2259.86363,12.7,6.06
719,209.7678,14.1,0.411
720,3219.6179,12.5,9.06
721,832.7146,13.2,1.99
722,2796.88998,12.5,7.87
723,1115.5833,12.33,3.78
724,858.1,13.2,2.05
725,1334.87931,13.0,3.34
726,2161.63039,12.7,5.8
727,190.06234,14.1,0.373
728,8.98,2.94,1.94
729,276.5121,13.9,0.566
730,5.74,2.26,2.73
731,9.18,2.98,1.91
732,15.1,4.0,1.3
733,537.1327,13.5,1.2
734,47.6725,7.87,0.537
735,2552.1749,12.6,7.01
736,25.74423,5.48,0.86
737,291.12,13.9,0.596
738,697.31902,13.3,1.63
739,1010.6994,13.1,2.47
740,6397.9179,12.1,19.8
741,12.214,3.53,1.53
742,535.54355,13.5,1.2
743,2981.01296,12.5,8.39
744,807.2882,13.2,1.93
745,10.50968,3.23,1.71
746,3115.44391,12.5,8.77
747,6.3566,2.4,2.53
748,203.0,14.1,0.398
749,171.0,14.2,0.328
750,127.132,14.0,0.255
751,1102.03602,13.1,2.69
752,2959.02909,12.5,8.33
753,19.7,3.55,2.39
754,98.52681,12.1,0.306
755,95.34852,11.8,0.319
756,143.02278,14.3,0.269
757,321.0083,13.8,0.671
758,24.1,2.6,7.5
759,265.70588,13.9,0.544
760,166.218,14.2,0.319
761,632.46,13.4,1.44
762,1080.622,13.1,2.64
763,476.72,13.6,1.04
764,9262.62856,11.9,30.2
765,8.5,2.85,2.02
766,7.0,2.54,2.35
767,359.1479,12.666,0.943
768,16.46,4.21,1.21
769,1726.82637,12.8,4.52
770,572.09113,13.4,1.31
771,19.069,4.59,1.08
772,630.89255,13.4,1.44
773,985.2,13.1,2.41
774,2968.87379,12.5,8.35
775,10.0,3.41,1.4
776,8.0,3.195,1.35
777,2.8,2.995,0.57
778,112.2,13.0,0.281
779,660.0,13.4,1.51
780,13.5,3.74,1.42
781,177.9848,14.2,0.342
782,16.9,4.27,1.19
783,24.0,5.25,0.911
784,666.17168,13.4,1.52
785,3580.0227,12.4,10.3
786,1264.9634,13.0,3.16
787,1010.6994,13.1,2.47
788,3972.85509,12.3,11.7
789,2701.54146,12.6,7.42
790,819.97,13.2,1.96
791,251.0,13.9,0.514
792,42.86581,7.39,0.584
793,435.41,13.6,0.951
794,11.66,3.43,1.59
795,14.44,3.89,1.35
796,508.21017,13.5,1.14
797,385.84562,13.7,0.825
798,5689.157,12.2,17.2
801,323.23311,17.318,0.343
802,3496.11248,14.46,6.35
803,7.42,1.72,8.06
804,1110.49341,13.1,2.71
805,2375.78917,12.6,6.53
806,2479.074,12.6,6.81
807,1999.1507,12.7,5.36
808,1553.54852,12.9,3.98
809,17.20043,4.32,1.17
810,4841.00771,12.2,14.6
811,73.1009,10.1,0.39
812,123.42834,13.8,0.258
813,435.41,13.6,0.951
814,34.2,6.47,0.694
815,647.10188,13.4,1.48
816,8899.1954,14.011,17.8
817,4036.42077,16.365,5.06
818,1.93,1.21,5.99
819,5.33,2.17,2.87
820,10.61,3.25,1.7
821,14.03,3.83,1.37
822,472.83,13.6,1.03
823,177.9848,14.2,0.342
824,232.0159,14.0,0.465
825,14.4,2.501,5.05
826,2.7,1.45,4.87
827,2.4,1.35,5.36
828,4.8,2.04,3.11
829,4.77,2.03,3.13
830,165.265,14.2,0.317
831,3146.4,12.5,8.85
832,397.2875,13.7,0.849
833,444.962,13.6,0.972
834,232.0159,15.581,0.362
835,153.1,14.3,0.288
836,410.0007,13.6,0.896
837,574.63664,13.4,1.31
838,1760.76937,12.8,4.61
839,212.9461,14.0,0.426
840,13.0,3.66,1.46
841,162.0933,14.2,0.311
842,759.6137,13.3,1.77
843,1773.4914,12.8,4.65
844,1112.39942,13.1,2.72
845,9.51349,3.05,1.84
846,8.83,1.745,9.15
847,19.95,4.71,1.05
848,65.9,9.52,0.42
849,6229.26362,12.1,19.3
850,1.819,1.19,5.93
851,1.72,1.17,5.9
852,2.801,1.48,4.75
853,2.877,1.51,4.59
854,6.3566,2.4,2.53
855,104.3,12.5,0.293
856,400.4,13.7,0.856
857,706.53609,13.3,1.65
858,10.26,3.18,1.75
859,9.44,3.03,1.86
860,333.7215,13.8,0.698
861,181.1631,14.1,0.355
862,8.23,2.8,2.06
863,17.37,4.34,1.17
864,413.179,13.6,0.903
865,826.32,13.2,1.97
866,3.7,0.892,31.93
867,4402.88762,12.3,13.0
868,7.35886,2.62,2.25
869,6865.128,12.1,21.3
870,188.02679,14.1,0.369
871,63.566,9.32,0.431
872,3099.7758,12.5,8.72
873,4.74,1.602,6.34
874,4.36,1.511,6.95
877,10.80622,3.28,1.68
878,108.0622,12.7,0.29
879,247.90616,14.0,0.496
880,317.83,13.8,0.665
881,16.6,4.71,0.87
882,18.94937,4.57,1.09
883,5406.99115,12.2,16.4
884,5288.6912,12.2,16.0
885,63.566,9.32,0.431
