,stellar_effective_temperature_[k],stellar_radius_[solar_radius],stellar_mass_[solar_mass],stellar_surface_gravity
442,7930.0,1.88,1.78,4.17
443,3405.0,0.48,0.49,4.77
444,4656.1,0.72,0.73,4.59
445,3776.9,0.58,0.6,4.7
446,3790.4,0.58,0.6,4.68
447,4016.0,0.63,0.66,4.67
448,4071.0,0.64,0.66,4.64
449,5679.0,1.09,1.06,4.39
450,5599.0,1.56,1.1,4.1
451,10500.0,1.85,2.4,4.33
452,4891.0,10.06,2.28,2.79
453,5533.0,1.04,0.83,4.32
454,5911.0,1.11,1.06,4.39
455,5911.0,1.11,1.06,4.39
456,5911.0,1.11,1.06,4.39
457,5911.0,1.11,1.06,4.39
458,5911.0,1.11,1.06,4.39
459,5911.0,1.11,1.06,4.39
460,5108.0,0.86,0.57,4.33
461,5655.0,1.23,1.06,4.29
462,5301.0,0.82,0.76,4.49
463,4790.0,10.3,1.45,2.58
464,4745.0,9.82,3.21,2.96
465,4830.0,6.3,1.3,3.0
466,5630.0,0.95,0.85,4.57
467,5436.0,0.96,0.95,4.46
468,4985.0,4.55,1.66,3.38
469,5250.0,0.88,0.8,4.45
470,5017.0,0.73,0.79,4.43
471,6489.0,1.58,1.33,4.26
472,6072.0,2.22,1.28,3.79
473,4792.0,0.75,0.77,4.59
474,4937.0,0.74,0.62,4.49
475,4912.0,1.97,1.01,3.19
476,4877.0,11.0,2.3,2.85
477,5671.0,1.27,1.01,4.23
478,5671.0,1.27,1.01,4.23
479,5792.0,0.94,0.89,4.36
480,5874.0,1.1,1.01,4.36
481,5509.0,2.66,1.39,3.72
482,6327.0,1.3,1.09,4.25
483,6327.0,1.3,1.09,4.25
484,6218.0,1.1,1.11,4.62
485,5362.0,0.91,0.93,4.41
486,6516.0,2.12,1.5,3.9
487,5680.0,1.86,0.99,3.96
488,5797.0,1.17,1.12,4.45
489,5752.92,1.17,1.11,4.35
490,6255.73,1.21,1.22,4.36
491,5660.0,0.88,0.87,4.49
492,5660.0,0.88,0.87,4.49
493,5660.0,0.88,0.87,4.49
494,5660.0,0.88,0.87,4.49
495,5660.0,0.88,0.87,4.49
496,5122.0,0.79,0.84,4.45
497,4878.0,5.74,1.59,3.07
498,5600.0,1.05,1.1,4.44
499,5551.0,1.09,0.95,4.36
500,5844.0,1.07,1.2,4.46
501,5783.0,1.29,1.05,4.28
502,5783.0,1.29,1.05,4.28
503,5694.0,1.09,0.98,4.44
504,5824.0,1.22,1.13,4.31
505,4840.0,11.16,1.41,2.48
506,5881.0,1.0,1.08,4.45
507,5881.0,1.0,1.08,4.45
508,5185.97,0.87,0.88,4.5
509,4445.0,20.9,2.17,2.1
510,6200.0,1.19,1.21,4.2
511,5732.0,0.97,1.0,4.46
512,5732.0,0.97,1.0,4.46
513,5718.0,1.17,1.02,4.31
514,5905.64,1.47,1.07,4.13
515,5512.0,0.9,0.96,4.45
516,5460.0,0.9,0.96,4.45
517,4884.0,8.03,1.94,3.1
518,6557.0,1.45,1.18,4.19
519,4155.0,39.0,1.8,1.7
520,6774.0,1.5,1.41,4.21
521,6667.33,1.53,1.41,4.21
522,4708.93,6.78,2.01,2.7
523,4462.0,0.53,0.58,3.79
524,4462.0,0.53,0.58,3.79
525,4181.0,25.11,1.49,1.86
526,6651.0,1.49,1.47,4.19
527,4836.0,0.76,0.6,4.45
528,5641.0,2.14,1.27,3.87
529,5844.0,1.47,0.94,4.05
530,5135.0,0.84,0.85,4.53
531,5126.74,0.84,0.85,4.53
532,5757.15,1.2,1.03,4.3
533,6183.0,1.24,1.12,4.43
534,6055.0,1.34,1.12,4.3
535,6183.0,1.24,1.12,4.43
536,5019.17,0.73,0.83,4.63
537,5019.17,0.73,0.83,4.63
538,5957.0,1.21,1.18,4.15
539,4819.0,4.89,0.83,2.98
540,4951.0,4.6,1.33,3.4
541,5732.0,1.07,1.05,4.37
542,4312.0,20.58,0.72,1.67
543,5990.0,1.2,1.08,4.41
544,5864.0,2.06,1.84,4.08
545,5303.0,2.01,0.91,3.79
546,5303.0,2.01,0.91,3.79
547,4970.0,10.09,1.91,2.9
548,4892.0,9.12,2.5,2.71
549,6027.0,1.07,1.62,4.59
550,5986.0,1.8,1.1,3.97
551,5986.0,1.8,1.1,3.97
553,5873.0,1.3,1.15,4.24
554,5920.0,1.0,1.01,4.65
555,4703.93,0.75,0.75,4.56
556,4850.0,6.47,1.82,3.13
557,4691.0,0.74,0.29,4.17
558,5900.0,1.07,1.05,4.45
559,5900.0,1.05,1.05,4.41
560,5900.0,1.05,1.05,4.41
561,4835.0,11.02,0.67,2.18
562,5638.0,0.98,0.9,4.38
563,5645.0,1.2,1.2,4.36
564,5748.0,1.11,1.02,4.32
565,5568.0,1.37,0.96,4.17
566,4595.32,0.74,0.73,4.57
567,4965.0,0.76,0.83,4.61
568,4965.0,0.76,0.83,4.61
569,4875.0,0.85,0.65,4.52
570,5605.0,1.18,0.99,4.31
571,5387.0,0.85,0.92,4.52
572,4846.0,4.44,1.34,3.18
573,5671.0,2.39,1.35,3.72
574,4175.0,38.41,2.24,1.62
575,5783.0,1.34,1.03,4.2
576,6289.0,1.3,1.23,4.3
577,5799.0,0.96,0.95,4.39
578,5799.0,0.96,0.95,4.39
579,5805.0,0.99,0.93,4.41
580,5966.0,1.16,1.09,4.43
581,5966.0,1.16,1.09,4.43
582,5736.0,1.22,1.1,4.31
583,5585.0,1.25,1.1,4.25
585,6182.43,1.68,1.18,4.06
586,5664.0,1.06,0.87,4.39
587,5664.0,1.06,0.87,4.39
588,5664.0,1.06,0.87,4.39
589,4989.0,3.78,1.48,3.45
590,5773.19,1.19,0.88,4.23
591,5835.31,1.04,1.0,4.42
592,5181.0,0.88,0.68,4.39
593,5799.0,1.59,1.04,4.05
594,5799.0,1.59,1.04,4.05
595,5035.0,0.78,0.77,4.58
596,5035.0,0.78,0.77,4.58
597,6255.0,1.67,1.29,4.11
598,6255.0,1.67,1.29,4.11
599,5867.0,1.25,1.3,4.36
600,4700.0,11.47,2.69,2.9
601,5521.0,2.34,1.32,3.82
602,4815.0,12.4,2.58,2.61
603,5610.0,0.95,0.99,4.46
604,5610.0,0.95,0.99,4.46
605,5885.38,1.39,1.05,4.17
606,5600.0,1.39,1.07,4.28
607,5600.0,1.39,1.07,4.28
608,5600.0,1.39,1.07,4.28
609,5600.0,1.39,1.07,4.28
610,5870.0,1.03,1.09,4.45
611,6273.0,1.41,1.21,4.26
612,6245.0,1.47,1.21,4.62
613,6245.0,1.47,1.21,4.62
614,5421.0,1.04,0.9,4.35
615,4922.0,4.63,3.5,3.65
616,5940.0,1.04,1.07,4.44
617,6380.0,1.65,1.51,4.37
618,5507.0,0.92,0.97,4.47
619,6126.0,1.65,1.16,4.07
620,6014.0,1.05,1.2,4.47
621,4769.0,10.52,1.23,2.48
622,5314.94,1.0,0.91,4.43
623,4823.75,6.93,2.06,3.01
624,5765.0,1.15,1.02,4.38
625,5765.0,1.15,1.02,4.38
626,5441.0,0.94,0.93,4.42
627,5441.0,0.94,0.93,4.42
628,4156.0,0.63,0.6,4.65
629,5883.0,0.98,1.11,4.51
630,4946.0,5.01,1.43,3.23
631,5972.0,2.29,1.38,3.86
632,5972.0,2.29,1.38,3.86
633,6308.0,1.21,1.22,4.56
634,6032.0,1.34,1.21,4.16
635,6032.0,1.34,1.21,4.16
636,5025.0,3.86,1.64,3.48
637,6179.0,1.41,1.42,4.37
638,5856.0,1.44,1.2,4.25
639,5352.05,0.89,0.93,4.51
640,4153.0,16.2,1.3,2.1
641,4947.0,4.67,1.46,3.18
642,5961.0,0.96,1.17,4.5
643,6091.98,1.17,1.14,4.36
644,6091.98,1.17,1.14,4.36
645,5907.0,1.13,1.15,4.37
646,5027.0,5.14,1.3,3.29
647,6310.0,1.43,1.15,4.19
648,6310.0,1.43,1.15,4.19
649,5125.0,0.86,0.9,4.53
650,5125.0,0.86,0.9,4.53
651,4837.0,0.75,0.79,4.59
652,4837.0,0.75,0.79,4.59
653,4837.0,0.75,0.79,4.59
