,insolation_flux_earth,equilibrium_temperature_[k],orbital_period_[days],orbit_semi-major_axis_[au]),stellar_radius_[solar_radius]
3177,872.57,1111.0,6.07972888,0.0632,0.93
3178,63.8,1002.0,23.20584623,0.1867,2.56
3179,67.51,614.0,16.08066115,0.1185,0.8
3180,193.93,802.0,23.44971004,0.1764,1.51
3181,808.84,1309.0,5.16950177,0.0578,1.24
3182,65.26,725.0,23.78319931,0.1618,1.27
3183,257.22,1021.0,8.50340718,0.0815,1.15
3184,14.72,500.0,30.99660733,0.1885,0.84
3185,94.14,828.0,17.97979059,0.1447,1.33
3186,5.57,343.0,161.4743937,0.5729,1.04
3187,100.37,791.0,9.4341505,0.08,0.9
3188,103.15,816.0,7.2385854,0.0712,0.84
3189,262.6,871.0,15.4580567,0.1241,1.28
3190,39.3,685.0,40.6994443,0.2327,1.49
3191,69.8,784.0,14.48585199,0.115,1.05
3192,932.13,1048.0,4.1653651,0.0508,0.96
3193,407.83,852.0,7.75192492,0.0768,0.96
3194,130.76,852.0,14.58649607,0.1172,1.18
3195,77.1,825.0,9.07097734,0.0854,0.86
3196,12.49,446.0,14.28226676,0.0978,0.61
3197,69.56,737.0,2.62811375,0.031,0.68
3198,219.05,849.0,12.91375431,0.1053,1.22
3199,0.48,208.0,267.291,0.718,0.64
3200,1.35,270.0,122.3874,0.427,0.64
3201,17.21,510.0,18.16406,0.12,0.64
3202,28.49,578.0,12.4417,0.0929,0.64
3203,80.33,750.0,5.714932,0.0553,0.64
3204,1652.91,1767.0,1.20846503,0.0225,1.11
3205,224.15,1073.0,5.4042722,0.0611,1.11
3206,677.57,1296.0,3.59576964,0.046,1.08
3207,100.3,750.0,1.68269615,0.0219,0.48
3208,14.69,499.0,51.06740189,0.2749,0.98
3209,6.86,413.0,90.4113556,0.4024,0.97
3210,129.18,860.0,9.99761851,0.0927,0.97
3211,19.18,620.0,10.35584657,0.085,0.69
3212,37.2,641.0,14.03491514,0.1027,0.81
3213,66.27,713.0,15.77979614,0.1232,0.96
3214,997.09,1046.0,3.72215641,0.0452,0.96
3215,1825.3,1513.0,2.4370333,0.0351,1.01
3216,2.3,318.0,151.86392,0.5594,1.13
3217,139.07,888.0,6.99692655,0.0719,1.13
3218,1.69,273.0,59.87756,0.24861,0.62
3219,258.06,932.0,6.52121067,0.0682,1.14
3220,270.16,1069.0,6.41251504,0.0685,1.01
3221,11.85,473.0,39.67679977,0.2122,0.89
3222,2302.61,1874.0,0.6381632,0.0135,0.8
3223,71.84,683.0,24.31575992,0.17,1.22
3224,513.03,1278.0,2.35895152,0.033,0.88
3225,316.72,1133.0,3.38353807,0.042,0.88
3226,46.98,637.0,25.85501786,0.1735,1.03
3227,610.28,1098.0,6.2171292,0.0666,1.01
3228,10.82,401.0,127.9075774,0.5001,1.01
3229,119.99,731.0,21.05358596,0.1502,1.01
3230,128.78,852.0,15.28469497,0.1224,1.13
3231,110.62,833.0,5.37886844,0.056,0.79
3232,20.18,528.0,23.67517607,0.1536,0.81
3233,161.0,929.0,11.8981,0.1012,1.26
3234,236.0,1023.0,8.9187,0.0835,1.26
3235,318.0,1102.0,7.1334,0.0719,1.26
3236,792.22,1460.0,3.2346996,0.04852,1.39
3237,24.47,623.0,15.65562652,0.1128,0.79
3238,4.29,367.0,86.4945,0.3576,0.9
3239,265.41,1050.0,3.70175428,0.0438,0.86
3240,76.38,743.0,13.02365861,0.1056,0.95
3241,82.3,725.0,21.30022655,0.156,1.32
3242,50.23,679.0,12.38602,0.0983,0.82
3243,17.38,535.0,25.3029092,0.1582,0.82
3244,59.4,678.0,13.64618192,0.1089,0.87
3245,61.02,706.0,21.21708973,0.1508,1.1
3246,935.83,1367.0,2.82019241,0.0397,1.04
3247,5.62,436.0,81.1694299,0.3554,0.94
3248,782.41,1056.0,5.85296257,0.0647,1.15
3249,107.74,752.0,17.9801235,0.1372,0.94
3250,187.51,864.0,11.8681707,0.104,0.94
3251,344.61,1098.0,3.52466011,0.0426,0.92
3252,32.14,656.0,16.54964934,0.1196,0.83
3253,718.08,1176.0,4.22162536,0.052,1.0
3254,70.97,764.0,10.94027841,0.0952,0.89
3255,705.05,1365.0,2.10472218,0.0331,0.92
3256,489.15,1178.0,2.75235975,0.0375,0.93
3257,76.34,664.0,35.1810304,0.2281,1.24
3258,178.7,1017.0,6.5100253,0.0689,0.91
3259,25.06,603.0,18.49235668,0.1254,0.91
3260,12.39,521.0,40.6069821,0.2259,1.0
3261,24.06,558.0,8.22241966,0.0683,0.64
3262,18.24,583.0,40.101371,0.236,1.13
3263,64.39,799.0,15.5741568,0.1228,1.03
3264,112.99,920.0,10.2184954,0.0927,1.03
3265,60.61,730.0,9.66857723,0.0854,0.96
3266,496.9,1774.0,1.6168837,0.0266,0.83
3267,5.69,314.0,25.69578251,0.1348,0.73
3268,16.82,541.0,29.91136794,0.179,0.97
3269,141.99,803.0,9.37891944,0.0788,0.95
3270,120.47,858.0,7.65880414,0.0723,0.91
